#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:58:47 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:58:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=V/28/adjarea&-order=I&-out=ID&-out=X&-out=Y&-out=V&-out=B-V&-out=U-B&-out=pmX&-out=pmY&-out=Cl_mem&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5028
#Name: V/28
#Title: Proper Motions, UBV Photometry, Four Open Clusters (Frolov 1980)
#INFO	ivoid=ivo://cds.vizier/v/28	    IVOID of underlying data collection
#INFO	creator=Frolov V.N.	    First author or institution
#INFO	cites=bibcode:1977IzPul.195...80F	    Article or Data origin sources
#INFO	original_date=1977	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/28	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	V_28_adjarea:
#Name: V/28/adjarea
#Title: Photometry and Proper Motions Data
#Column	ID	(I4)	Star Number	[ucd=meta.id;meta.main]
#Column	X	(F6.2)	X-Coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Y	(F6.2)	Y-Coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	V	(F5.2)	*? V Magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	? U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	pmX	(I4)	X-annual proper motion	[ucd=pos.pm]
#Column	pmY	(I5)	Y-annual proper motion	[ucd=pos.pm]
#Column	Cl_mem	(I4)	*Cluster Membership	[ucd=meta.code.member]
ID;X;Y;V;B-V;U-B;pmX;pmY;Cl_mem
  31; -3.98;-20.56;13.18; 0.41; 0.38; -76;   76;   0
  32; -7.52;-20.26;13.26; 1.11; 0.22; 243;  162;   0
  33; -7.74;-20.09;14.96; 0.66;-0.05;  13;  171;   0
  34; -6.91;-19.66;13.78; 0.71; 0.18; -66;  101;   0
  35; -6.61;-19.45;13.51; 1.55; 0.51; -75;   89;   0
  36; -1.24;-23.83;11.35; 2.21; 1.97; -10;  244;   0
  37; -0.93;-23.30;15.16; 1.03;-0.55;  91;  192;   0
  38; -0.68;-22.86;13.16; 1.76;     ; -32;  106;   0
  39; -1.27;-21.60;14.93; 0.82;     ; -85;  216;   0
  40; -0.78;-21.61;13.10; 1.77; 0.76; -40;  168;   0
  41;  0.05;-21.62;14.12; 0.74; 0.06;-117;  199;   0
  42; -2.10;-21.21;14.12; 1.41;     ; 286;  285;   0
  43;  0.36;-20.92;13.43; 1.33; 0.50;-140;  118;   0
  44; -1.82;-19.44;13.86; 1.01; 0.13;  18;   70;   0
  45; -0.53;-19.73;15.26; 0.80;-0.30; -71;  108;   0
  46; -0.11;-19.81;14.67; 0.98;     ; -12;  228;   0
  47;  1.34;-19.72;13.41; 0.89; 0.21; 282;  193;   0
  48; -0.77;-18.99;14.12; 1.04; 0.13; -98;   27;   0
  49;  6.16;-23.78;15.14; 1.11;     ;  -3;  296;   0
  50;  2.15;-23.39;14.53; 1.21;-0.14;  30;  233;   0
  51;  5.90;-23.45;13.88; 1.19; 0.09;  35;  143;   0
  52;  2.42;-22.64;13.46; 1.21; 0.33; -74;  134;   0
  53;  6.57;-22.64;14.20; 0.94; 0.13;  67;  146;   0
  54;  3.68;-22.10;10.87; 1.33; 1.36; -95;   30;   0
  55; -2.99;-21.78;14.22; 1.13; 0.06;  -8;   70;   0
  56;  6.78;-21.76;12.68; 2.26; 0.75; -40;  150;   0
  57;  6.77;-20.93;14.22; 0.76;-0.04; -75;   53;   0
  58;  6.82;-20.74;14.12; 0.33;     ; -10;   70;   0
  59;  6.70;-20.64;11.98; 0.72;     ;  25; -134;   0
  60;  6.51;-20.38;14.86; 1.12;     ; -48;   61;   0
  61;  5.94;-19.84;14.47; 0.74;-0.08; -53;   12;   0
  62;  4.60;-19.02;14.13; 1.09; 0.14; -55;  123;   0
  63;  7.44;-23.32;14.12; 0.80;     ;  43;  150;   0
  64;  9.60;-23.11;15.31; 0.99;     ;-123;  111;   0
  65; 10.63;-23.11;13.28; 0.61; 0.38; -38;  117;   0
  66; 10.95;-22.27;14.20; 1.26;     ; -38;   48;   0
  67; 11.98;-22.02;13.10; 1.66;     ;  -1;   81;   0
  68;  7.90;-21.74;14.94; 1.04;-0.45; -11;  142;   0
  69;  8.27;-21.40;12.65; 0.84; 0.21; -73;   52;   0
  70;  9.05;-21.62;12.82; 0.51;-0.16; -11;  120;   0
  71;  7.92;-20.49;14.40; 0.91; 0.10; -64;   24;   0
  72; 10.57;-20.49;14.26; 0.80; 0.16; -78;   40;   0
  73; 11.05;-20.72;14.80; 0.84;-0.02; -84;   68;   0
  74;  9.54;-20.25;15.10; 1.17;-0.43;-115;  -65;   0
  75;  9.88;-19.93;15.11; 0.82;     ; -34;   58;   0
  76; 10.91;-19.87;14.39; 0.70; 0.17; -34;   33;   0
  77; 11.51;-19.75;13.99; 1.73; 0.07; -24;   62;   0
  78;  7.62;-19.29;13.58; 2.07;     ; -85;   12;   0
  79;  9.20;-19.52;14.68; 0.60; 0.01; -36;   58;   0
  80; 14.64;-23.56;13.05; 0.38;-0.07; -45;   40;   0
  81; 15.30;-23.65;13.30; 0.55;     ; -46;   -9;   0
  82; 16.86;-23.44;15.24; 1.09;     ;-169;  131;   0
  83; 12.31;-22.42;14.54; 1.26;-0.25;-192;   66;   0
  84; 16.05;-22.42;13.36; 0.84; 0.33; -56;   82;   0
  85; 12.52;-21.89;10.73; 1.48; 1.56;  68; -144;   0
  86; 12.93;-22.13;13.31; 0.57;-0.18; -81;   59;   0
  87; 13.69;-22.11;12.94; 0.85; 0.10;-175;  -12;   0
  88; 13.50;-21.60;13.12; 0.51; 0.17; -70;   15;   0
  89; 14.08;-21.61;14.53; 1.70;     ;-225;   69;   0
  90; 16.89;-22.01;14.39; 0.80;-0.05; -52;   12;   0
  91; 16.52;-21.41;14.82; 1.14;     ; -69;   20;   0
  92; 15.03;-21.03;13.98; 0.63; 0.35; -60;   46;   0
  93; 16.38;-20.64;12.84; 0.56; 0.29; -88;  -48;   0
  94; 12.74;-19.67;14.78; 0.78;     ; -54;   39;   0
  95; 14.86;-19.68;13.52; 1.70;     ;-122;   39;   0
  96; 16.35;-19.96;14.84; 1.03;     ;-170; -164;   0
  97; 14.45;-19.32;13.84; 1.02; 0.17; -78;   34;   0
  98; 16.45;-18.80;11.84; 1.47;     ;-192;  -10;   0
  99; 21.63;-23.38;14.10; 1.27;     ;-109;   28;   0
 100; 17.67;-22.73;14.18; 1.11;-0.02;  -6;  -66;   0
 101; 20.62;-22.71;12.27; 1.58; 1.28;-168;    8;   0
 102; 20.68;-22.44;14.24; 0.88;     ; -98;  -33;   0
 103; 17.61;-22.02;14.20; 2.00;     ; -42;   43;   0
 104; 18.35;-21.93;14.86; 1.08;     ;-177;   19;   0
 105; 19.23;-22.06;14.68; 1.37;     ;-209; -120;   0
 106; 19.96;-21.90;15.33; 1.11;     ;-276;  -14;   0
 107; 20.43;-21.83;15.48; 0.87;     ; -36;   44;  58
 108; 19.22;-21.27;15.46; 0.78;     ;-155; -196;   0
 109; 21.68;-20.35;14.74; 0.99;     ;-102;   -7;   0
 110; 17.74;-19.16;14.50; 1.07;     ;-168;   43;   0
 111; 20.50;-18.80;     ;     ;     ; -79; -136;   0
 112; 23.40;-23.30;10.95; 0.79; 0.25; -47;   56;   0
 113; 23.69;-23.29;13.64; 0.67;-0.08; -98;  -32;   0
 114; 24.44;-23.41;11.69; 0.57; 0.44;  14;   16;   0
 115; 26.24;-23.39;14.08; 0.98; 0.27;  -6;   -8;   0
 116; 26.14;-23.13;14.27; 0.87; 0.37;  16; -164;   0
 117; 25.59;-22.69;13.20; 0.70; 0.19;   9;   24;   0
 118; 23.48;-22.02;14.06; 1.15; 0.13; -44;  -30;   0
 119; 24.37;-22.18;13.89; 0.74; 0.08;  25;  -54;  58
 120; 25.19;-22.26;15.35; 0.45;     ; -81;  -82;   0
 121; 25.83;-22.15;13.16; 1.88; 0.29;  83;  -32;   0
 122; 25.03;-21.20;12.35; 0.80; 0.23;-153;   22;   0
 123; 25.08;-20.64;14.19; 1.45;     ;  -8;   -2;   0
 124; 26.52;-20.88;14.90; 0.71;     ; -76;  -43;   0
 125; 26.35;-20.60;15.37; 0.89;     ; -26;   64;   0
 126; 22.35;-20.13;15.05; 0.94;-0.36;-104;   32;   0
 127; 22.70;-19.70;14.56; 1.18; 0.01; 550; -114;   0
 128; 26.96;-19.61;10.45; 2.08;     ; -24;  -48;  58
 129; 22.60;-18.81;15.16; 0.79;     ;-200;  -54;   0
 130; 22.95;-18.61;13.72; 0.67;     ; -60;  -62;  58
 131; 23.24;-19.15;14.71; 0.69;-0.20; -84;   -3;   0
 132; 23.43;-19.05;14.78; 0.70;-0.17; -92; -108;   0
 133; 23.71;-19.10;15.07; 0.81;     ; -90;    6;   0
 134; 24.14;-19.35;14.86; 1.02;     ; -85;   60;   0
 135; 24.08;-18.78;15.35; 0.97;     ; -74;  -79;   0
 136; 24.39;-18.52;14.93; 1.17;     ;-176;   40;   0
 137; 24.50;-18.79;15.24; 0.90;     ; -34;   24;  58
 138; 24.82;-18.88;15.46; 0.71;     ;-148;   32;   0
 139; 26.13;-18.69;13.78; 0.72; 0.25;  -5;   -8;  58
 140; 30.98;-22.82;     ;     ;     ; -40;  -10;   0
 141; 31.05;-22.49;     ;     ;     ;  39;  -30;   0
 142; 30.10;-22.32;     ;     ;     ;-287; -106;   0
 143; 27.74;-20.65;13.52; 0.71;-0.09;  16;    8;  58
 144; 31.55;-20.84;     ;     ;     ; -85; -141;   0
 145; 29.68;-19.96;     ;     ;     ;-157;   40;   0
 146; 31.24;-20.14;     ;     ;     ;-179;  -66;   0
 147; 31.03;-19.55;     ;     ;     ;-350;  -60;   0
 148; 27.82;-19.15;14.96; 1.27;     ;-167;  -47;   0
 149; 29.50;-18.40;     ;     ;     ;-166;  -23;   0
 150; 30.17;-18.73;     ;     ;     ;-243;  -18;   0
 151;-28.05;-19.00; 9.86; 0.81;     ; -47;   38;   0
 152;-27.06;-19.18;15.15; 0.85;     ; -27;   67;   0
 153;-26.72;-19.00;14.13; 1.22; 0.00;  35;  108;   0
 154;-24.03;-18.72;14.27; 2.69;     ;  45;   65;   0
 155;-23.98;-17.93;13.98; 0.19;-0.13;   2;   32;   0
 156;-26.73;-17.42;14.13; 1.22; 0.03; -53;   86;   0
 157;-26.66;-16.93;14.78; 0.98;-0.44;  26;   68;   0
 158;-25.93;-16.67;12.14; 0.92; 0.30;  -8;  -24;   0
 159;-25.97;-16.49;15.23; 1.13;     ;  30;  105;   0
 160;-27.62;-15.77;14.39; 0.95;-0.31; -59;  -37;   0
 161;-23.10;-15.81;14.52; 0.75;     ;  92;   49;   0
 162;-25.90;-14.76;14.58; 1.04;-0.48;  53;    9;   0
 163;-19.75;-19.05;12.48; 1.77;     ; -32;  124;   0
 164;-19.70;-18.94;14.04; 1.12;     ; 187;  -34;   0
 165;-19.07;-18.96;14.92; 0.79;     ;  94;  150;   0
 166;-18.52;-18.77;11.56; 0.49; 0.06;  61;   21;   0
 167;-22.72;-18.02;15.13; 0.73;-0.31; 153;  -45;   0
 168;-22.40;-17.76;14.39; 1.13;     ; -10;   17;   0
 169;-19.64;-17.68;15.14; 0.80;-0.39; -20;   -9;   0
 170;-20.84;-17.37;11.48; 0.41;-0.01;  34;  -30;   0
 171;-21.32;-16.71;12.31; 0.80; 0.19;  76;  -40;   0
 172;-22.63;-15.92;13.19; 1.29; 0.02; 178;   64;   0
 173;-19.39;-15.84;12.75; 0.44;     ;  80;  -27;   0
 174;-19.54;-15.66;13.16; 0.54; 0.21; -20;  -23;   0
 175;-18.92;-15.51;14.94; 1.05;     ;  83;  -18;   0
 176;-19.61;-15.24;13.84; 1.36; 0.18;  38;  -66;   0
 177;-22.42;-15.29;14.88; 1.18;     ; 172;  -51;   0
 178;-20.43;-14.40;15.17; 0.81;-0.65; 115;   36;   0
 179;-20.07;-14.75;14.03; 1.15;     ;  -7;  -16;   0
 180;-19.16;-14.56;14.50; 0.83; 0.14;  68; -102;   0
 181;-14.28;-19.01;11.38; 0.70; 0.42; -28;   28;   0
 182;-14.11;-18.33;15.34; 0.77;     ;  23;   -2;   0
 183;-14.58;-17.82;15.38; 0.77;     ;  43;   16;   0
 184;-14.40;-17.66;14.60; 0.81; 0.03; -24;   12;   0
 185;-13.72;-17.74;15.13; 0.93;     ;  12;    4;   0
 186;-14.24;-16.86;12.78; 1.76; 0.95; -51;   25;   0
 187;-18.05;-14.56;13.84; 1.06; 0.08; -58;  -16;   0
 188;-17.68;-14.49;14.25; 1.33;     ; 224;   65;   0
 189;-16.27;-14.80;14.52; 1.67;     ; -10;   14;   0
 190;-14.21;-15.27;15.48; 0.94;     ; 129;  -10;   0
 191;-14.04;-14.42;14.55; 0.86;     ; -12;  -68;   0
 192;-12.45;-19.19;13.64; 0.72; 0.30; -29;   29;   0
 193;-11.06;-18.99;15.00; 0.78;     ; -33;  125;   0
 194;-10.30;-18.36;13.75; 0.57; 0.06; -41;   29;   0
 195;-12.31;-17.67;15.05; 1.26;     ;  56;   52;   0
 196;-10.42;-17.45;13.02; 0.91; 0.33;   0;  -30;   0
 197;-11.15;-17.17;14.72; 0.96;-0.01; -57;    3;   0
 198; -8.11;-16.93;11.64; 0.30; 0.20;  18; -149;   0
 199;-11.53;-15.87;13.50; 0.69;-0.06; -29;  -20;   0
 200;-12.05;-14.26;15.07; 0.97;     ;  21;  -82;   0
 201; -5.78;-18.83;14.33; 0.71;-0.31; -16;   87;   0
 202; -5.89;-18.51;11.23; 0.51;-0.19; -59;  -37;   0
 203; -6.06;-17.92;14.52; 0.69; 0.01;  31;   42;   0
 204; -7.65;-17.66;14.10; 1.56;     ;  48;   30;   0
 205; -7.90;-16.71;13.75; 0.98;     ; -43;  -14;   0
 206; -3.41;-16.75;15.11; 0.80;     ;  -2;  -32;   0
 207; -7.15;-16.02;14.14; 0.55;     ; -30;  -49;   0
 208; -5.43;-16.19;14.81; 1.09;-0.20; -32;  -18;   0
 209; -4.61;-15.89;14.10; 0.95;     ; -21;  -20;   0
 210; -3.21;-14.78;14.07; 0.64; 0.19;  26;  -36;   0
 211; -4.50;-14.52;13.99; 0.52;-0.06;  10;  -38;   0
 212; -7.45;-14.30;15.21; 0.87;     ;  60;   68;   0
 213; -7.09;-14.12;14.34; 0.92;-0.08;  28;   -2;   0
 214; -2.33;-18.47;13.52; 0.78; 0.30; -29;   23;   0
 215; -1.78;-17.87;14.59; 0.81; 0.01;  30;   19;   0
 216;  0.08;-17.89;12.50; 0.40;-0.07;  19;   41;   0
 217; -0.24;-17.24;14.51; 1.12;-0.13; 279; -170;   0
 218; -0.07;-16.85;14.95; 0.96;     ;  -9;   73;   0
 219;  0.38;-16.95;14.43; 1.07; 0.05;  36;  -42;   0
 220; -2.76;-15.39;15.34; 0.90;     ; -24;   96;   0
 221; -3.03;-14.58;13.49; 2.26;     ;  29;   36;   0
 222; -2.71;-14.47;15.05; 0.89;     ; -46;  -72;   0
 223; -2.88;-14.09;13.69; 1.05; 0.26;  -8;  -14;   0
 224; -1.89;-14.19;14.51; 0.80; 0.27;-123;  -34;   0
 225;  6.36;-18.64;15.02; 1.09;     ; -72;   59;   0
 226;  6.79;-18.33;15.11; 0.55;     ; -78;    4;   0
 227;  4.07;-17.05;12.30; 0.58; 0.39; -22;  -79;   0
 228;  5.25;-17.20;14.44; 1.06;     ;  61;  -41;   0
 229;  5.77;-17.51;15.27; 0.79;     ;  38;   24;   0
 230;  6.31;-17.63;15.17; 0.71;     ; -28;   82;   0
 231;  6.66;-17.79;14.26; 0.89; 0.00;  22;  -28;   0
 232;  5.93;-17.02;15.29; 0.78;     ; -30;   86;   0
 233;  6.03;-16.86;15.54; 0.59;     ;   9;  -13;   0
 234;  6.55;-17.04;14.92; 0.88;     ; -27;   24;   0
 235;  4.44;-16.00;15.31; 0.68;     ;  41;  -52;   0
 236;  3.17;-15.37;13.48; 1.01; 0.23; 158;  -65;   0
 237;  3.80;-15.07;14.96; 0.96;-0.24;  48;  -42;   0
 238;  6.93;-16.09;14.13; 1.03; 0.08;-120; -105;   0
 239;  1.98;-13.98;13.71; 1.84;     ; -28; -109;   0
 240;  2.78;-14.27;14.31; 0.93;     ; -45;  -20;   0
 241;  3.91;-13.90;15.19; 0.76;-0.22; -56;  -32;   0
 242;  6.30;-13.88;15.09; 0.63;     ; -56;  -56;   0
 243; 11.01;-17.30;15.28; 0.73;-0.01;  -2;   -6;   0
 244; 10.91;-16.62;15.40; 0.81;     ; -44;    6;   0
 245; 11.67;-16.93;15.09; 0.80;     ; -28;   28;   0
 246; 11.82;-16.86;14.61; 1.16;     ;  54;  -71;   0
 247;  7.59;-16.74;15.26; 0.67;-0.39;  -6;    3;   0
 248;  7.98;-16.77;14.19; 0.97; 0.04;  63;  -28;   0
 249;  8.89;-16.28;11.24; 0.49; 0.38; 155;  -47;   0
 250;  7.20;-15.78;12.79; 1.27; 0.75;  -2;  -50;   0
 251;  8.80;-15.43;14.57; 1.65;     ;-114;   42;   0
 252;  8.08;-14.60;14.19; 1.31;     ;  94; -100;   0
 253;  8.24;-14.59;10.21; 0.73; 0.17; 290;  -17;   0
 254;  9.00;-14.97;13.41; 0.84; 0.24; -68;  -42;   0
 255;  9.53;-15.22;14.77; 0.56; 0.13; -95;  -14;   0
 256;  9.65;-14.18;14.28; 1.61;     ; -18;  -14;   0
 257; 10.38;-14.48;13.86; 1.45; 0.21;  54;    4;   0
 258; 10.81;-13.98;12.89; 0.42; 0.38;  49; -100;   0
 259; 11.06;-14.24;14.20; 0.68;-0.33; -19;   -8;   0
 260; 11.65;-14.95;14.62; 1.48;     ; -29;  -65;   0
 261; 15.10;-18.30;13.36; 1.83;     ; 323; -178;   0
 262; 16.75;-18.35;13.93; 1.07;-0.12; -30;    8;   0
 263; 16.77;-18.09;12.92; 0.54; 0.16; 113;   57;   0
 264; 12.87;-17.15;14.30; 0.89;     ; -30;  -83;   0
 265; 13.88;-17.44;14.72; 1.08;-0.29; -58; -130;   0
 266; 14.80;-17.28;12.77; 0.55; 0.36; -42;  -51;   0
 267; 14.70;-16.81;14.60; 0.76; 0.15; -69;  -24;   0
 268; 13.03;-15.40;14.82; 1.06;     ; 102;  112;   0
 269; 15.24;-15.47;14.85; 1.01;     ; -90; -142;   0
 270; 12.86;-14.10;14.82; 1.11;-0.20;-106;  -64;   0
 271; 16.45;-14.20;14.67; 0.56;-0.05;  17;  -41;   0
 272; 18.56;-18.43;13.25; 0.73; 0.36;   8;  -26;  58
 273; 18.97;-18.37;13.88; 0.86; 0.36;  -3;    1;  58
 274; 18.35;-16.81;14.08; 0.59;-0.16;  -8;   14;  58
 275; 20.37;-16.61;15.03; 0.81;-0.38;  28;  -26;   0
 276; 20.48;-16.75;14.70; 1.10;     ; -74;  -49;   0
 277; 20.67;-17.27;15.27; 0.89;-0.32; -51;   34;   0
 278; 20.79;-17.55;15.06; 0.75;-0.11; -68;  -26;   0
 279; 21.11;-17.39;12.02; 0.61; 0.46;  82;  -58;   0
 280; 21.54;-17.39;13.73; 2.21;     ; -10;   30;   0
 281; 21.97;-17.01;13.71; 0.52; 0.19; -46;  -48;  58
 282; 17.67;-15.94;15.02; 1.16;     ;  -9;  -40;   0
 283; 21.84;-15.73;15.17; 0.83;     ; 114;   23;   0
 284; 21.72;-15.17;13.94; 2.09;     ; -10;  -64;   0
 285; 21.59;-14.43;14.39; 1.07;     ;  16; -102;   0
 286; 18.43;-14.16;14.43; 0.94; 0.00; -28;  -44;  58
 287; 18.57;-13.96;13.38; 1.50;     ;   6;  -43;   0
 288; 18.83;-13.64;15.12; 0.91;     ; -85;   26;  58
 289; 19.54;-14.49;14.88; 0.79;     ;   4;  -18;   0
 290; 19.74;-14.42;14.60; 0.91;     ; -48;  -82;   0
 291; 22.46;-17.43;13.89; 0.70; 0.04; -14;  -55;  58
 292; 23.31;-17.88;13.60; 0.65; 0.17;  19;    3;  58
 293; 24.52;-17.39;12.72; 0.65; 0.08; -23;  -70;  58
 294; 24.01;-17.76;15.49; 0.62;     ; -70;  -60;   0
 295; 24.24;-17.85;15.47; 0.83;     ;   8;  -56;   0
 296; 24.85;-17.67;14.55; 0.80; 0.03;  -4;  -10;  58
 297; 25.24;-17.40;14.85; 0.82;     ;-144; -110;   0
 298; 25.64;-17.14;14.26; 0.71; 0.07; -71;  -54;  58
 299; 25.35;-18.11;15.35; 0.77;-0.48;-143;   74;   0
 300; 25.40;-17.91;14.73; 0.85;     ; -70;   18;  58
 301; 25.92;-18.22;14.39; 0.41;-0.02; -89;  -10;   0
 302; 26.10;-18.18;14.46; 0.70;     ; -65;   -6;   0
 303; 23.06;-16.17;14.85; 0.69;     ; -34;  -36;  58
 304; 23.48;-16.05;15.16; 0.69;     ; -63;  -96;  58
 305; 23.75;-16.19;13.33; 0.58; 0.11; -22;  -23;  58
 306; 24.09;-16.66;14.87; 1.04;     ; -24;  168;   0
 307; 24.06;-16.01;13.31; 0.74;     ; -18;  -38;  58
 308; 24.19;-15.78;14.77; 0.90;     ;  26;   -6;   0
 309; 24.76;-16.73;13.20; 0.61; 0.05; -51;  -69;  58
 310; 24.93;-16.66;13.51; 0.58;-0.30; -34;  -96;  58
 311; 24.68;-16.01;15.36; 0.85;     ; -45;  -48;   0
 312; 24.71;-15.38;15.07; 0.83;     ;  37;  -25;  58
 313; 25.25;-16.31;13.40; 0.74;     ; -40;   -2;  58
 314; 25.25;-16.05;14.87; 0.71;-0.02;-104;  -78;   0
 315; 25.69;-16.11;15.13; 0.66;     ; -66;  -32;   0
 316; 26.06;-15.81;13.19; 0.89;     ;  15;    6;   0
 317; 22.09;-14.50;15.40; 0.76;     ;   0;    6;  58
 318; 23.27;-15.21;15.44; 0.71;     ;-360;  -10;   0
 319; 25.85;-15.06;13.44; 1.40;     ;   2;  -65;   0
 320; 25.66;-14.43;13.11; 0.64; 0.11; -38;  -57;  58
 321; 24.75;-14.10;13.37; 0.64;-0.10; -83;  -40;  58
 322; 25.41;-14.06;10.87; 0.53; 0.12; -30;  -27;  58
 323; 26.00;-13.89;12.87; 1.69;     ; -69;  -78;   0
 324; 26.16;-13.84;12.99; 0.67; 0.49;-102;    1;   0
 325; 29.37;-17.53;     ;     ;     ;-178;  -36;   0
 326; 27.67;-17.25;     ;     ;     ; -24; -100;   0
 327; 30.18;-16.19;     ;     ;     ;-201; -112;   0
 328; 27.06;-15.79;     ;     ;     ;-123;   -9;   0
 329; 27.61;-15.32;13.97; 0.83;     ;-136;   34;   0
