#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:22:03 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:22:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/542/A68/table3&-order=I&-out=Seq&-out=Xpos&-out=Ypos&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Rcmag&-out=e_Rcmag&-out=Icmag&-out=e_Icmag&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35420068
#Name: J/A+A/542/A68
#Title: NGC 3231, 7055 and 7127 BVRI photometry (Paunzen+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/542/a68	    IVOID of underlying data collection
#INFO	creator=Paunzen E.	    First author or institution
#INFO	cites=bibcode:2012A&A...542A..68P	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/542/A68	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35420068	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_542_A68_table3:
#Name: J/A+A/542/A68/table3
#Title: Observed program stars of NGC 7127
#Column	Seq	(I3)	Stars number sorted after X and Y, within the cluster	[ucd=meta.id;meta.main]
#Column	Xpos	(F6.2)	X coordinate (scale 0.9"/pix)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F6.2)	Y coordinate (scale 0.9"/pix)	[ucd=pos.cartesian.y;instr.det]
#Column	Bmag	(F6.3)	? Johnson-Cousins B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	? Error in B magnitude	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? Johnson-Cousins V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Rcmag	(F6.3)	? Johnson-Cousins R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rcmag	(F6.3)	? Error in R magnitude	[ucd=stat.error;phot.mag;em.opt.R]
#Column	Icmag	(F6.3)	? Johnson-Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Icmag	(F6.3)	? Error in I magnitude	[ucd=stat.error;phot.mag;em.opt.I]
#Column	_RA	(F10.6)	Position computed from a comparison with 2MASS (Cat. II/246) ({sigma}=0.3'') (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Position computed from a comparison with 2MASS (Cat. II/246) ({sigma}=0.3'') (declination part)	[ucd=pos.eq.dec;meta.main]
Seq;Xpos;Ypos;Bmag;e_Bmag;Vmag;e_Vmag;Rcmag;e_Rcmag;Icmag;e_Icmag;_RA;_DE
127;362.01;430.70;15.858; 0.035;14.791; 0.007;13.949; 0.005;13.262; 0.005;325.956644;+54.582627
128;365.77;272.24;      ;      ;16.957; 0.043;16.012; 0.018;15.275; 0.017;325.956122;+54.624309
129;366.59;463.56;      ;      ;16.331; 0.026;15.686; 0.014;15.322; 0.019;325.954321;+54.574006
130;368.68;320.51;      ;      ;13.291; 0.003;12.954; 0.002;12.767; 0.004;325.954440;+54.611629
131;372.54;390.50;12.050; 0.002;11.580; 0.001;11.290; 0.001;11.133; 0.001;325.952166;+54.593242
132;373.27;316.02;13.767; 0.006;13.280; 0.003;12.945; 0.002;12.755; 0.003;325.952389;+54.612829
133;378.66; 69.34;      ;      ;15.857; 0.017;15.361; 0.011;15.149; 0.017;325.951779;+54.677714
134;379.55;  9.76;      ;      ;17.157; 0.055;16.644; 0.035;      ;      ;325.951819;+54.693384
135;381.53;472.48;      ;      ;16.890; 0.040;15.898; 0.016;15.104; 0.014;325.947477;+54.571724
136;388.10;213.33;      ;      ;16.761; 0.037;16.116; 0.020;15.678; 0.025;325.946416;+54.639893
137;389.53;304.68;      ;      ;15.098; 0.009;14.295; 0.004;13.576; 0.004;325.945089;+54.615879
138;394.03;384.75;14.796; 0.013;14.441; 0.006;14.182; 0.004;14.120; 0.007;325.942454;+54.594844
139;394.08;446.62;      ;      ;17.165; 0.051;16.406; 0.027;15.940; 0.035;325.941974;+54.578576
140;405.95; 53.05;15.633; 0.027;15.254; 0.010;14.902; 0.007;14.703; 0.011;325.939487;+54.682113
141;410.93;417.89;      ;      ;16.829; 0.042;16.235; 0.026;15.978; 0.042;325.934539;+54.586201
142;411.53;285.78;      ;      ;14.956; 0.008;13.825; 0.004;14.461; 0.008;325.935236;+54.620941
143;413.38;277.86;14.907; 0.014;14.326; 0.005;13.825; 0.004;13.833; 0.005;325.934454;+54.623031
144;418.32;146.42;      ;      ;17.339; 0.068;16.292; 0.025;15.545; 0.022;325.933174;+54.657613
145;419.11;116.81;12.075; 0.002;11.786; 0.001;11.605; 0.001;11.629; 0.002;325.933032;+54.665402
146;425.69;402.73;      ;      ;16.361; 0.028;15.730; 0.016;15.323; 0.020;325.927951;+54.590249
147;427.34;432.14;15.843; 0.033;15.546; 0.013;15.122; 0.009;14.858; 0.013;325.926988;+54.582522
148;432.15;127.12;      ;      ;      ;      ;16.113; 0.020;15.444; 0.021;325.927027;+54.662746
149;433.65;218.38;15.273; 0.019;14.848; 0.007;14.540; 0.005;14.430; 0.008;325.925680;+54.638755
150;439.56;296.29;      ;      ;17.295; 0.058;16.640; 0.033;16.044; 0.036;325.922428;+54.618294
151;441.94;229.15;      ;      ;      ;      ;16.687; 0.047;16.233; 0.064;325.921835;+54.635958
152;442.89;163.66;      ;      ;17.223; 0.057;16.594; 0.034;16.154; 0.043;325.921879;+54.653182
153;443.50; 13.61;15.659; 0.029;15.330; 0.012;15.017; 0.008;14.864; 0.013;325.922692;+54.692639
154;443.63; 25.40;      ;      ;      ;      ;16.335; 0.030;15.855; 0.042;325.922547;+54.689540
155;444.06;326.31;      ;      ;17.253; 0.056;16.488; 0.029;15.991; 0.036;325.920167;+54.610419
156;445.79;183.42;16.183; 0.046;15.243; 0.010;14.526; 0.005;13.910; 0.006;325.920417;+54.647998
157;445.90;458.11;      ;      ;16.861; 0.040;16.217; 0.021;15.901; 0.032;325.918378;+54.575770
158;446.81;257.47;      ;      ;16.295; 0.024;15.896; 0.016;15.668; 0.026;325.919417;+54.628531
159;452.96;234.86;      ;      ;17.136; 0.063;16.480; 0.035;15.974; 0.047;325.916786;+54.634501
160;453.22;387.28;      ;      ;16.519; 0.029;15.961; 0.018;15.618; 0.025;325.915567;+54.594424
161;456.88; 67.11;      ;      ;16.281; 0.025;15.812; 0.018;15.519; 0.025;325.916217;+54.678627
162;458.44; 26.64;14.656; 0.011;14.351; 0.005;14.144; 0.004;14.085; 0.007;325.915800;+54.689274
163;463.18;183.92;      ;      ;16.026; 0.022;15.588; 0.013;15.444; 0.022;325.912509;+54.647938
164;463.99;134.95;      ;      ;16.602; 0.038;16.153; 0.025;15.815; 0.034;325.912494;+54.660817
165;466.70;390.66;      ;      ;16.295; 0.023;15.860; 0.016;15.617; 0.025;325.909424;+54.593591
166;469.35;230.25;      ;      ;16.872; 0.045;16.325; 0.029;15.944; 0.040;325.909372;+54.635781
167;472.21;201.93;14.509; 0.010;14.163; 0.004;13.882; 0.004;13.855; 0.005;325.908276;+54.643239
168;476.42;110.56;11.202; 0.001;10.645; 0.001;10.228; 0.001; 9.810; 0.001;325.907017;+54.667281
169;476.52;380.37;      ;      ;16.338; 0.025;15.861; 0.017;15.610; 0.026;325.905040;+54.596336
170;478.64;295.60;      ;      ;16.916; 0.041;16.375; 0.026;16.027; 0.038;325.904684;+54.618635
171;487.81;447.10;16.142; 0.043;15.794; 0.015;15.342; 0.010;14.955; 0.013;325.899441;+54.578836
172;489.31;231.91;      ;      ;16.864; 0.046;16.212; 0.026;15.901; 0.037;325.900291;+54.635425
173;490.21;416.10;      ;      ;16.136; 0.019;15.659; 0.013;15.360; 0.018;325.898572;+54.586997
174;490.93;107.50;      ;      ;      ;      ;15.612; 0.019;15.286; 0.028;325.900441;+54.668145
175;497.55;236.40;      ;      ;17.180; 0.065;16.573; 0.040;16.035; 0.044;325.896515;+54.634278
176;500.19; 32.93;      ;      ;16.574; 0.030;15.982; 0.017;15.605; 0.024;325.896759;+54.687790
177;502.16;294.67;      ;      ;16.823; 0.040;16.147; 0.021;15.771; 0.028;325.894007;+54.618974
178;503.61;221.00;      ;      ;17.029; 0.066;16.228; 0.032;15.478; 0.027;325.893870;+54.638351
179;506.35;288.59;      ;      ;16.837; 0.038;16.186; 0.022;15.803; 0.029;325.892147;+54.620590
180;509.41;124.07;      ;      ;16.526; 0.032;15.768; 0.017;15.273; 0.019;325.891920;+54.663862
181;512.49; 92.83;      ;      ;17.122; 0.056;16.456; 0.030;16.084; 0.044;325.890740;+54.672089
182;520.19;343.20;      ;      ;17.330; 0.068;16.641; 0.038;16.216; 0.051;325.885477;+54.606286
183;521.12;120.40;      ;      ;16.481; 0.029;15.572; 0.012;14.801; 0.012;325.886621;+54.664874
184;521.46; 80.26;      ;      ;16.906; 0.043;16.278; 0.027;15.952; 0.037;325.886749;+54.675430
185;522.73;215.26;11.374; 0.001;10.971; 0.001;10.744; 0.001;10.461; 0.001;325.885222;+54.639937
186;524.47;453.17;      ;      ;17.320; 0.059;16.684; 0.037;16.337; 0.051;325.882764;+54.577386
187;525.14;162.39;      ;      ;16.765; 0.046;16.334; 0.033;15.972; 0.040;325.884498;+54.653849
188;525.21;239.33;      ;      ;      ;      ;16.356; 0.037;15.740; 0.037;325.883926;+54.633618
