#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T04:32:53 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T04:32:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/203/catalog&-order=I&-out=SeqNo&-out=IDs&-out=pmX&-out=pmY&-out=e_pm&-out=Pr&-out=V&-out=B-V&-out=U-B&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1203
#Name: I/203
#Title: Proper Motions, UBV-Phot. & Spectral Class Region 7092 (Platais 1994)
#INFO	ivoid=ivo://cds.vizier/i/203	    IVOID of underlying data collection
#INFO	creator=Platais I.	    First author or institution
#INFO	cites=bibcode:1994BICDS..44....9P	    Article or Data origin sources
#INFO	original_date=1994	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/203	    Dataset landing page
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_203_catalog:
#Name: I/203/catalog
#Title: The Catalogue in the region of NGC 7092
#Column	SeqNo	(I4)	[1/7931]+ Sequential number of the star.	[ucd=meta.id;meta.main]
#Column	IDs	(A1)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	pmX	(F6.1)	Relative proper motions in X (2)	[ucd=pos.pm]
#Column	pmY	(F6.1)	Relative proper motions in Y (2)	[ucd=pos.pm]
#Column	e_pm	(F4.1)	Mean standard error of proper motions (6)	[ucd=stat.error]
#Column	Pr	(I3)	Calculated membership probabilities (7)	[ucd=stat.fit.goodness]
#Column	V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	RAJ2000	(A11)	Right Ascension (hours), Equinox=J2000 and Epoch=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (degrees)	[ucd=pos.eq.dec;meta.main]
SeqNo;IDs;pmX;pmY;e_pm;Pr;V;B-V;U-B;RAJ2000;DEJ2000
  25; ;   4.7;  -5.9; 2.9;  0;14.28; 0.73; 0.41;21 26 21.88;+48 38 37.9
  26; ;  -3.8;  -5.0; 2.8;  0;14.81; 0.50; 0.21;21 26 22.40;+48 41 40.9
  27; ;  15.4;  -4.6; 1.9;  0;13.06; 0.73; 0.24;21 26 27.02;+48 11 03.6
  28; ;   2.3;   0.9; 1.7;  0;13.35; 0.74; 0.44;21 26 24.61;+48 28 13.2
  29; ;  -5.6;  -2.2; 4.3;  0;14.66; 0.64; 0.38;21 26 23.61;+48 37 37.9
  30; ; -16.5;  -3.2; 1.6;  0;13.31; 0.73; 0.14;21 26 25.45;+48 25 36.5
  31; ;  -2.1;  -3.0; 2.1;  0;13.00; 1.49; 1.10;21 26 23.67;+48 39 48.2
  32; ;  -4.3;  -2.5; 1.9;  0;12.86; 0.47; 0.47;21 26 26.70;+48 17 42.7
  33; ;   0.8;   3.0; 1.7;  0;13.66; 0.45; 0.54;21 26 25.30;+48 28 38.7
  34; ;   2.0;  10.4; 3.2;  0;14.54; 0.99; 0.52;21 26 26.24;+48 31 39.6
  35; ;  -5.2;   0.4; 2.2;  0;13.38; 1.46; 0.96;21 26 29.65;+48 14 33.7
  36; ;   5.6;  -1.3; 2.3;  0;14.32; 0.72; 0.52;21 26 29.76;+48 14 49.0
  37; ;   1.0;  17.1; 4.1;  0;14.33; 0.81; 0.39;21 26 26.74;+48 37 10.9
  38; ;  -0.6;  -6.0; 3.0;  0;14.95; 0.52; 0.31;21 26 26.72;+48 38 50.2
  39; ;  -0.3;  -4.9; 1.8;  0;13.80; 0.48; 0.41;21 26 26.78;+48 39 44.1
  40; ;  -5.1;   0.0; 1.7;  0;13.64; 0.43; 0.42;21 26 28.87;+48 32 02.6
  41; ;  10.4;  -5.7; 3.7;  0;14.19; 1.43; 1.05;21 26 30.07;+48 24 08.6
  42; ;   2.7;   4.2; 1.6;  0;13.36; 0.68; 0.13;21 26 30.81;+48 22 31.6
  43; ;   2.7;   1.9; 2.2;  0;14.37; 0.55; 0.42;21 26 31.70;+48 23 54.4
  44; ;  -0.6;   0.2; 3.1;  0;14.94; 0.56; 0.43;21 26 31.93;+48 22 10.0
  45; ;   0.6;   0.7; 2.2;  0;14.47; 0.48; 0.43;21 26 33.81;+48 13 59.1
  46; ;  -6.4;   0.0; 2.1;  0;14.12; 0.54; 0.44;21 26 32.80;+48 21 20.2
  47; ;  -0.9;   6.7; 2.4;  0;14.36; 0.84; 0.37;21 26 31.76;+48 35 34.3
  48; ;   5.3;   4.2; 1.9;  0;13.15; 0.68; 0.33;21 26 34.25;+48 17 50.0
  49; ;  -4.8;  -0.7; 3.0;  0;14.57; 0.61; 0.22;21 26 31.18;+48 42 08.8
  50; ;   6.1;   3.3; 1.8;  0;12.05; 0.44; 0.31;21 26 33.16;+48 32 48.7
  51;*;  -3.0;   5.4; 2.0;  0;10.68; 0.36; 0.02;21 26 32.84;+48 39 30.0
  52; ;  -2.6;  -0.3; 1.8;  0;11.45; 1.37; 1.22;21 26 35.60;+48 19 48.2
  53; ;   8.0;   6.8; 2.1;  0;13.83; 0.83; 0.44;21 26 35.39;+48 22 09.9
  54; ;  -1.7;  -3.5; 1.6;  0;12.72; 1.33; 1.20;21 26 34.26;+48 30 44.7
  55; ;  -0.4;   2.2; 1.9;  0;12.90; 0.75; 0.64;21 26 37.34;+48 10 41.8
  56; ;  -2.2;   2.5; 1.6;  0;13.75; 0.35; 0.36;21 26 35.50;+48 26 02.8
  57; ;   0.0;  -1.8; 2.2;  0;13.38; 0.54; 0.90;21 26 37.75;+48 10 46.8
  58; ;  -3.5;  -6.3; 2.0;  0;12.23; 2.14; 2.18;21 26 34.17;+48 38 18.3
  59; ;   1.3;  -5.1; 2.7;  0;13.20; 1.67; 1.49;21 26 38.20;+48 11 47.9
  60; ;  -2.3;  -3.8; 2.7;  0;13.25; 1.55; 1.29;21 26 35.77;+48 34 19.0
  61; ;  -3.0;   0.2; 2.3;  0;14.26; 0.78; 0.28;21 26 37.01;+48 28 58.6
  62; ;  11.9;   5.5; 2.9;  0;14.51; 0.81; 0.13;21 26 37.31;+48 27 56.6
  63; ;  -6.8;  -7.3; 2.7;  0;14.37; 0.49; 0.49;21 26 36.82;+48 33 37.5
  64; ;   0.3;   2.9; 1.8;  0;12.16; 0.31; 0.13;21 26 39.21;+48 16 51.2
  65; ;  -1.1;   2.3; 1.9;  0;13.41; 0.50; 0.36;21 26 39.91;+48 13 54.7
  66; ;  -4.3;  -2.8; 2.1;  0;13.28; 1.43; 1.07;21 26 38.39;+48 26 46.3
  67; ;  -5.5;  -1.6; 2.1;  0;13.98; 0.60; 0.35;21 26 36.91;+48 39 10.3
  68; ;  -2.0;  -5.4; 2.9;  0;13.82; 1.41; 0.91;21 26 40.88;+48 10 22.2
  69; ;  -7.0;   3.0; 2.3;  0;14.64; 0.52; 0.49;21 26 39.71;+48 23 34.5
  70; ;   3.5;  -6.2; 3.0;  0;14.77; 0.70; 0.40;21 26 38.13;+48 37 00.1
  71; ;   1.1;  -2.2; 1.9;  0;12.42; 1.35; 1.13;21 26 37.74;+48 41 51.5
  72; ;   2.3;   3.5; 2.7;  0;13.97; 1.28; 1.02;21 26 41.15;+48 18 48.3
  73; ;   8.1;   3.6; 1.9;  0;12.94; 0.87; 0.51;21 26 41.76;+48 20 42.4
  74; ;  13.3; -16.6; 2.9;  0;14.46; 0.94; 0.20;21 26 43.39;+48 09 46.2
  75; ;  -3.8;  -3.3; 2.2;  0;14.13; 0.64; 0.47;21 26 40.09;+48 38 03.4
  76;*;  -4.0; -14.8; 2.6; 97; 9.79; 0.25; 0.14;21 26 40.57;+48 34 47.6
  77; ;   8.4; -27.8; 1.9;  0;13.19; 0.70; 0.42;21 26 41.83;+48 26 21.1
  78; ;   2.8;  -0.7; 1.9;  0;13.00; 0.56; 0.25;21 26 40.46;+48 38 35.2
  79; ;   0.7;  14.0; 2.1;  0;13.79; 0.98; 0.57;21 26 42.61;+48 24 42.2
  80; ;  -0.4;  -6.8; 2.3;  0;12.48; 1.25; 0.86;21 26 40.21;+48 46 25.4
  81; ;  -5.8;  -1.5; 2.7;  0;14.73; 0.56; 0.39;21 26 41.67;+48 36 34.6
  82; ;  -0.7;   0.3; 1.9;  0;13.16; 0.57; 0.17;21 26 45.32;+48 11 34.6
  83; ;  -2.7;  -1.8; 1.9;  0;12.71; 0.35; 0.40;21 26 44.18;+48 20 19.7
  84; ;   0.4;   1.3; 2.2;  0;12.45; 0.33; 0.17;21 26 41.36;+48 44 45.7
  85; ;  -4.5;  -2.4; 1.7;  0;13.55; 0.67; 0.38;21 26 44.46;+48 25 26.5
  86; ;  -4.4; -13.4; 3.0;  0;13.73; 1.66; 1.32;21 26 44.38;+48 28 48.2
  87; ;  -0.1;   2.2; 1.9;  0;13.59; 0.38; 0.47;21 26 46.44;+48 13 21.6
  88; ;  -0.1;   0.1; 1.9;  0;12.44; 1.09; 0.88;21 26 42.74;+48 42 23.3
  89; ;   0.8;  -2.7; 2.6;  0;14.27; 0.62; 0.44;21 26 45.60;+48 23 41.3
  90; ;   0.5;  -2.6; 2.6;  0;14.04; 0.41; 0.41;21 26 42.18;+48 51 46.5
  91; ;  -0.7;   1.3; 2.5;  0;13.69; 0.83; 0.53;21 26 44.58;+48 34 49.7
  92; ;  -1.5;  -2.3; 2.8;  0;14.88; 0.66; 0.34;21 26 46.46;+48 20 54.0
  93; ;  -7.7;  -3.7; 2.6;  0;13.92; 0.55; 0.34;21 26 42.77;+48 51 04.0
  94; ;  14.4;  -4.2; 2.1;  0;13.93; 0.82; 0.48;21 26 48.75;+48 06 47.6
  95; ;   4.5;   0.9; 1.7;  0;13.57; 0.80; 0.44;21 26 44.81;+48 37 10.5
  96; ;  -1.5;   2.0; 1.8;  0;14.10; 0.45; 0.45;21 26 47.75;+48 16 00.2
  97; ;  -3.7;   2.6; 2.3;  0;14.64; 0.60; 0.52;21 26 48.33;+48 11 24.1
  98; ;  -3.1;  -2.9; 2.2;  0;14.11; 0.48; 0.34;21 26 43.49;+48 49 37.6
  99; ;  -3.5;  -4.8; 2.4;  0;12.64; 1.43; 1.16;21 26 44.04;+48 50 10.4
 100; ;  -2.8;   2.6; 2.6;  0;14.03; 0.54; 0.35;21 26 44.53;+48 46 55.8
 101; ;   4.9;   2.2; 2.2;  0;12.86; 0.58; 0.18;21 26 49.71;+48 08 18.5
 102; ;  -2.8;  -2.4; 4.3;  0;14.80; 0.52; 0.34;21 26 45.01;+48 46 34.8
 103; ;   2.1;   4.0; 2.7;  0;14.95; 0.51; 0.20;21 26 48.70;+48 18 33.3
 104; ; -14.6;  -2.3; 2.1;  0;12.22; 0.87; 0.45;21 26 49.48;+48 23 42.5
 105; ;   0.3;   2.9; 2.1;  0;13.96; 0.86; 0.32;21 26 49.60;+48 24 16.8
 106; ;   1.0;   0.9; 2.7;  0;14.22; 0.56; 0.39;21 26 47.08;+48 44 40.6
 107;*;   1.6;   3.6; 2.6;  0; 8.63; 0.13; 0.01;21 26 47.29;+48 46 10.1
 108; ;  -4.0;  -2.8; 1.6;  0;12.34; 1.67; 1.56;21 26 52.48;+48 05 38.4
 109; ;   1.3;   7.0; 3.4;  0;14.84; 0.81; 0.40;21 26 49.33;+48 32 35.2
 110; ;  18.8;  12.8; 1.8;  0;10.93; 1.49; 1.49;21 26 49.71;+48 31 50.3
 111; ;   0.6;   4.4; 2.2;  0;14.46; 0.59; 0.43;21 26 51.97;+48 15 35.9
 112; ;  -5.2;  -5.4; 2.2;  0;14.49; 0.49; 0.33;21 26 50.31;+48 29 57.6
 113; ;   0.1;  -0.5; 2.7;  0;13.75; 1.25; 0.75;21 26 51.53;+48 22 43.8
 114; ;  -3.0;   3.0; 2.2;  0;14.02; 0.67; 0.19;21 26 48.71;+48 45 56.6
 115; ;  -9.1;  -1.8; 3.0;  0;14.76; 0.42; 0.29;21 26 48.00;+48 52 10.0
 116; ;  -4.0;  -0.2; 1.8;  0;12.40; 0.34; 0.29;21 26 50.11;+48 37 55.4
 117; ;  -1.6;   1.2; 1.6;  0;13.48; 0.60;-0.09;21 26 52.75;+48 19 22.2
 118; ;   0.2;  -4.2; 1.8;  0;13.80; 0.76; 0.17;21 26 55.79;+48 06 47.0
 119; ;   1.4;  -1.5; 2.8;  0;14.18; 0.69; 0.27;21 26 50.70;+48 51 36.7
 120;*;  60.0;  27.4; 2.3;  0; 5.31; 0.07; 0.16;21 26 51.61;+48 50 06.5
 121; ;  -1.1;   3.8; 1.9;  0;12.80; 0.74; 0.36;21 26 52.05;+48 42 30.5
 122; ;  -3.5;   0.7; 2.1;  0;14.08; 0.77; 0.46;21 26 54.02;+48 28 55.7
 123; ;   5.2;   4.1; 1.6;  0;12.59; 1.63; 1.51;21 26 55.76;+48 18 46.9
 124; ;  -5.3;   7.6; 3.1;  0;14.85; 0.56; 0.35;21 26 52.65;+48 43 32.5
 125; ;  -6.2;   1.6; 2.2;  0;14.35; 0.65; 0.39;21 26 55.60;+48 23 35.6
 126; ;  -6.5; -10.2; 2.0;  2;13.84; 0.81; 0.36;21 26 54.98;+48 29 14.6
 127; ;  -1.0;  -0.2; 1.9;  0;12.95; 0.37; 0.00;21 26 55.00;+48 31 16.3
 128; ;   2.6;   0.7; 2.1;  0;12.04; 0.52; 0.05;21 26 53.94;+48 46 16.3
 129; ;   1.7;   1.6; 1.7;  0;11.06; 0.44; 0.04;21 26 59.45;+48 02 36.3
 130; ;   4.8;  -0.2; 1.6;  0;13.67; 0.61; 0.54;21 26 58.03;+48 15 07.0
 131; ;  -0.2;  -0.7; 2.2;  0;14.28; 0.62; 0.38;21 26 55.23;+48 38 30.3
 132; ;  -7.1;   0.4; 3.3;  0;14.94; 0.98; 0.28;21 26 57.89;+48 18 55.8
 133; ;   4.9;   0.2; 1.9;  0;13.13; 0.53; 0.59;21 26 56.50;+48 31 34.9
 134; ;  -3.3;   4.4; 2.8;  0;14.72; 0.86; 0.39;21 26 57.98;+48 23 59.4
 135; ; -35.5;   3.4; 3.0;  0;14.65; 0.76; 0.30;21 26 56.05;+48 37 29.2
 136; ;  -7.6;   1.7; 1.8;  0;14.36; 0.39; 0.35;21 26 59.00;+48 17 47.4
 137; ;   5.2;  -0.8; 2.2;  0;13.94; 0.83; 0.27;21 26 56.01;+48 43 35.1
 138; ;  -2.5;  -1.7; 2.2;  0;13.13; 1.87; 1.64;21 27 01.26;+48 03 12.3
 139; ; -31.8;  -6.0; 1.8;  0;12.55; 0.67; 0.24;21 26 57.66;+48 30 25.7
 140; ;  -8.9;   2.4; 2.8;  0;14.77; 0.91; 0.28;21 26 59.73;+48 18 33.4
 141; ;  -4.3;  -1.3; 3.1;  0;14.69; 0.95; 0.34;21 27 00.70;+48 11 23.5
 142; ;   8.5;   5.2; 3.4;  0;14.92; 0.95; 0.33;21 26 57.05;+48 41 59.4
 143; ;  -4.3;   1.7; 2.1;  0;13.62; 1.36; 0.45;21 27 00.33;+48 15 19.8
 144; ;  -4.1;   0.2; 1.8;  0;14.35; 0.48; 0.29;21 27 01.83;+48 04 25.0
 145; ;  -0.4;   0.6; 2.1;  0;14.27; 0.56; 0.18;21 27 01.47;+48 10 02.5
 146; ;  -0.3;  -4.5; 2.2;  0;14.14; 0.52; 0.37;21 26 57.28;+48 47 56.6
 147; ;  -1.8;   2.1; 1.8;  0;12.11; 0.46; 0.20;21 26 57.98;+48 42 58.0
 148; ; -10.6; -16.5; 2.0;  3;13.39; 0.88; 0.21;21 26 58.24;+48 43 01.7
 149; ;   0.2;   2.8; 2.3;  0;12.88; 0.79; 0.30;21 26 57.19;+48 53 01.3
 150; ; -30.2; -10.8; 2.0;  0;13.77; 0.80; 0.57;21 26 58.97;+48 37 25.2
 151; ;   0.3;   2.2; 3.0;  0;14.75; 0.62; 0.45;21 27 02.91;+48 09 11.8
 152; ;   2.4;  -1.4; 2.4;  0;14.47; 1.02; 0.39;21 27 01.66;+48 22 56.9
 153; ;  -1.6;   0.5; 1.6;  0;13.50; 0.58; 0.49;21 27 00.12;+48 42 41.0
 154; ;  -3.1;  -3.2; 2.8;  0;14.70; 0.86; 0.42;21 27 01.90;+48 29 02.1
 155; ;  -0.2;  -1.6; 1.9;  0;12.98; 0.38; 0.04;21 27 01.32;+48 36 19.8
 156; ;  -3.2;   0.8; 1.8;  0;13.28; 0.50; 0.39;21 27 03.12;+48 22 05.9
 157; ;  11.1;  12.4; 2.6;  0;13.54; 1.66; 1.26;21 27 05.13;+48 07 58.0
 158; ;  -3.2;   0.6; 2.2;  0;14.59; 0.61; 0.50;21 27 03.37;+48 22 34.7
 159; ;  -2.9;  -0.7; 2.1;  0;13.00; 0.78; 0.55;21 27 02.26;+48 33 45.8
 160; ;  -5.2;  -3.9; 1.7;  0;14.04; 0.43; 0.39;21 27 05.04;+48 17 13.4
 161; ;  -2.0;  -4.3; 1.8;  0;12.91; 1.00; 0.51;21 27 04.63;+48 21 42.1
 162; ;   1.6;   5.7; 2.1;  0;14.03; 0.92; 0.55;21 27 03.39;+48 32 07.7
 163; ;   7.4;  -6.7; 2.3;  0;14.53; 0.55; 0.33;21 27 01.95;+48 46 05.1
 164; ; -12.1; -11.4; 2.8;  0;14.64; 0.93; 0.33;21 27 05.87;+48 15 24.4
 165; ;  -2.7;   2.8; 2.1;  0;14.21; 0.75; 0.60;21 27 06.81;+48 08 34.1
 166; ;  -0.7;  -2.2; 1.8;  0;11.27; 1.55; 1.55;21 27 04.07;+48 32 48.7
 167; ;  -0.5;   0.6; 2.7;  0;13.97; 1.35; 1.00;21 27 03.41;+48 43 41.7
 168; ;  18.7; -10.1; 1.6;  0;13.38; 0.65; 0.17;21 27 04.03;+48 40 16.2
 169; ;   3.3;  -0.6; 3.4;  0;14.89; 0.79; 0.20;21 27 03.74;+48 42 58.1
 170; ;  10.2; -37.5; 3.3;  0;14.55; 1.12; 0.82;21 27 08.83;+48 02 13.3
 171; ;   7.3;   5.9; 2.7;  0;14.17; 0.83; 0.33;21 27 04.25;+48 39 50.5
 172; ;  10.0;  17.9; 2.8;  0;14.53; 0.96; 0.68;21 27 08.23;+48 08 33.4
 173; ;  -0.2;   0.5; 2.1;  0;14.11; 0.60; 0.43;21 27 09.69;+48 01 10.5
 174; ;  -5.8;   3.7; 2.3;  0;14.31; 0.93; 0.26;21 27 07.22;+48 21 12.0
 175; ;   0.9;  -3.1; 2.7;  0;13.53; 1.47; 1.19;21 27 04.69;+48 45 31.8
 176; ;   1.2;  -0.6; 2.8;  0;14.17; 1.02; 0.52;21 27 06.52;+48 30 45.2
 177; ;   3.1;  -1.4; 2.7;  0;14.16; 1.31; 0.85;21 27 05.36;+48 41 08.2
 178; ;   4.3;   2.0; 2.6;  0;14.48; 0.83; 0.20;21 27 07.54;+48 23 35.6
 179; ;  -2.3;   3.3; 3.4;  0;15.27; 0.48; 0.41;21 27 05.95;+48 39 08.3
 180; ;  -0.6;   0.6; 1.8;  0;13.00; 0.51; 0.20;21 27 07.71;+48 25 55.9
 181; ;  64.9;  37.2; 2.0;  0;13.31; 0.96; 0.81;21 27 05.55;+48 50 40.9
 182; ;   0.3;  -1.3; 2.8;  0;14.80; 0.65; 0.42;21 27 09.18;+48 20 01.5
 183; ;  16.1;  -3.1; 1.8;  0;13.35; 1.34; 0.82;21 27 11.06;+48 07 29.3
 184; ;  -1.4;  -2.8; 1.9;  0;13.36; 0.47; 0.45;21 27 06.29;+48 46 03.6
 185; ;  -3.6;   2.9; 2.3;  0;14.50; 0.86; 0.30;21 27 10.42;+48 14 46.4
 186; ; -13.3;  -1.2; 2.2;  0;14.72; 0.49; 0.20;21 27 11.18;+48 12 25.8
 187; ;  -5.3;  -5.6; 2.8;  0;14.99; 0.62; 0.38;21 27 08.82;+48 33 22.4
 188; ; -11.0;   1.0; 2.8;  0;14.77; 0.78; 0.52;21 27 11.75;+48 10 21.8
 189; ;   0.4;  -3.2; 1.8;  0;13.22; 0.68; 0.59;21 27 11.39;+48 15 48.5
 190; ;  -6.8;   0.3; 2.1;  0;13.90; 0.72; 0.23;21 27 07.40;+48 48 35.2
 191; ;  -1.3;   4.3; 1.7;  0;13.83; 0.70; 0.49;21 27 10.83;+48 21 13.1
 192; ;  -3.1;   1.0; 1.7;  0;13.83; 0.68; 0.46;21 27 09.98;+48 28 51.5
 193; ;  -1.5;  -0.8; 1.5;  0;13.62; 0.40;-0.08;21 27 11.78;+48 14 33.3
 194;*;  -7.0; -13.3; 1.6; 49;10.56; 0.45; 0.03;21 27 10.82;+48 27 44.2
 195; ;  -3.6;   2.0; 2.8;  0;14.69; 0.63; 0.40;21 27 14.40;+47 59 03.7
 196; ;   1.1;  -3.9; 2.6;  0;13.72; 1.26; 0.91;21 27 14.18;+48 02 46.4
 197; ;  -1.7;  -1.7; 2.4;  0;13.90; 1.43; 0.94;21 27 15.34;+47 55 14.6
 198; ;  -1.8;  -0.3; 2.2;  0;14.40; 0.51; 0.30;21 27 09.81;+48 44 49.6
 199; ; -16.1; -14.9; 2.2;  0;13.94; 0.79; 0.25;21 27 09.26;+48 50 45.9
 200; ;  -8.1;   1.4; 2.0;  0;13.01; 1.20; 1.06;21 27 09.23;+48 53 32.8
