#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:48:18 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:48:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/PAZh/36/16/stars&-order=I&-out=Cluster&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=B-V&-out=e_B-V&-out=V-Rc&-out=e_V-Rc&-out=V-Ic&-out=e_V-Ic&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_90360016
#Name: J/PAZh/36/16
#Title: Photometry in 6 galactic open star clusters (Glushkova+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pazh/36/16	    IVOID of underlying data collection
#INFO	creator=Glushkova E.V.	    First author or institution
#INFO	cites=bibcode:2010PAZh...36...16G	    Article or Data origin sources
#INFO	editor=Pis'ma v Astronomicheskii Zhurnal	    Editor name (article)
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PAZh/36/16	    Dataset landing page
#INFO	publication_date=2017-07-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PAZh_36_16_stars:
#Name: J/PAZh/36/16/stars
#Title: Combined table from original tables
#Column	Cluster	(a7)	Cluster name	[ucd=meta.id.parent]
#Column	RAJ2000	(F10.6)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Error on V	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson color index B-V	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? Error on B-V (1)	[ucd=stat.error;phot.color;em.opt.B]
#Column	V-Rc	(F6.3)	? Johnson-Cousins color index V-Rc (1)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-Rc	(F6.3)	? Error on V-Rc (1)	[ucd=stat.error;phot.color;em.opt.V]
#Column	V-Ic	(F6.3)	? Johnson-Cousins color index V-Ic (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-Ic	(F6.3)	? Error on V-Ic (1)	[ucd=stat.error;phot.color;em.opt.V]
Cluster;RAJ2000;DEJ2000;Vmag;e_Vmag;B-V;e_B-V;V-Rc;e_V-Rc;V-Ic;e_V-Ic
NGC136 ;007.799946;+61.504935;19.097; 0.014; 1.097; 0.037; 0.681; 0.028; 1.301; 0.015
NGC136 ;007.798009;+61.506435;17.974; 0.017; 0.976; 0.023; 0.594; 0.009; 1.148; 0.012
NGC136 ;007.882236;+61.473971;17.652; 0.007; 0.946; 0.051; 0.610; 0.008; 1.191; 0.007
NGC136 ;007.865229;+61.480676;15.312; 0.008; 0.500; 0.030; 0.330; 0.006; 0.686; 0.003
NGC136 ;007.789795;+61.509947;18.548; 0.010; 0.970; 0.042; 0.665; 0.014; 1.333; 0.011
NGC136 ;007.803905;+61.504633;18.599; 0.047; 0.923; 0.058; 0.623; 0.040; 1.256; 0.057
NGC136 ;007.924016;+61.458959;16.229; 0.004; 0.640; 0.023; 0.421; 0.006; 0.828; 0.004
NGC136 ;007.900884;+61.468625;16.866; 0.009; 0.834; 0.028; 0.555; 0.011; 1.075; 0.007
NGC136 ;007.795553;+61.510494;19.549; 0.019; 1.080; 0.051; 0.719; 0.020; 1.442; 0.020
NGC136 ;007.837172;+61.494902;18.463; 0.009; 1.067; 0.045; 0.670; 0.013; 1.371; 0.015
NGC136 ;007.915564;+61.464640;18.470; 0.021; 1.308; 0.052; 0.855; 0.012; 1.667; 0.021
NGC136 ;007.855709;+61.487957;18.430; 0.022; 0.887; 0.045; 0.602; 0.010; 1.155; 0.013
NGC136 ;007.882969;+61.477859;14.805; 0.004; 0.751; 0.026;      ;      ;      ;
NGC136 ;007.884489;+61.478138;14.187; 0.005; 1.277; 0.024;      ;      ;      ;
NGC136 ;007.770963;+61.521910;18.853; 0.042; 1.160; 0.052; 0.761; 0.051; 1.487; 0.025
NGC136 ;007.837124;+61.496911;15.699; 0.009; 1.531; 0.033; 0.901; 0.009; 1.758; 0.007
NGC136 ;007.880232;+61.480319;16.991; 0.009; 0.785; 0.039; 0.531; 0.009; 1.037; 0.007
NGC136 ;007.833837;+61.498522;15.823; 0.004; 0.567; 0.017; 0.376; 0.008; 0.800; 0.004
NGC136 ;007.943945;+61.455711;16.108; 0.008; 1.028; 0.024; 0.613; 0.007; 1.159; 0.009
NGC136 ;007.779917;+61.520107;18.436; 0.022; 0.915; 0.045; 0.644; 0.012; 1.232; 0.010
NGC136 ;007.868382;+61.486582;19.312; 0.023; 1.054; 0.069; 0.666; 0.015; 1.272; 0.043
NGC136 ;007.941538;+61.458181;17.215; 0.008; 1.010; 0.024; 0.632; 0.012; 1.214; 0.009
NGC136 ;007.778210;+61.522196;15.976; 0.012; 1.044; 0.010; 0.638; 0.007; 1.197; 0.014
NGC136 ;007.888269;+61.480036;19.147; 0.032; 1.141; 0.045; 0.674; 0.014; 1.300; 0.015
NGC136 ;007.778151;+61.523466;17.286; 0.006; 0.822; 0.012; 0.544; 0.007; 1.041; 0.006
NGC136 ;007.779341;+61.524325;16.106; 0.006; 0.559; 0.008; 0.379; 0.005; 0.756; 0.007
NGC136 ;007.863288;+61.490782;16.797; 0.005; 0.825; 0.009; 0.532; 0.006; 1.057; 0.005
NGC136 ;007.859851;+61.492353;17.839; 0.023; 0.806; 0.055; 0.506; 0.015; 1.043; 0.019
NGC136 ;007.838837;+61.500958;16.864; 0.006; 0.766; 0.037; 0.490; 0.006; 0.977; 0.005
NGC136 ;007.907926;+61.474379;19.311; 0.016; 1.342; 0.052; 0.853; 0.016; 1.593; 0.017
NGC136 ;007.802984;+61.515138;15.347; 0.004; 0.605; 0.019; 0.400; 0.005; 0.790; 0.007
NGC136 ;007.888031;+61.482195;18.243; 0.008; 0.832; 0.018; 0.563; 0.009; 1.116; 0.012
NGC136 ;007.790543;+61.520112;16.527; 0.005; 1.007; 0.020; 0.631; 0.007; 1.186; 0.006
NGC136 ;007.918168;+61.470906;17.999; 0.007; 0.894; 0.032; 0.598; 0.009; 1.200; 0.008
NGC136 ;007.901652;+61.478310;19.129; 0.023; 1.041; 0.036; 0.691; 0.016; 1.313; 0.015
NGC136 ;007.857865;+61.496582;18.468; 0.009; 0.761; 0.050; 0.449; 0.017; 0.987; 0.011
NGC136 ;007.897296;+61.481361;19.501; 0.036; 0.915; 0.045; 0.669; 0.019; 1.336; 0.022
NGC136 ;007.947739;+61.462037;17.432; 0.016; 0.853; 0.051; 0.566; 0.014; 1.154; 0.007
NGC136 ;007.853299;+61.498973;19.629; 0.021; 1.052; 0.052; 0.762; 0.032; 1.456; 0.052
NGC136 ;007.870197;+61.493398;18.487; 0.009; 1.021; 0.022; 0.648; 0.010; 1.307; 0.010
NGC136 ;007.867140;+61.494608;16.686; 0.011; 0.749; 0.034; 0.503; 0.009; 1.001; 0.006
NGC136 ;007.927025;+61.471432;16.775; 0.005; 0.722; 0.036; 0.486; 0.006; 0.953; 0.005
NGC136 ;007.838042;+61.507366;15.725; 0.015; 0.568; 0.007; 0.411; 0.014; 0.850; 0.013
NGC136 ;007.908600;+61.479986;17.387; 0.006; 0.855; 0.019; 0.549; 0.008; 1.081; 0.006
NGC136 ;007.907421;+61.480896;15.951; 0.004; 0.555; 0.032; 0.382; 0.007; 0.801; 0.003
