#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:53:25 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:53:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/other/ASpR/58.1900/table3&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1057005801
#Name: J/other/ASpR/58.1900
#Title: NGC 225 CCD UBV photometry (Bilir+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/other/aspr/58.1900	    IVOID of underlying data collection
#INFO	creator=Bilir S.	    First author or institution
#INFO	cites=bibcode:2016AdSpR..58.1900B	    Article or Data origin sources
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/ASpR/58.1900	    Dataset landing page
#INFO	publication_date=2016-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_ASpR_58_1900_table3:
#Name: J/other/ASpR/58.1900/table3
#Title: Photometric and astrometric catalogue NGC 225
#Column	ID	(I4)	Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F5.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;pmRA;e_pmRA;pmDE;e_pmDE;Pmemb
  46;00 42 34.38;+61 53 00.54;18.255; 0.038; 1.423; 0.335; 1.507; 0.075; 18.5; 3.8;  4.2; 3.8;  0
  47;00 42 34.42;+61 54 27.49;17.881; 0.029;      ;      ; 1.408; 0.054; -0.4; 3.9; -4.4; 3.9; 56
  48;00 42 34.49;+61 54 01.25;15.522; 0.006;-0.007; 0.011; 0.640; 0.009; -2.1; 3.8;  0.7; 3.8; 90
  49;00 42 34.52;+61 46 28.66;14.617; 0.004; 0.572; 0.009; 0.897; 0.006;-11.8; 3.8; -0.8; 3.8; 45
  50;00 42 34.69;+61 40 05.49;18.012; 0.032;      ;      ; 2.396; 0.107; -4.0; 5.2;-10.4; 5.2; 40
  51;00 42 34.87;+61 50 18.31;18.351; 0.040; 0.738; 0.224; 1.571; 0.083; -1.2; 3.8;  4.6; 3.8; 61
  52;00 42 35.20;+61 41 13.71;11.545; 0.004; 1.543; 0.012; 1.440; 0.006; 17.0; 2.9; -1.1; 2.9;  0
  53;00 42 35.29;+61 47 57.04;18.587; 0.048; 0.324; 0.192; 1.466; 0.096; -0.5; 4.0; -4.7; 4.0; 56
  54;00 42 35.32;+61 51 55.07;17.882; 0.029; 0.523; 0.115; 1.397; 0.053; -3.0; 3.9; 17.1; 3.9;  1
  55;00 42 35.34;+61 49 23.10;17.380; 0.020; 0.647; 0.096; 1.611; 0.040;  3.1; 3.8;  5.5; 3.8; 25
  56;00 42 35.37;+61 54 22.64;17.363; 0.020; 0.588; 0.069; 1.254; 0.033;  1.1; 3.8; -9.6; 3.8; 14
  57;00 42 35.41;+61 40 56.59;18.739; 0.054;-0.582; 0.165; 1.473; 0.110;  0.2; 5.3;  1.3; 5.3; 82
  58;00 42 35.52;+61 42 22.22;17.275; 0.018; 0.819; 0.078; 1.319; 0.032; -1.3; 3.8;  2.1; 3.8; 79
  59;00 42 35.66;+61 51 50.46;18.804; 0.059; 0.146; 0.154; 1.076; 0.096; 19.1; 5.3;-21.9; 5.3;  0
  60;00 42 35.94;+61 48 48.98;16.290; 0.010; 1.287; 0.079; 1.969; 0.023; -1.0; 3.8; -4.0; 3.8; 62
  61;00 42 36.43;+61 42 45.54;17.427; 0.020; 0.650; 0.072; 1.177; 0.034;  4.9; 3.9;  1.7; 3.9; 25
  62;00 42 36.68;+61 52 42.37;17.298; 0.019; 0.696; 0.070; 1.264; 0.032;  0.7; 3.8; -4.5; 3.8; 45
  63;00 42 36.75;+61 52 03.87;18.031; 0.032; 0.434; 0.130; 1.472; 0.062; -2.6; 3.8;  0.3; 3.8; 93
  64;00 42 36.76;+61 55 37.28;17.368; 0.020; 1.995; 0.356; 1.995; 0.050; -1.2; 3.8; -1.1; 3.8; 81
  65;00 42 36.78;+61 46 33.10;18.541; 0.046;      ;      ; 1.771; 0.108;  6.1; 3.8; -0.7; 3.8; 16
  66;00 42 36.94;+61 38 22.20;18.465; 0.043; 0.280; 0.170; 1.411; 0.085; -3.2; 3.9; -2.3; 3.9; 88
  67;00 42 37.00;+61 38 31.02;16.566; 0.011; 0.628; 0.033; 0.988; 0.018; -6.9; 3.8; -0.9; 3.8; 91
  68;00 42 37.02;+61 53 26.15;16.916; 0.015; 0.492; 0.040; 1.036; 0.023; -2.7; 3.8; -1.1; 3.8; 92
  69;00 42 37.17;+61 48 24.58;18.023; 0.031; 0.696; 0.112; 1.110; 0.051; -1.4; 3.9; -0.7; 3.9; 84
  70;00 42 37.39;+61 39 43.87;15.884; 0.008; 0.714; 0.022; 1.001; 0.012; 42.4; 5.1;-46.3; 5.1;  0
  71;00 42 37.74;+61 45 06.31;18.639; 0.051;      ;      ; 2.574; 0.205;  0.8; 3.8; -1.9; 3.8; 58
  72;00 42 37.78;+61 40 17.25;17.930; 0.029; 0.896; 0.139; 1.282; 0.051;  1.9; 3.8;  0.2; 3.8; 51
  73;00 42 37.82;+61 48 52.58;18.465; 0.043; 1.288; 0.301; 1.355; 0.079;  6.8; 3.9; -4.6; 3.9; 10
  74;00 42 37.85;+61 55 46.35;18.620; 0.054; 0.735; 0.313; 1.423; 0.101; -1.1; 3.9; -4.1; 3.9; 63
  75;00 42 37.92;+61 44 25.63;18.893; 0.060;      ;      ; 1.339; 0.111; -1.3; 5.1; -1.0; 5.1; 89
  76;00 42 38.11;+61 47 14.62;17.433; 0.021; 1.999; 0.199; 1.321; 0.036;-13.1; 3.8;-14.7; 3.8;  1
  77;00 42 38.16;+61 44 34.54;18.153; 0.035; 0.508; 0.258; 2.126; 0.098; -1.5; 3.8; -6.7; 3.8; 41
  78;00 42 38.29;+61 40 30.99;16.660; 0.012; 0.650; 0.038; 1.105; 0.020; -2.5; 3.8; -0.6; 3.8; 92
  79;00 42 38.43;+61 39 12.55;17.935; 0.029; 0.552; 0.104; 1.187; 0.049; -4.5; 3.8; -4.5; 3.8; 71
  80;00 42 38.44;+61 44 53.13;18.379; 0.041;      ;      ; 1.193; 0.070;  0.1; 3.9; -4.7; 3.9; 50
  81;00 42 38.50;+61 43 56.29;17.138; 0.017; 2.033; 0.252; 1.872; 0.038; -3.8; 3.8; -1.2; 3.8; 96
  82;00 42 38.52;+61 53 13.98;15.320; 0.006; 0.441; 0.015; 1.191; 0.009; -1.9; 3.8; -1.8; 3.8; 83
  83;00 42 38.92;+61 43 23.93;18.548; 0.046; 0.881; 0.273; 1.492; 0.092;  4.5; 3.9; -0.1; 3.9; 29
  84;00 42 38.93;+61 47 52.06;17.147; 0.017; 0.887; 0.065; 1.206; 0.028;  0.6; 3.8; -0.5; 3.8; 64
  85;00 42 39.04;+61 38 09.47;18.205; 0.036; 1.211; 0.220; 1.223; 0.063;  0.1; 3.9; -2.4; 3.9; 65
  86;00 42 39.04;+61 43 02.63;15.339; 0.006; 0.666; 0.019; 1.349; 0.010; -4.2; 3.8;  2.4; 3.8; 92
  87;00 42 39.58;+61 55 05.62;14.310; 0.004; 1.392; 0.027; 2.394; 0.008;  0.4; 4.7; -4.4; 4.7; 62
  88;00 42 39.66;+61 44 06.21;18.833; 0.058; 0.306; 0.183; 1.199; 0.099; -2.8; 5.3; -4.9; 5.3; 79
  89;00 42 39.80;+61 36 41.35;16.559; 0.011; 0.460; 0.024; 0.688; 0.016; -1.4; 3.8;  1.8; 3.8; 81
  90;00 42 39.96;+61 43 55.13;17.274; 0.019; 1.447; 0.187; 1.900; 0.043; -6.0; 3.8;  1.1; 3.8; 96
  91;00 42 40.17;+61 45 57.16;17.997; 0.031; 0.863; 0.169; 1.555; 0.061;  0.8; 3.8; -2.9; 3.8; 54
  92;00 42 40.19;+61 43 45.15;18.287; 0.037; 1.023; 0.191; 1.231; 0.065; -3.4; 5.2;  2.2; 5.2; 95
  93;00 42 40.45;+61 38 11.64;17.457; 0.021; 1.471; 0.275; 2.050; 0.054;  1.5; 3.8; -4.2; 3.8; 41
  94;00 42 40.67;+61 40 10.05;17.491; 0.021; 0.778; 0.093; 1.333; 0.038; -3.3; 5.1; -7.2; 5.1; 62
  95;00 42 40.79;+61 37 22.39;16.741; 0.013; 0.980; 0.047; 1.039; 0.020; -3.5; 3.8; -6.0; 3.8; 54
  96;00 42 40.81;+61 44 25.25;16.626; 0.012; 0.619; 0.039; 1.193; 0.020; -0.6; 3.8; -1.1; 3.8; 75
  97;00 42 40.90;+61 47 25.44;16.082; 0.009; 0.369; 0.022; 1.026; 0.014; -2.7; 3.8;  0.3; 3.8; 94
  98;00 42 40.94;+61 39 09.08;18.033; 0.031; 0.435; 0.108; 1.219; 0.054; -1.3; 3.9; -1.9; 3.9; 79
  99;00 42 41.14;+61 41 22.51;16.594; 0.012; 0.223; 0.028; 1.004; 0.018;  0.4; 3.8;  0.1; 3.8; 67
 100;00 42 41.17;+61 40 14.38;18.399; 0.043;      ;      ; 2.405; 0.148; 14.1; 5.1; 17.3; 5.1;  0
 101;00 42 41.41;+61 44 00.80;15.218; 0.006; 1.197; 0.023; 1.373; 0.009;  2.6; 3.8; -1.1; 3.8; 43
 102;00 42 42.05;+61 49 32.02;18.582; 0.049;      ;      ; 2.365; 0.168; -4.7; 3.8;  0.2; 3.8;100
 103;00 42 42.25;+61 42 53.11;18.205; 0.036; 0.900; 0.198; 1.435; 0.068;  5.7; 3.8; -8.7; 3.8;  6
 104;00 42 42.33;+61 45 27.49;18.439; 0.042;-0.010; 0.129; 1.398; 0.080;  5.1; 4.0; -0.7; 4.0; 26
 105;00 42 42.51;+61 37 27.07;17.380; 0.019; 0.541; 0.058; 1.010; 0.030;  5.0; 3.8;  1.2; 3.8; 23
 106;00 42 43.22;+61 48 59.39;18.541; 0.047; 0.210; 0.186; 1.614; 0.098; -3.7; 5.2;  1.1; 5.2; 99
 107;00 42 43.54;+61 47 11.04;18.540; 0.046;      ;      ; 1.795; 0.110; -1.3; 5.1; -2.7; 5.1; 84
 108;00 42 44.43;+61 52 39.27;16.264; 0.010; 1.450; 0.119; 2.377; 0.027; -5.2; 4.7; -7.3; 4.7; 57
 109;00 42 44.60;+61 53 24.68;13.800; 0.003; 0.012; 0.004; 0.664; 0.004;  1.8; 3.8;  0.5; 3.8; 52
 110;00 42 44.63;+61 47 07.57;17.632; 0.024; 1.408; 0.315; 2.178; 0.066; -1.4; 3.8; -2.3; 3.8; 77
 111;00 42 44.99;+61 39 41.61;17.897; 0.028; 1.038; 0.161; 1.366; 0.052; -2.7; 3.8; -2.7; 3.8; 83
 112;00 42 45.10;+61 48 03.75;18.930; 0.064; 0.367; 0.295; 1.613; 0.137;  3.9; 3.9; -0.9; 3.9; 33
 113;00 42 45.32;+61 54 19.66;17.396; 0.021; 0.075; 0.046; 1.022; 0.032;  0.4; 3.9; -1.2; 3.9; 66
 114;00 42 45.78;+61 41 46.72;18.265; 0.037; 0.746; 0.150; 1.196; 0.063; -2.2; 3.9; -1.4; 3.9; 88
 115;00 42 45.89;+61 46 06.34;18.788; 0.055;      ;      ; 1.520; 0.112; 10.4; 3.9; -1.9; 3.9;  3
 116;00 42 45.92;+61 46 33.07;18.188; 0.035; 0.498; 0.145; 1.474; 0.067; -5.3; 3.9; -0.9; 3.9; 98
 117;00 42 45.95;+61 50 50.90;12.365; 0.001; 0.103; 0.002; 0.547; 0.002;  6.5; 2.8;  1.6; 2.8;  3
 118;00 42 46.00;+61 39 30.67;17.111; 0.016; 0.315; 0.036; 0.798; 0.024;  1.7; 3.9; -3.4; 3.9; 45
 119;00 42 46.04;+61 54 49.29;18.058; 0.034; 0.495; 0.124; 1.330; 0.060; -5.7; 3.8; 33.6; 3.9;  0
 120;00 42 46.23;+61 53 43.63;19.009; 0.072; 0.283; 0.209; 1.117; 0.118; -4.0; 4.2; -0.8; 4.2; 98
 121;00 42 46.66;+61 37 41.52;18.511; 0.046;      ;      ; 1.661; 0.102;  8.4; 3.9; -5.4; 3.9;  5
 122;00 42 46.73;+61 40 10.74;17.537; 0.022; 0.580; 0.076; 1.202; 0.037; -2.5; 3.8; -0.8; 3.8; 91
 123;00 42 46.74;+61 46 46.20;18.729; 0.052;      ;      ; 1.470; 0.102; -5.5; 3.9; -4.9; 3.9; 68
 124;00 42 46.84;+61 51 45.96;13.715; 0.002; 0.083; 0.004; 0.684; 0.004;-11.9; 3.8;  8.2; 3.8; 17
 125;00 42 47.03;+61 52 38.61;16.305; 0.010; 1.522; 0.079; 1.763; 0.021; -2.0; 3.8;  0.5; 3.8; 89
 126;00 42 47.11;+61 54 15.57;16.343; 0.010; 0.485; 0.029; 1.180; 0.017; -2.9; 3.8; -0.3; 3.8; 95
 127;00 42 47.20;+61 40 53.10;18.152; 0.035;      ;      ; 2.030; 0.094;-21.2; 3.8;-12.2; 3.8;  0
 128;00 42 47.32;+61 43 44.98;15.916; 0.008; 1.271; 0.055; 1.907; 0.017;  3.4; 3.8; -3.9; 3.8; 28
 129;00 42 47.79;+61 38 30.75;18.598; 0.049; 0.423; 0.356; 1.512; 0.099;  1.2; 3.9; -4.8; 3.9; 42
 130;00 42 48.35;+61 51 36.27;17.821; 0.028; 0.744; 0.132; 1.490; 0.053;  5.4; 3.8; -2.8; 3.8; 18
 131;00 42 48.41;+61 55 06.34;18.466; 0.045; 0.665; 0.167; 1.140; 0.075; -1.3; 3.8; -3.0; 3.8; 71
 132;00 42 48.60;+61 39 10.97;17.384; 0.020; 1.560; 0.127; 1.183; 0.033;  1.7; 3.8; -1.6; 3.8; 51
 133;00 42 48.80;+61 41 19.74;18.591; 0.048; 0.386; 0.255; 1.762; 0.112;  1.4; 3.8; -2.7; 3.8; 50
 134;00 42 49.38;+61 52 46.57;17.694; 0.025; 0.556; 0.085; 1.210; 0.042;  1.8; 3.9;  1.8; 3.9; 52
 135;00 42 49.42;+61 52 12.02;18.610; 0.051;      ;      ; 2.213; 0.154; -8.1; 5.1; -2.0; 5.1; 87
 136;00 42 49.43;+61 43 29.55;19.045; 0.069;      ;      ; 1.314; 0.124; -0.3; 4.0;  1.9; 4.0; 73
 137;00 42 49.46;+61 40 18.10;15.851; 0.008; 2.402; 0.138; 2.118; 0.018;  0.7; 4.7; -2.1; 4.7; 71
 138;00 42 49.51;+61 42 25.68;16.550; 0.012; 0.424; 0.029; 1.008; 0.018;  0.1; 3.8;  0.2; 3.8; 70
 139;00 42 49.69;+61 42 58.48;18.343; 0.041;      ;      ; 2.919; 0.204;-13.7; 5.1;  2.6; 5.1; 48
 140;00 42 50.00;+61 44 04.94;18.078; 0.033; 0.754; 0.335; 2.364; 0.106; -2.4; 3.8; -4.8; 3.8; 63
 141;00 42 50.28;+61 47 30.57;18.879; 0.060;      ;      ; 1.830; 0.147; -5.1; 4.0; -7.0; 4.0; 49
 142;00 42 50.37;+61 45 35.85;18.523; 0.046; 0.344; 0.351; 2.266; 0.147;  0.5; 3.8;  9.3; 3.8; 18
 143;00 42 50.77;+61 41 46.09;18.250; 0.036; 1.380; 0.235; 1.230; 0.063; -4.2; 3.8;  2.7; 3.8; 90
 144;00 42 50.87;+61 50 43.66;19.045; 0.070; 0.481; 0.217; 1.053; 0.111; -9.9; 4.3;  3.6; 4.3; 63
 145;00 42 50.95;+61 43 21.91;13.550; 0.002; 0.045; 0.004; 0.606; 0.003; -9.1; 3.8; -0.1; 3.8; 74
 146;00 42 51.07;+61 44 34.08;18.905; 0.061;      ;      ; 1.615; 0.133; -4.4; 4.1;  0.3; 4.1;100
 147;00 42 51.12;+61 41 10.01;18.609; 0.048; 0.433; 0.185; 1.331; 0.089;  3.6; 4.0; -3.0; 4.0; 33
 148;00 42 51.16;+61 50 58.41;18.529; 0.046; 1.133; 0.244; 1.212; 0.079; -1.5; 4.0; -2.2; 4.0; 80
