#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:22:37 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:22:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/401/531/table8&-order=I&-out=Seq&-out=NL&-out=RA2000&-out=DE2000&-out=Np&-out=pmX&-out=e_pmX&-out=pmY&-out=e_pmY&-out=Vmag&-out=B-V&-out=Prob&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34010531
#Name: J/A+A/401/531
#Title: Proper motions in NGC 7243 (Jilinski+, 2003)
#INFO	ivoid=ivo://cds.vizier/j/a+a/401/531	    IVOID of underlying data collection
#INFO	creator=Jilinski E.G.	    First author or institution
#INFO	cites=bibcode:2003A&A...401..531J	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/401/531	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34010531	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-09-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1949.830:	eq_FK5 J2000
#Table	J_A_A_401_531_table8:
#Name: J/A+A/401/531/table8
#Title: Star positions, proper motions, BV photometry, and membership probabilities
#Column	Seq	(I4)	[1/2623] Sequence number of the star	[ucd=meta.id]
#Column	NL	(I3)	[]? Identification from Lengauer (1)	[ucd=meta.id]
#Column	RA2000	(A11)	Right Ascension Eq=2000.0, Ep=1949.83 (3)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A11)	Declination	[ucd=pos.eq.dec;meta.main]
#Column	Np	(I2)	? Number of astrometric plate pairs used	[ucd=meta.id;instr.plate]
#Column	pmX	(F5.1)	? Relative proper motions in X	[ucd=pos.pm;pos.cartesian.x]
#Column	e_pmX	(F4.1)	? Standard error in pmX	[ucd=stat.error]
#Column	pmY	(F5.1)	? Relative proper motions in Y	[ucd=pos.pm;pos.cartesian.y]
#Column	e_pmY	(F4.1)	? Standard error in pmY	[ucd=stat.error]
#Column	Vmag	(F6.3)	? V magnitude of a star	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? (B-V) colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Prob	(I2)	? Membership probability	[ucd=stat]
#Column	_RA.icrs	(A11)	Right ascension (ICRS) at Epoch=J1949.83 (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A11)	Declination (ICRS) at Epoch=J1949.83 (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Seq;NL;RA2000;DE2000;Np;pmX;e_pmX;pmY;e_pmY;Vmag;B-V;Prob;_RA.icrs;_DE.icrs
  22;   ;22 11 56.57;+49 17 38.9;  ;     ;    ;     ;    ;13.340; 0.880;  ;22 11 56.65;+49 17 38.9
  23;   ;22 11 59.49;+49 17 36.5; 9;  0.5; 1.1;  4.6; 1.1;11.020; 1.440; 0;22 11 59.57;+49 17 36.5
  24;   ;22 12 00.10;+49 17 42.5;  ;     ;    ;     ;    ;11.800;      ;  ;22 12 00.18;+49 17 42.5
  25;   ;22 12 02.72;+49 17 55.1; 9; -7.3; 0.6; -4.0; 0.5;12.480; 0.490; 0;22 12 02.80;+49 17 55.1
  26;   ;22 12 07.11;+49 15 34.1; 9; 26.1; 1.1; 18.8; 1.0; 8.300; 0.330; 0;22 12 07.19;+49 15 34.1
  27;   ;22 12 08.65;+49 19 24.5; 9;  0.1; 1.4; -0.4; 1.3;13.600; 0.560;81;22 12 08.73;+49 19 24.5
  28;   ;22 12 13.46;+49 18 16.9; 9; -7.8; 1.0; -1.9; 0.6;11.890; 1.320; 0;22 12 13.54;+49 18 16.9
  29;   ;22 12 13.27;+49 17 47.2; 8;  3.7; 1.4;  5.6; 1.2;13.540; 1.360; 0;22 12 13.35;+49 17 47.2
  30;   ;22 12 20.88;+49 18 20.9; 8; -8.0; 1.8;  4.0; 1.3;12.820; 1.520; 0;22 12 20.96;+49 18 20.9
  31;   ;22 12 23.10;+49 17 34.5; 8; -3.7; 1.1; -2.5; 0.8;14.030; 0.860; 0;22 12 23.18;+49 17 34.5
  32;   ;22 12 31.54;+49 19 24.7; 8;-17.7; 1.1;-45.0; 1.4;13.100; 1.270; 0;22 12 31.62;+49 19 24.7
  33;   ;22 12 37.40;+49 16 16.0; 9; -7.6; 1.2; -1.0; 0.5;12.270; 1.040; 0;22 12 37.48;+49 16 16.0
  34;   ;22 12 52.35;+49 16 48.1; 8;  0.4; 1.0; -0.1; 0.6;12.410; 0.640;89;22 12 52.43;+49 16 48.1
  35;767;22 13 11.62;+49 19 47.6;10; -0.9; 0.7; -2.7; 0.4;12.520; 0.360; 1;22 13 11.70;+49 19 47.6
  36;   ;22 13 23.92;+49 17 05.3; 8;  4.6; 0.9;  3.7; 1.2;14.090; 0.830; 4;22 13 24.00;+49 17 05.3
  37;   ;22 13 29.41;+49 16 35.2;10; -4.6; 1.1; -1.0; 1.1;12.830; 1.400; 0;22 13 29.49;+49 16 35.2
  38;   ;22 13 31.79;+49 16 04.4;10; -8.4; 0.7; -7.0; 1.0;12.720; 0.740; 0;22 13 31.87;+49 16 04.4
  39;   ;22 13 32.22;+49 15 38.4; 9; -2.6; 0.8; -1.2; 1.2;12.950; 1.270; 0;22 13 32.30;+49 15 38.4
  40;   ;22 13 38.32;+49 16 09.9; 9; -2.6; 1.0;  0.7; 1.1;13.480; 0.480; 0;22 13 38.40;+49 16 09.9
  41;   ;22 13 41.26;+49 16 23.9;10; -0.2; 1.4;  5.2; 1.4;14.040; 0.850; 0;22 13 41.34;+49 16 23.9
  42;   ;22 13 39.23;+49 19 05.6; 9;  4.5; 1.5;  1.1; 0.7;13.860; 0.840;88;22 13 39.31;+49 19 05.6
  43;772;22 13 41.52;+49 19 09.2;  ;     ;    ;     ;    ;10.920; 0.700;  ;22 13 41.60;+49 19 09.2
  44;771;22 13 41.52;+49 19 15.6;  ;     ;    ;     ;    ;11.540;      ;  ;22 13 41.60;+49 19 15.6
  45;   ;22 13 48.22;+49 19 22.1;10;  2.2; 0.6; -0.3; 0.8;12.580; 1.320;98;22 13 48.30;+49 19 22.1
  46;775;22 13 54.21;+49 19 12.4;10;  2.3; 0.5;  2.7; 1.0;12.100; 1.290;77;22 13 54.29;+49 19 12.4
  47;   ;22 13 50.76;+49 18 23.3;10; -3.3; 0.6;  1.0; 1.5;14.160; 0.570; 0;22 13 50.84;+49 18 23.3
  48;777;22 13 57.32;+49 18 22.1;10; -0.4; 1.2;  3.3; 0.8;12.970; 0.810; 2;22 13 57.40;+49 18 22.1
  49;776;22 13 55.89;+49 17 55.8;10;  5.0; 1.2; -0.9; 1.0;12.750; 0.920;73;22 13 55.97;+49 17 55.8
  50;   ;22 13 56.57;+49 16 52.5; 9; 28.2; 1.0; 12.7; 0.8;13.060; 1.030; 0;22 13 56.65;+49 16 52.5
  51;   ;22 14 15.53;+49 16 39.0;10;  0.2; 0.8;  4.3; 1.2;12.260; 1.480; 1;22 14 15.61;+49 16 39.0
  52;   ;22 14 18.68;+49 15 23.9;10; -6.6; 0.9; -2.5; 1.2;14.430; 0.670; 0;22 14 18.76;+49 15 23.9
  53;783;22 14 21.02;+49 14 48.8;10;  2.9; 1.1;  6.0; 0.8;11.560; 0.430; 0;22 14 21.10;+49 14 48.8
  54;780;22 14 12.97;+49 19 08.2;10; -1.4; 0.4;  0.1; 0.9;12.670; 0.670; 8;22 14 13.05;+49 19 08.2
  55;781;22 14 16.01;+49 18 19.7;10;  8.8; 0.9;  7.6; 0.9;12.460; 1.180; 0;22 14 16.09;+49 18 19.7
  56;   ;22 14 21.78;+49 18 18.1;10; -3.0; 0.9; -1.8; 0.8;13.390; 0.630; 0;22 14 21.86;+49 18 18.1
  57;   ;22 14 18.88;+49 19 39.5;10;  3.1; 0.4;  2.6; 0.4;12.780; 0.960;78;22 14 18.96;+49 19 39.5
  58;784;22 14 27.82;+49 19 08.9; 9; 89.6; 1.3; 21.4; 0.9;10.280; 0.980; 0;22 14 27.90;+49 19 08.9
  59;   ;22 14 30.34;+49 17 37.2;10;  1.7; 0.4;  1.4; 1.5;13.880; 0.840;95;22 14 30.42;+49 17 37.2
  60;   ;22 14 29.44;+49 16 47.2;10; -2.9; 1.3; -0.9; 0.8;12.740; 1.480; 0;22 14 29.52;+49 16 47.2
  61;787;22 14 45.58;+49 19 11.1;10;  3.4; 1.3;  5.2; 0.7;13.070; 0.560; 0;22 14 45.66;+49 19 11.1
  62;   ;22 14 51.44;+49 16 46.4;10;  3.1; 1.0;  3.9; 1.3;11.900; 1.520;10;22 14 51.52;+49 16 46.4
  63;   ;22 14 45.71;+49 15 22.6;10; -5.7; 1.3;  0.0; 1.1;13.140; 0.640; 0;22 14 45.79;+49 15 22.6
  64;790;22 14 55.08;+49 19 30.5;10;  6.7; 0.7;-16.0; 0.8;10.970; 1.150; 0;22 14 55.16;+49 19 30.5
  65;792;22 15 09.71;+49 18 05.1;10;  0.1; 1.2;  1.4; 0.7;11.880; 1.150;70;22 15 09.79;+49 18 05.1
  66;794;22 15 20.43;+49 16 22.5;10; -6.8; 1.7; -2.0; 1.0;11.860; 0.270; 0;22 15 20.51;+49 16 22.5
  67;795;22 15 27.47;+49 14 50.9;10; 10.1; 1.1;  3.5; 0.7;11.820; 1.220; 0;22 15 27.55;+49 14 50.9
  68;796;22 15 39.49;+49 17 28.1;10; -4.5; 0.7; -5.8; 0.6;13.030; 0.810; 0;22 15 39.57;+49 17 28.1
  69;   ;22 15 45.11;+49 17 56.9;10; -3.4; 1.9;  1.1; 1.2;12.430; 1.790; 0;22 15 45.19;+49 17 56.9
  70;797;22 15 43.91;+49 16 11.3;10; -4.4; 0.8; -2.9; 0.7;11.290; 1.240; 0;22 15 43.99;+49 16 11.3
  71;   ;22 16 00.67;+49 15 47.9; 9; -5.4; 1.4; -1.7; 1.3;13.730; 0.870; 0;22 16 00.75;+49 15 47.9
  72;   ;22 16 07.15;+49 17 32.4; 7; 11.4; 1.8;  0.1; 1.7;13.790; 0.640; 0;22 16 07.23;+49 17 32.4
  73;   ;22 16 05.74;+49 18 18.2; 9;  6.0; 1.2; 11.8; 1.1;14.090; 0.850; 0;22 16 05.82;+49 18 18.2
  74;   ;22 16 01.35;+49 19 25.2; 9;  3.9; 1.8;  2.5; 1.3;13.420; 1.220;70;22 16 01.43;+49 19 25.2
  75;802;22 16 17.03;+49 19 50.8;10;  7.6; 1.2;  3.8; 0.7;12.380; 0.740; 0;22 16 17.11;+49 19 50.8
  76;   ;22 16 29.10;+49 17 46.5; 9;  7.1; 1.9;  1.2; 1.1;12.900; 1.230; 1;22 16 29.18;+49 17 46.5
  77;804;22 16 27.66;+49 17 20.3; 9;  1.1; 0.6;  0.3; 1.1;13.320; 0.860;96;22 16 27.74;+49 17 20.3
  78;   ;22 16 35.74;+49 16 19.1;10;  8.2; 1.2; -0.8; 1.4;13.800; 0.900; 0;22 16 35.82;+49 16 19.1
  79;807;22 16 38.91;+49 17 41.4;10;  5.6; 0.9; -3.1; 0.6;13.240; 0.830; 2;22 16 38.99;+49 17 41.4
  80;   ;22 16 41.30;+49 16 59.8; 9;  1.4; 0.8;  7.7; 1.2;13.540; 0.900; 0;22 16 41.38;+49 16 59.8
  81;   ;22 16 44.04;+49 15 50.6; 9; -1.7; 1.2; -0.2; 0.9;13.470; 0.510; 3;22 16 44.12;+49 15 50.6
  82;   ;22 16 50.73;+49 16 13.6; 8; -0.9; 2.0; -1.2; 0.9;13.960; 0.820;18;22 16 50.81;+49 16 13.6
  83;   ;22 16 51.01;+49 16 55.8;  ;     ;    ;     ;    ;13.160; 0.860;  ;22 16 51.09;+49 16 55.8
  84;   ;22 16 51.49;+49 17 08.9; 6;  1.1; 1.7;  0.1; 1.3;13.310; 0.670;95;22 16 51.57;+49 17 08.9
  85;809;22 16 44.48;+49 18 30.6;10; -4.0; 0.9; -0.5; 0.6;11.760; 0.510; 0;22 16 44.56;+49 18 30.6
  86;810;22 16 48.11;+49 19 12.2;10; 21.1; 1.1;  9.6; 0.7;12.650; 0.810; 0;22 16 48.19;+49 19 12.2
  87;813;22 16 51.92;+49 19 27.8;10; -3.1; 1.2;  7.0; 0.8;12.190; 0.790; 0;22 16 52.00;+49 19 27.8
  88;   ;22 16 34.22;+49 19 24.8;10;  6.5; 1.5;  0.2; 1.2;13.840; 0.620; 7;22 16 34.30;+49 19 24.8
  89;806;22 16 37.95;+49 19 43.6;10; 30.4; 1.0;  5.4; 0.4;13.120; 0.740; 0;22 16 38.03;+49 19 43.6
  90;   ;22 16 55.94;+49 19 37.0;10; -9.0; 1.4;  3.9; 1.6;14.160; 0.750; 0;22 16 56.02;+49 19 37.0
  91;   ;22 17 05.88;+49 18 51.4;10; -0.4; 1.0; -0.3; 0.5;13.670; 0.510;57;22 17 05.96;+49 18 51.4
  92;   ;22 17 14.10;+49 19 16.1;10; -5.1; 0.7;  0.9; 0.7;12.880; 1.240; 0;22 17 14.18;+49 19 16.1
  93;814;22 17 16.37;+49 17 20.5; 9;  0.7; 0.8;  0.3; 1.1;12.100; 0.410;92;22 17 16.45;+49 17 20.5
  94;   ;22 17 25.61;+49 15 28.6;10;  4.0; 1.1;  1.2; 0.9;11.740; 0.980;92;22 17 25.69;+49 15 28.6
  95;   ;22 17 33.01;+49 16 34.4;  ;     ;    ;     ;    ;12.100;      ;  ;22 17 33.09;+49 16 34.4
  96;   ;22 17 33.57;+49 16 38.8;  ;     ;    ;     ;    ;12.260;      ;  ;22 17 33.65;+49 16 38.8
  97;   ;22 17 35.58;+49 16 39.7;10; 12.4; 1.2;  1.7; 0.8;11.810; 0.690; 0;22 17 35.66;+49 16 39.7
  98;   ;22 17 32.80;+49 19 27.6; 9;-14.9; 1.2; -5.9; 0.8;13.620; 0.910; 0;22 17 32.88;+49 19 27.6
  99;   ;22 17 41.39;+49 17 45.3; 7;  4.4; 2.0;  4.1; 1.2;14.100; 0.870; 2;22 17 41.47;+49 17 45.3
 100;   ;22 17 43.75;+49 15 31.4;10;  1.7; 1.2;  2.6; 1.0;12.500; 0.450;74;22 17 43.83;+49 15 31.4
 101;   ;22 17 51.57;+49 16 16.6;10; -2.9; 1.2;  4.0; 0.6;12.140; 1.110; 0;22 17 51.65;+49 16 16.6
 102;   ;22 18 06.36;+49 15 57.1;10; -2.8; 2.1;  2.1; 1.0;11.740; 1.600; 0;22 18 06.44;+49 15 57.1
 103;   ;22 18 08.53;+49 16 51.4;10;  2.3; 1.2;  1.4; 0.6;11.550; 1.400;96;22 18 08.61;+49 16 51.4
 104;   ;22 18 12.68;+49 17 02.8; 8;  3.0; 1.5;  3.8; 1.2;13.090; 1.200;14;22 18 12.76;+49 17 02.8
 105;   ;22 18 16.69;+49 17 28.1; 7; -2.8; 1.4; -6.5; 1.2;12.470; 1.120; 0;22 18 16.77;+49 17 28.1
 106;   ;22 18 10.06;+49 19 02.3;  ;     ;    ;     ;    ;13.790; 0.740;  ;22 18 10.14;+49 19 02.3
 107;   ;22 18 13.45;+49 18 58.2; 9; 12.4; 1.4;  8.7; 1.2; 8.630; 0.530; 0;22 18 13.53;+49 18 58.2
 108;   ;22 18 15.27;+49 18 54.2;  ;     ;    ;     ;    ;10.170; 0.980;  ;22 18 15.35;+49 18 54.2
 109;   ;22 18 19.68;+49 16 20.6; 7;  0.3; 1.7; -4.0; 1.7;13.700; 0.810; 1;22 18 19.76;+49 16 20.6
 110;   ;22 18 24.49;+49 16 37.7;10; 10.9; 0.8;  0.8; 1.2;12.550; 0.460; 0;22 18 24.57;+49 16 37.7
 111;   ;22 18 36.47;+49 15 25.1; 7; -2.5; 1.6;  1.4; 1.3;12.870; 1.170; 0;22 18 36.55;+49 15 25.1
 112;   ;22 18 37.73;+49 15 48.8;10; -7.0; 1.2; -6.4; 1.1;10.210; 1.090; 0;22 18 37.81;+49 15 48.8
 113;   ;22 18 35.63;+49 18 11.9; 7; -3.4; 1.5;  4.3; 2.2;12.690; 1.800; 0;22 18 35.71;+49 18 11.9
 114;   ;22 18 49.63;+49 14 51.5; 9;  4.0; 1.5;-12.0; 0.9;12.620; 0.650; 0;22 18 49.71;+49 14 51.5
 115;   ;22 18 39.78;+49 21 45.9;10; -5.4; 0.9; -6.6; 1.3;13.640; 0.990; 0;22 18 39.86;+49 21 45.9
 116;   ;22 18 35.70;+49 22 17.7; 9; -1.5; 1.3; -2.4; 0.4;13.460; 0.500; 0;22 18 35.78;+49 22 17.7
 117;   ;22 18 29.63;+49 24 29.3;10; 11.0; 0.8;  0.4; 0.6;13.140; 0.710; 0;22 18 29.71;+49 24 29.3
 118;   ;22 18 28.43;+49 24 04.4;10;  3.6; 0.8; -2.6; 0.5;12.850; 0.220;61;22 18 28.51;+49 24 04.4
 119;   ;22 18 19.92;+49 24 12.7;10;  1.4; 1.0;  0.9; 1.1;12.840; 1.160;96;22 18 20.00;+49 24 12.7
 120;   ;22 18 11.24;+49 24 41.7;10;  0.9; 1.5;  0.7; 0.8;13.310; 0.780;93;22 18 11.32;+49 24 41.7
 121;   ;22 18 10.99;+49 23 32.7;10; -0.6; 0.6;  0.6; 0.8;13.040; 0.770;44;22 18 11.07;+49 23 32.7
 122;   ;22 18 15.61;+49 22 51.7;10;  1.1; 0.5; -0.2; 0.5;12.860; 0.320;95;22 18 15.69;+49 22 51.7
 123;   ;22 18 09.87;+49 20 28.6;10;  2.4; 1.1;  3.0; 0.5;11.800; 0.140;62;22 18 09.95;+49 20 28.6
 124;   ;22 18 00.13;+49 21 14.3;10;  0.3; 1.1;  2.2; 0.8; 8.900; 0.230;49;22 18 00.21;+49 21 14.3
 125;758;22 17 56.86;+49 24 39.5;10; -4.8; 0.9; -0.9; 0.8;11.940; 1.730; 0;22 17 56.94;+49 24 39.5
 126;   ;22 17 39.72;+49 19 56.3; 9;  5.6; 1.0; -8.4; 1.0;12.720; 0.740; 0;22 17 39.80;+49 19 56.3
 127;751;22 17 30.60;+49 22 50.4;10; -1.2; 1.0;  0.4; 0.5;12.800; 0.560;13;22 17 30.68;+49 22 50.4
 128;   ;22 17 21.54;+49 21 48.8; 9;  2.6; 1.4;-14.8; 0.8;13.030; 0.860; 0;22 17 21.62;+49 21 48.8
 129;   ;22 17 19.79;+49 20 11.6; 9; 13.1; 1.2;  9.8; 1.2;13.470; 1.070; 0;22 17 19.87;+49 20 11.6
 130;   ;22 17 13.35;+49 20 21.0;10; 13.6; 1.0; 12.8; 1.1;13.160; 1.080; 0;22 17 13.43;+49 20 21.0
 131;   ;22 17 04.85;+49 21 40.5;10;  0.9; 0.9; -2.2; 1.1;12.320; 1.110;66;22 17 04.93;+49 21 40.5
 132;744;22 17 09.01;+49 24 12.8;10; 15.7; 1.3; 16.2; 0.8; 9.360; 0.680; 0;22 17 09.09;+49 24 12.8
 133;812;22 16 51.49;+49 21 57.9;10; 19.2; 0.8; -6.5; 0.6;12.090; 0.650; 0;22 16 51.57;+49 21 57.9
 134;811;22 16 49.53;+49 21 21.3;10;  2.4; 1.1;  1.5; 0.7;12.180; 1.470;96;22 16 49.61;+49 21 21.3
 135;   ;22 16 52.32;+49 20 38.7;10; -5.5; 1.2; -1.7; 0.5;13.090; 1.130; 0;22 16 52.40;+49 20 38.7
 136;808;22 16 41.37;+49 22 19.2;10; -0.8; 0.5;  3.1; 0.8;10.490; 1.300; 2;22 16 41.45;+49 22 19.2
 137;805;22 16 28.17;+49 21 55.2;10;  1.8; 1.4;  0.4; 0.3;12.120; 0.300;97;22 16 28.25;+49 21 55.2
 138;732;22 16 20.74;+49 23 27.4;10; -4.7; 0.9; -0.3; 0.9;12.080; 1.470; 0;22 16 20.82;+49 23 27.4
 139;   ;22 16 21.02;+49 23 58.2;10;  8.0; 1.5;  2.0; 1.4;13.880; 0.840; 0;22 16 21.10;+49 23 58.2
 140;733;22 16 21.81;+49 24 35.0;10; 31.4; 1.4; 15.4; 0.7;13.030; 0.790; 0;22 16 21.89;+49 24 35.0
 141;801;22 16 14.32;+49 20 39.7;10;  1.7; 1.0;  1.6; 1.1; 9.640; 0.120;93;22 16 14.40;+49 20 39.7
 142;727;22 16 06.03;+49 23 52.2;10;  3.6; 1.0; -1.8; 0.7;12.730; 0.820;88;22 16 06.11;+49 23 52.2
