#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:13:20 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:13:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/PAZh/36/16/stars&-order=I&-out=Cluster&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=B-V&-out=e_B-V&-out=V-Rc&-out=e_V-Rc&-out=V-Ic&-out=e_V-Ic&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_90360016
#Name: J/PAZh/36/16
#Title: Photometry in 6 galactic open star clusters (Glushkova+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pazh/36/16	    IVOID of underlying data collection
#INFO	creator=Glushkova E.V.	    First author or institution
#INFO	cites=bibcode:2010PAZh...36...16G	    Article or Data origin sources
#INFO	editor=Pis'ma v Astronomicheskii Zhurnal	    Editor name (article)
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PAZh/36/16	    Dataset landing page
#INFO	publication_date=2017-07-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PAZh_36_16_stars:
#Name: J/PAZh/36/16/stars
#Title: Combined table from original tables
#Column	Cluster	(a7)	Cluster name	[ucd=meta.id.parent]
#Column	RAJ2000	(F10.6)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Error on V	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson color index B-V	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? Error on B-V (1)	[ucd=stat.error;phot.color;em.opt.B]
#Column	V-Rc	(F6.3)	? Johnson-Cousins color index V-Rc (1)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-Rc	(F6.3)	? Error on V-Rc (1)	[ucd=stat.error;phot.color;em.opt.V]
#Column	V-Ic	(F6.3)	? Johnson-Cousins color index V-Ic (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-Ic	(F6.3)	? Error on V-Ic (1)	[ucd=stat.error;phot.color;em.opt.V]
Cluster;RAJ2000;DEJ2000;Vmag;e_Vmag;B-V;e_B-V;V-Rc;e_V-Rc;V-Ic;e_V-Ic
NGC7245;333.811159;+54.278084;18.384; 0.044; 0.955; 0.024; 0.588; 0.035; 1.240; 0.020
NGC7245;333.766105;+54.299543;17.911; 0.030; 0.951; 0.020; 0.609; 0.026; 1.114; 0.012
NGC7245;333.762090;+54.301639;18.540; 0.025; 0.922; 0.050; 0.614; 0.024; 1.163; 0.016
NGC7245;333.715303;+54.324087;16.572; 0.005; 0.786; 0.008; 0.509; 0.006; 0.953; 0.006
NGC7245;333.726856;+54.318887;17.597; 0.015; 0.931; 0.013; 0.591; 0.008; 1.123; 0.010
NGC7245;333.728488;+54.318159;17.235; 0.009; 1.079; 0.012; 0.650; 0.008; 1.212; 0.009
NGC7245;333.804899;+54.281858;19.428; 0.061; 1.125; 0.044; 0.642; 0.035; 1.203; 0.030
NGC7245;333.741171;+54.312900;18.973; 0.034; 0.889; 0.056; 0.593; 0.034; 1.153; 0.021
NGC7245;333.779526;+54.294965;18.207; 0.020; 0.921; 0.036; 0.621; 0.015; 1.165; 0.013
NGC7245;333.788346;+54.291053;17.256; 0.006; 0.811; 0.011; 0.527; 0.007; 1.007; 0.009
NGC7245;333.717171;+54.324978;17.052; 0.005; 0.685; 0.016; 0.452; 0.006; 0.863; 0.008
NGC7245;333.763947;+54.302741;15.269; 0.013; 0.422; 0.005; 0.293; 0.009; 0.563; 0.005
NGC7245;333.808769;+54.281941;17.634; 0.013; 0.774; 0.012; 0.545; 0.016; 1.024; 0.010
NGC7245;333.791057;+54.290675;15.517; 0.007; 0.516; 0.008; 0.356; 0.006; 0.683; 0.005
NGC7245;333.792586;+54.291007;17.121; 0.009; 0.808; 0.011; 0.520; 0.011; 0.980; 0.008
NGC7245;333.745782;+54.312434;18.838; 0.020; 0.915; 0.028; 0.605; 0.013; 1.180; 0.020
NGC7245;333.818219;+54.278080;17.850; 0.029; 0.982; 0.016; 0.620; 0.029; 1.132; 0.011
NGC7245;333.710660;+54.329263;18.881; 0.013; 1.015; 0.028; 0.625; 0.013; 1.171; 0.022
NGC7245;333.724453;+54.324025;17.905; 0.008; 1.562; 0.021; 0.917; 0.010; 1.710; 0.013
NGC7245;333.806611;+54.285139;17.543; 0.008; 0.892; 0.012; 0.572; 0.007; 1.071; 0.009
NGC7245;333.740732;+54.316650;18.027; 0.015; 0.954; 0.025; 0.625; 0.009; 1.190; 0.012
NGC7245;333.760455;+54.307307;16.666; 0.031; 0.693; 0.014; 0.476; 0.020; 0.877; 0.007
NGC7245;333.753507;+54.310781;17.562; 0.011; 0.817; 0.019; 0.549; 0.008; 1.038; 0.011
NGC7245;333.776644;+54.299782;18.198; 0.041; 1.105; 0.044; 0.670; 0.020; 1.269; 0.014
NGC7245;333.749810;+54.313338;17.581; 0.024; 0.797; 0.012; 0.535; 0.016; 0.989; 0.010
NGC7245;333.807457;+54.286540;17.295; 0.010; 0.858; 0.011; 0.554; 0.007; 1.032; 0.009
NGC7245;333.718531;+54.328980;17.304; 0.006; 0.748; 0.034; 0.481; 0.007; 0.901; 0.009
NGC7245;333.824988;+54.278346;15.810; 0.012; 0.806; 0.011; 0.514; 0.011; 0.964; 0.006
NGC7245;333.736102;+54.320665;15.034; 0.011; 0.463; 0.005; 0.311; 0.005; 0.607; 0.006
NGC7245;333.788614;+54.295733;18.255; 0.023; 0.940; 0.053; 0.590; 0.027; 1.131; 0.013
NGC7245;333.823053;+54.280144;19.070; 0.020; 0.990; 0.033; 0.665; 0.015; 1.235; 0.024
NGC7245;333.736968;+54.322246;15.532; 0.015; 0.548; 0.008; 0.358; 0.009; 0.702; 0.005
NGC7245;333.813469;+54.285845;18.180; 0.015; 0.887; 0.017; 0.565; 0.009; 1.027; 0.014
NGC7245;333.774771;+54.304830;18.251; 0.010; 0.975; 0.040; 0.637; 0.016; 1.187; 0.013
NGC7245;333.742593;+54.320201;18.546; 0.010; 0.938; 0.022; 0.590; 0.013; 1.121; 0.016
NGC7245;333.722979;+54.329623;16.914; 0.005; 0.764; 0.010; 0.505; 0.007; 0.969; 0.009
NGC7245;333.795605;+54.295239;17.434; 0.019; 0.893; 0.012; 0.570; 0.013; 1.074; 0.009
NGC7245;333.811875;+54.287534;15.748; 0.012; 0.511; 0.006; 0.356; 0.007; 0.664; 0.005
NGC7245;333.821005;+54.283262;19.577; 0.025; 1.115; 0.053; 0.746; 0.019; 1.368; 0.030
NGC7245;333.770723;+54.308197;17.394; 0.016; 0.935; 0.026; 0.609; 0.017; 1.129; 0.009
NGC7245;333.780213;+54.303985;16.093; 0.009; 0.884; 0.009; 0.577; 0.007; 1.073; 0.008
NGC7245;333.774296;+54.306930;15.768; 0.019; 0.768; 0.007; 0.513; 0.012; 0.952; 0.005
NGC7245;333.758554;+54.315606;15.520; 0.013; 0.716; 0.006; 0.480; 0.009; 0.910; 0.005
NGC7245;333.807923;+54.292320;16.585; 0.019; 1.268; 0.011; 0.785; 0.013; 1.471; 0.008
NGC7245;333.769306;+54.310895;18.024; 0.007; 0.988; 0.016; 0.652; 0.013; 1.209; 0.012
