#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:56:54 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:56:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/A+A/376/745/table4&-order=I&-out=Seq&-out=Usmag&-out=e_Usmag&-out=Bsmag&-out=e_Bsmag&-out=Vsmag&-out=e_Vsmag&-out=Rsmag&-out=e_Rsmag&-out=Ismag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33760745
#Name: J/A+A/376/745
#Title: CCD standards for U and I in NGC 7790 (Petrov+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/376/745	    IVOID of underlying data collection
#INFO	creator=Petrov G.	    First author or institution
#INFO	cites=bibcode:2001A&A...376..745P	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/376/745	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33760745	    Dataset identifier that can be used for citation
#INFO	publication_date=2001-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_376_745_table4:
#Name: J/A+A/376/745/table4
#Title: Magnitudes and errors of all 84 standard stars
#Column	Seq	(I3)	Star number	[ucd=meta.id]
#Column	Usmag	(F6.3)	U magnitude (close to Johnson's U magnitude)	[ucd=phot.mag;em.opt.U]
#Column	e_Usmag	(F7.4)	Photometric error in U	[ucd=stat.error]
#Column	Bsmag	(F6.3)	B magnitude (close to Johnson's B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	e_Bsmag	(F7.4)	Photometric error in B	[ucd=stat.error]
#Column	Vsmag	(F6.3)	V magnitude (close to Johnson's V magnitude)	[ucd=phot.mag;em.opt.V]
#Column	e_Vsmag	(F7.4)	Photometric error in V	[ucd=stat.error]
#Column	Rsmag	(F6.3)	R magnitude (close to Kron/Cousins' R magnitude)	[ucd=phot.mag;em.opt.R]
#Column	e_Rsmag	(F7.4)	Photometric error in R	[ucd=stat.error]
#Column	Ismag	(F6.3)	I magnitude (close to Kron/Cousins' I magnitude)	[ucd=phot.mag;em.opt.I]
Seq;Usmag;e_Usmag;Bsmag;e_Bsmag;Vsmag;e_Vsmag;Rsmag;e_Rsmag;Ismag
 41;18.772; 0.0390;18.643; 0.0200;17.737; 0.0120;17.193; 0.0580;16.593
 42;19.194; 0.0660;18.967; 0.0350;17.930; 0.0440;17.351; 0.0670;16.760
 43;19.202; 0.0371;19.455; 0.0159;18.424; 0.0120;17.803; 0.0237;17.260
 45;16.646; 0.0141;16.365; 0.0039;15.809; 0.0042;15.490; 0.0039;15.119
 48;16.470; 0.0441;16.124; 0.0028;15.259; 0.0038;14.735; 0.0065;14.191
 49;18.895; 0.0500;18.280; 0.0220;16.585; 0.0120;15.601; 0.0130;14.526
 51;14.903; 0.0131;14.854; 0.0032;14.421; 0.0064;14.163; 0.0071;13.865
 53;17.305; 0.0177;16.978; 0.0042;16.351; 0.0064;16.000; 0.0067;15.597
 54;17.773; 0.0210;17.560; 0.0057;16.551; 0.0078;15.969; 0.0134;15.366
 55;18.653; 0.0440;18.987; 0.0100;18.021; 0.0170;17.471; 0.0200;17.030
 56;19.338; 0.0650;19.246; 0.0310;18.263; 0.0140;17.626; 0.0500;16.982
 58;16.358; 0.0156;16.042; 0.0085;15.453; 0.0134;15.127; 0.0131;14.724
 59;16.895; 0.0150;16.609; 0.0038;16.027; 0.0052;15.715; 0.0081;15.302
 60;18.356; 0.0210;18.004; 0.0085;16.863; 0.0088;16.239; 0.0156;15.601
 62;18.277; 0.0247;17.132; 0.0056;15.448; 0.0085;14.502; 0.0145;13.500
 65;17.079; 0.0121;16.768; 0.0040;16.022; 0.0058;15.595; 0.0071;15.080
 66;16.866; 0.0205;16.529; 0.0039;15.953; 0.0046;15.632; 0.0049;15.259
 67;18.046; 0.0631;17.872; 0.0052;17.000; 0.0052;16.487; 0.0092;15.943
 68;18.591; 0.0258;18.717; 0.0117;17.652; 0.0081;17.012; 0.0163;16.375
 69;19.050; 0.0640;18.797; 0.0220;17.824; 0.0110;17.202; 0.0430;16.505
 72;14.541; 0.0170;14.780; 0.0028;14.259; 0.0064;13.920; 0.0078;13.521
 73;17.844; 0.0265;17.302; 0.0057;16.166; 0.0067;15.531; 0.0085;14.943
 74;18.302; 0.0788;18.323; 0.0095;17.358; 0.0085;16.779; 0.0226;16.217
 75;18.702; 0.0330;18.713; 0.0103;17.727; 0.0085;17.146; 0.0180;16.607
 76;18.974; 0.0450;18.804; 0.0220;17.965; 0.0140;17.445; 0.0480;16.930
 77;17.020; 0.0142;16.759; 0.0042;16.042; 0.0060;15.615; 0.0083;15.074
 78;19.037; 0.0590;19.028; 0.0230;18.065; 0.0150;17.466; 0.0520;16.799
 79;20.099; 0.1240;19.228; 0.0230;18.017; 0.0130;17.288; 0.0540;16.577
 80;16.368; 0.0134;16.190; 0.0057;15.627; 0.0092;15.314; 0.0095;14.925
 82;14.045; 0.0120;13.651; 0.0028;13.144; 0.0057;12.877; 0.0071;12.505
 83;17.294; 0.0166;16.878; 0.0046;16.059; 0.0060;15.566; 0.0064;15.014
 84;19.413; 0.0860;19.525; 0.0360;18.431; 0.0230;17.760; 0.0510;16.951
 85;17.684; 0.0192;17.631; 0.0048;16.701; 0.0056;16.140; 0.0104;15.553
 86;17.802; 0.0198;17.695; 0.0078;16.670; 0.0081;16.065; 0.0085;15.457
 87;18.584; 0.0308;18.719; 0.0113;17.816; 0.0103;17.256; 0.0223;16.778
 88;17.178; 0.0159;16.799; 0.0057;15.808; 0.0088;15.231; 0.0088;14.649
 90;18.688; 0.0400;18.573; 0.0230;17.669; 0.0130;17.073; 0.0430;16.345
 94;17.156; 0.0197;16.784; 0.0044;16.060; 0.0058;15.617; 0.0069;15.136
 95;16.674; 0.0108;16.395; 0.0044;15.785; 0.0062;15.420; 0.0069;14.970
 96;16.786; 0.0227;16.472; 0.0040;15.765; 0.0067;15.337; 0.0079;14.834
 97;15.924; 0.0406;14.688; 0.0038;13.181; 0.0058;12.351; 0.0078;11.593
 98;15.138; 0.0081;14.912; 0.0042;14.104; 0.0067;13.625; 0.0094;13.145
 99;17.787; 0.0212;17.525; 0.0056;16.747; 0.0067;16.292; 0.0011;15.767
100;19.232; 0.0760;18.962; 0.0270;17.807; 0.0160;17.105; 0.0460;16.322
103;17.836; 0.0440;17.490; 0.0056;16.716; 0.0071;16.251; 0.0100;15.787
104;15.884; 0.0112;15.743; 0.0050;15.181; 0.0064;14.835; 0.0085;14.474
105;18.816; 0.0399;17.551; 0.0088;15.689; 0.0106;14.573; 0.0159;13.319
106;18.444; 0.0540;19.099; 0.0170;17.937; 0.0160;17.299; 0.0170;16.812
107;18.586; 0.0371;17.224; 0.0092;15.306; 0.0106;14.175; 0.0141;12.828
108;18.619; 0.0325;18.305; 0.0099;17.142; 0.0103;16.477; 0.0184;15.839
109;18.443; 0.0275;18.406; 0.0117;17.380; 0.0110;16.757; 0.0209;16.156
110;18.048; 0.0390;17.851; 0.0070;16.665; 0.0090;15.957; 0.0140;15.322
112;17.527; 0.0270;17.548; 0.0060;16.436; 0.0090;15.761; 0.0070;15.094
113;15.318; 0.0160;15.281; 0.0070;14.794; 0.0120;14.473; 0.0570;14.072
114;18.116; 0.0380;18.418; 0.0120;17.350; 0.0140;16.724; 0.0110;16.154
115;18.432; 0.0480;18.721; 0.0120;17.578; 0.0150;16.911; 0.0160;16.381

