#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:26:10 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:26:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/615/A12/tablec&-order=I&-out=Tab&-out=Name&-out=StarID&-out=RA_ICRS&-out=DE_ICRS&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=plx&-out=e_plx&-out=Mass&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Ksmag&-out=e_Ksmag&-out=Gmag&-out=Flag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36150012
#Name: J/A+A/615/A12
#Title: 24 nearby open clusters TGAS and HSOY reanalysis (Yen+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/a+a/615/a12	    IVOID of underlying data collection
#INFO	creator=Yen S.X.	    First author or institution
#INFO	cites=bibcode:2018A&A...615A..12Y	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/615/A12	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36150012	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-09-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H:	ICRS
#Table	J_A_A_615_A12_tablec:
#Name: J/A+A/615/A12/tablec
#Title: Membership lists for 24 clusters
#Column	Tab	(A3)	Table name (C1-C24)	[ucd=meta.id;meta.table]
#Column	Name	(a13)	Cluster name (as in table1)	[ucd=meta.id.parent]
#Column	StarID	(I19)	Gaia DR1 Source ID or Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F12.8)	Right ascension (ICRS)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F12.8)	Declination (ICRS)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F6.2)	Proper motion in RA*cos(DE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	Standard error of proper motion in RA*cos(DE)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.2)	Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	Standard error of proper motion in DE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	plx	(F5.2)	? Stellar parallax from TGAS or Hipparcos	[ucd=pos.parallax.trig]
#Column	e_plx	(F5.2)	? Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	Mass	(F5.2)	Stellar mass	[ucd=phys.mass]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	? Error of B magnitude	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Error of V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Jmag	(F6.3)	? 2MASS J magnitude	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	? Error of J magnitude	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	? 2MASS H magnitude	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	? Error of H magnitude	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Ksmag	(F6.3)	? 2MASS Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	e_Ksmag	(F6.3)	? Error of Ks magnitude	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Gmag	(F6.3)	? Gaia G-band mean magnitude	[ucd=phot.mag;em.opt.R]
#Column	Flag	(I1)	Flag for catalog (1)	[ucd=meta.code.error]
Tab;Name;StarID;RA_ICRS;DE_ICRS;pmRA;e_pmRA;pmDE;e_pmDE;plx;e_plx;Mass;Bmag;e_Bmag;Vmag;e_Vmag;Jmag;e_Jmag;Hmag;e_Hmag;Ksmag;e_Ksmag;Gmag;Flag
C1 ;Blanco 1     ;2327133780575513088;359.02096281;-29.43066703; 21.01; 2.12;  2.15; 2.12;     ;     ; 0.80;      ;      ;      ;      ;11.654; 0.030;11.133; 0.030;11.060; 0.030;13.002;2
C1 ;Blanco 1     ;2326923086659589376;359.22103579;-29.86084421; 18.94; 0.53;  4.09; 1.70; 3.94; 0.72; 1.05;12.217; 0.118;11.583; 0.086;10.592; 0.030;10.246; 0.030;10.244; 0.030;11.532;1
C1 ;Blanco 1     ;2326921471751885440;359.41225379;-29.83511779; 19.04; 0.68;  2.18; 1.12; 4.61; 0.53; 1.40;10.670; 0.029;10.244; 0.029; 9.465; 0.030; 9.280; 0.030; 9.227; 0.030;10.144;1
C1 ;Blanco 1     ;2326868454675761536;359.61342416;-30.02257213; 18.12; 2.64;  5.55; 2.64;     ;     ; 0.22;      ;      ;      ;      ;15.315; 0.045;14.744; 0.057;14.425; 0.075;18.254;2
C1 ;Blanco 1     ;2326875601501395072;359.61788420;-29.93875487; 20.74; 2.14;  0.99; 2.14;     ;     ; 0.50;      ;      ;      ;      ;13.522; 0.030;12.831; 0.030;12.670; 0.030;15.862;2
C1 ;Blanco 1     ;2326876048178023296;359.59755032;-29.89115006; 18.69; 2.16; -0.14; 2.14;     ;     ; 0.40;      ;      ;      ;      ;14.246; 0.030;13.579; 0.035;13.378; 0.039;16.927;2
C1 ;Blanco 1     ;2326864468946188032;359.87760281;-29.90100844; 18.88; 2.14;  0.35; 2.14;     ;     ; 0.59;      ;      ;      ;      ;12.932; 0.030;12.207; 0.030;12.093; 0.030;15.029;2
C1 ;Blanco 1     ;2326879655950291456;359.61841142;-29.81897753; 17.48; 1.26;  2.22; 2.20; 4.29; 0.89; 1.05;12.788; 0.165;12.097; 0.119;10.722; 0.030;10.386; 0.030;10.357; 0.030;11.709;1
C1 ;Blanco 1     ;2326953220151100032;359.32129531;-29.36703581; 18.87; 2.14; -0.84; 2.14;     ;     ; 0.30;      ;      ;      ;      ;14.911; 0.041;14.284; 0.052;14.052; 0.061;17.777;2
C1 ;Blanco 1     ;2332953426902771968;359.51353282;-29.39679068; 16.09; 2.12;  2.67; 2.12;     ;     ; 0.53;      ;      ;      ;      ;13.213; 0.030;12.579; 0.030;12.418; 0.030;15.580;2
C1 ;Blanco 1     ;2332889586508754816;359.89523967;-29.55799593; 18.91; 2.12;  1.19; 2.12;     ;     ; 0.53;      ;      ;      ;      ;13.336; 0.030;12.676; 0.030;12.512; 0.030;15.649;2
C1 ;Blanco 1     ;2332895668182529024;359.88880002;-29.54015821; 19.55; 2.12;  2.40; 2.12;     ;     ; 0.50;      ;      ;      ;      ;13.531; 0.030;12.874; 0.030;12.685; 0.030;16.025;2
C1 ;Blanco 1     ;2327948140734359040;358.10572661;-29.08384421; 15.94; 2.62;  5.48; 2.62;     ;     ; 0.22;      ;      ;      ;      ;15.397; 0.056;14.845; 0.079;14.461; 0.081;18.311;2
C1 ;Blanco 1     ;2327214629039881984;358.63739499;-28.95351272; 21.18; 1.04;  1.73; 0.80; 3.13; 0.42; 1.05;12.614; 0.326;11.847; 0.136;10.750; 0.030;10.483; 0.030;10.402; 0.030;11.660;1
C1 ;Blanco 1     ;2333147971741224576;359.32390898;-29.17017693; 18.70; 3.23;  3.00; 3.23;     ;     ; 0.17;      ;      ;      ;      ;15.880; 0.090;15.167; 0.123;14.831; 0.127;18.985;2
C1 ;Blanco 1     ;2333153675456833408;359.35365869;-29.04211057; 19.52; 2.12;  2.40; 2.12;     ;     ; 0.61;      ;      ;      ;      ;12.796; 0.030;12.171; 0.030;11.998; 0.030;14.881;2
C1 ;Blanco 1     ;2332951434037487872;359.87188198;-29.19392982; 19.13; 2.12; -0.48; 2.12;     ;     ; 0.61;      ;      ;      ;      ;12.843; 0.030;12.167; 0.030;12.010; 0.030;14.832;2
C1 ;Blanco 1     ;2332965212292517632;359.73189256;-29.12608437; 17.74; 2.12;  0.46; 2.12;     ;     ; 0.85;      ;      ;      ;      ;11.541; 0.030;11.025; 0.030;10.920; 0.030;12.874;2
C1 ;Blanco 1     ;2332964628177046912;359.77400491;-29.11022356; 18.30; 2.12; -1.24; 2.12;     ;     ; 0.50;      ;      ;      ;      ;13.477; 0.030;12.850; 0.030;12.659; 0.030;15.932;2
C1 ;Blanco 1     ;2333157901707490688;359.58668621;-28.97781587; 23.43; 2.42;  3.46; 2.42;     ;     ; 0.25;      ;      ;      ;      ;15.222; 0.043;14.565; 0.068;14.354; 0.082;18.096;2
C1 ;Blanco 1     ;2333990816122521344;358.58191185;-28.58375643; 21.84; 2.15; -0.25; 2.12;     ;     ; 0.45;      ;      ;      ;      ;13.760; 0.030;13.096; 0.030;12.947; 0.030;16.278;2
C1 ;Blanco 1     ;2333202775523147776;359.55288092;-28.60392815; 20.73; 2.12; -0.40; 2.12;     ;     ; 0.40;      ;      ;      ;      ;14.302; 0.032;13.728; 0.039;13.435; 0.037;16.992;2
C1 ;Blanco 1     ;2333306060897497088;359.82700615;-28.35778699; 20.66; 2.12;  0.45; 2.12;     ;     ; 0.57;      ;      ;      ;      ;13.045; 0.030;12.341; 0.030;12.215; 0.030;15.207;2
C1 ;Blanco 1     ;2333284998377999872;359.27045770;-28.07005447; 18.83; 2.56; -0.25; 2.56;     ;     ; 0.33;      ;      ;      ;      ;14.553; 0.039;13.992; 0.043;13.673; 0.045;17.573;2
C1 ;Blanco 1     ;2333308397359681024;359.93690483;-28.25635251; 20.08; 2.12;  0.75; 2.12;     ;     ; 0.95;      ;      ;      ;      ;11.109; 0.030;10.706; 0.030;10.659; 0.030;12.284;2
C1 ;Blanco 1     ;2333312967204954496;359.81891150;-28.16479172; 19.51; 2.13; -1.43; 2.13;     ;     ; 0.27;      ;      ;      ;      ;14.987; 0.039;14.360; 0.052;14.083; 0.059;17.924;2
C1 ;Blanco 1     ;2334037751525146624;359.25345058;-27.92326058; 18.44; 1.02;  1.10; 1.03; 4.58; 0.76; 1.35;10.904; 0.043;10.407; 0.035; 9.638; 0.030; 9.409; 0.030; 9.362; 0.030;10.312;1
C1 ;Blanco 1     ;2314329864591032832;000.37114681;-32.19513417; 20.76; 2.44;  2.18; 2.44;     ;     ; 0.65;      ;      ;      ;      ;12.555; 0.030;11.834; 0.030;11.743; 0.030;14.411;2
C1 ;Blanco 1     ;2313587385004219264;001.44681144;-32.58958165; 21.37; 3.15;  1.23; 3.15;     ;     ; 0.27;      ;      ;      ;      ;14.989; 0.039;14.367; 0.048;14.128; 0.064;17.836;2
C1 ;Blanco 1     ;2313629475683792384;001.91477254;-32.14468038; 21.02; 3.28;  6.43; 3.28;     ;     ; 0.22;      ;      ;      ;      ;15.454; 0.046;14.881; 0.079;14.600; 0.100;18.438;2
C1 ;Blanco 1     ;2314460259797838848;000.55850029;-31.55361586; 19.08; 2.09;  4.33; 2.09;     ;     ; 0.61;      ;      ;      ;      ;12.706; 0.030;11.997; 0.030;11.923; 0.030;14.666;2
C1 ;Blanco 1     ;2314470121042771456;001.02589982;-31.52089878; 21.31; 2.09;  1.09; 2.09;     ;     ; 0.53;      ;      ;      ;      ;13.347; 0.030;12.612; 0.030;12.482; 0.030;15.599;2
C1 ;Blanco 1     ;2314530869060419840;000.25280715;-31.19216583; 20.67; 2.73;  5.85; 2.73;     ;     ; 0.22;      ;      ;      ;      ;15.357; 0.054;14.801; 0.070;14.491; 0.075;18.404;2
C1 ;Blanco 1     ;2314530972139647232;000.30638559;-31.17114421; 17.67; 2.15;  2.74; 2.12;     ;     ; 0.45;      ;      ;      ;      ;13.744; 0.030;13.098; 0.030;12.888; 0.035;16.255;2
C1 ;Blanco 1     ;                257;000.80301496;-31.21239379; 18.69; 1.34;  4.06; 0.75; 3.15; 1.18; 1.90; 8.942; 0.012; 8.859; 0.014; 8.704; 0.030; 8.693; 0.030; 8.659; 0.030;      ;3
C1 ;Blanco 1     ;2314749500075728768;000.27893513;-30.88593343; 19.47; 2.16;  1.57; 2.16;     ;     ; 0.50;      ;      ;      ;      ;13.586; 0.030;12.947; 0.030;12.729; 0.032;16.158;2
C1 ;Blanco 1     ;2314745686144762368;000.38773041;-30.93022388; 14.34; 2.09;  1.41; 2.09;     ;     ; 0.40;      ;      ;      ;      ;14.138; 0.030;13.440; 0.032;13.284; 0.043;16.853;2
C1 ;Blanco 1     ;2314766920462923776;000.07391874;-30.74397151; 20.25; 2.12;  3.00; 2.12;     ;     ; 0.30;      ;      ;      ;      ;14.793; 0.039;14.188; 0.050;13.772; 0.064;17.645;2
C1 ;Blanco 1     ;2314555230115494528;000.63721693;-30.99206603; 17.57; 0.96;  3.55; 1.12; 4.15; 0.54; 1.20;11.609; 0.061;11.208; 0.068;10.137; 0.030; 9.860; 0.030; 9.817; 0.030;10.994;1
C1 ;Blanco 1     ;2314565538037053312;000.57115416;-30.87664881; 18.91; 2.12;  1.47; 2.12;     ;     ; 0.53;      ;      ;      ;      ;13.439; 0.030;12.791; 0.030;12.524; 0.032;15.692;2
C1 ;Blanco 1     ;2314755031993627264;000.47726664;-30.76107941; 19.86; 2.12; -1.44; 2.12;     ;     ; 0.30;      ;      ;      ;      ;14.779; 0.041;14.098; 0.052;13.833; 0.050;17.642;2
C1 ;Blanco 1     ;2320488469736036224;001.39967039;-31.05195902; 19.86; 2.51;  4.56; 2.51;     ;     ; 0.27;      ;      ;      ;      ;14.854; 0.032;14.249; 0.048;13.960; 0.061;17.933;2
C1 ;Blanco 1     ;2320490359521617536;001.59468452;-31.07445230; 19.48; 2.09; -0.50; 2.09;     ;     ; 0.90;      ;      ;      ;      ;11.347; 0.030;10.865; 0.030;10.892; 0.030;12.578;2
C1 ;Blanco 1     ;2320558082565935744;001.00211434;-30.77264333; 18.49; 2.09;  2.78; 2.09;     ;     ; 0.85;      ;      ;      ;      ;11.529; 0.030;11.065; 0.030;10.994; 0.030;12.858;2
C1 ;Blanco 1     ;2320506714757136128;001.43727363;-30.97465799; 20.54; 2.09;  0.66; 2.09;     ;     ; 0.55;      ;      ;      ;      ;13.178; 0.030;12.480; 0.030;12.326; 0.030;15.343;2
C1 ;Blanco 1     ;2320534099468725888;001.53632496;-30.74187178; 19.64; 2.51;  3.35; 2.51;     ;     ; 0.35;      ;      ;      ;      ;14.515; 0.030;13.862; 0.039;13.611; 0.046;17.234;2
C1 ;Blanco 1     ;2319683867742778880;002.56047246;-31.43741344; 19.85; 2.09; -1.88; 2.09;     ;     ; 0.42;      ;      ;      ;      ;13.972; 0.030;13.388; 0.030;13.104; 0.032;16.508;2
C1 ;Blanco 1     ;2319685929326872576;002.61642601;-31.36557627; 21.27; 1.03;  3.37; 1.03;     ;     ; 1.00;      ;      ;      ;      ;10.897; 0.034;10.560; 0.037;10.484; 0.030;11.915;2
C1 ;Blanco 1     ;2319722762966687488;001.91827057;-31.27564650; 18.46; 2.53;  0.85; 2.53;     ;     ; 0.25;      ;      ;      ;      ;15.097; 0.048;14.496; 0.050;14.140; 0.057;18.238;2
C1 ;Blanco 1     ;2319753068256400768;002.35062184;-31.05021991; 22.42; 2.54;  2.11; 2.54;     ;     ; 0.27;      ;      ;      ;      ;14.960; 0.037;14.308; 0.046;14.107; 0.070;17.890;2
C1 ;Blanco 1     ;2320523963346536832;001.91038700;-30.84041105; 16.78; 2.09;  4.88; 2.09;     ;     ; 0.61;      ;      ;      ;      ;12.831; 0.030;12.133; 0.030;11.994; 0.030;14.720;2
C1 ;Blanco 1     ;2320524650541309440;001.98669439;-30.76867833; 18.33; 2.54;  2.91; 2.54;     ;     ; 0.25;      ;      ;      ;      ;15.229; 0.035;14.652; 0.057;14.237; 0.064;18.158;2
C1 ;Blanco 1     ;2319853467411341824;002.45532396;-30.80475478; 18.46; 2.09; -0.66; 2.09;     ;     ; 0.42;      ;      ;      ;      ;14.170; 0.030;13.459; 0.030;13.239; 0.035;16.731;2
C1 ;Blanco 1     ;2319866352313739648;002.39835264;-30.73338010; 21.45; 2.09;  2.65; 2.09;     ;     ; 0.35;      ;      ;      ;      ;14.439; 0.030;13.808; 0.039;13.482; 0.037;17.446;2
C1 ;Blanco 1     ;2319624081798102656;003.22064387;-30.98707835; 18.91; 2.05; -2.17; 2.05;     ;     ; 0.80;      ;      ;      ;      ;11.675; 0.030;11.169; 0.030;11.098; 0.030;13.004;2
C1 ;Blanco 1     ;2314771146710725504;000.35208685;-30.64952569; 20.14; 0.59;  2.04; 0.88; 3.92; 0.37; 1.35;10.906; 0.043;10.512; 0.043; 9.697; 0.030; 9.450; 0.030; 9.484; 0.030;10.367;1
C1 ;Blanco 1     ;2314771215430237184;000.38104195;-30.64838860; 18.75; 2.12;  3.51; 2.12;     ;     ; 0.57;      ;      ;      ;      ;12.920; 0.030;12.239; 0.030;12.088; 0.030;15.320;2
C1 ;Blanco 1     ;2314824369945547904;000.22266813;-30.46475912; 18.49; 2.16;  1.90; 2.16;     ;     ; 0.55;      ;      ;      ;      ;13.109; 0.030;12.438; 0.030;12.272; 0.030;15.401;2
C1 ;Blanco 1     ;2314778980731176448;000.32729391;-30.42664687; 16.88; 2.12; -0.44; 2.12;     ;     ; 0.33;      ;      ;      ;      ;14.671; 0.037;14.018; 0.046;13.718; 0.046;17.409;2
C1 ;Blanco 1     ;                163;000.51714313;-30.68523468; 16.59; 1.39;  2.68; 0.71; 2.92; 1.26; 1.85; 9.086; 0.014; 8.960; 0.014; 8.772; 0.030; 8.721; 0.030; 8.715; 0.030; 8.982;3
C1 ;Blanco 1     ;2320766680538460800;000.57058683;-30.54088724; 19.88; 1.00;  4.33; 0.80; 3.79; 0.39; 1.00;12.420; 0.143;12.123; 0.143;10.883; 0.030;10.530; 0.030;10.470; 0.030;11.941;1
