#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:19:44 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:19:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/159/246/table3&-order=I&-out=WOCS&-out=Xpos&-out=Ypos&-out=RAJ2000&-out=DEJ2000&-out=Umag&-out=Bmag&-out=Vmag&-out=Rmag&-out=Imag&-out=NU&-out=NB&-out=NV&-out=NR&-out=NI&-out=U-B&-out=U-V&-out=U-R&-out=U-I&-out=B-V&-out=B-R&-out=B-I&-out=V-R&-out=V-I&-out=R-I&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51590246
#Name: J/AJ/159/246
#Title: WIYN open cluster study. LXXX. Photometry of NGC 7142 (Sun+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/aj/159/246	    IVOID of underlying data collection
#INFO	creator=Sun Q.	    First author or institution
#INFO	cites=bibcode:2020AJ....159..246S	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/159/246	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51590246	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_159_246_table3:
#Name: J/AJ/159/246/table3
#Title: Photometry for stars in NGC 7142
#Column	WOCS	(I6)	[1001/429028] WOCS identifier (1)	[ucd=meta.id;meta.main]
#Column	Xpos	(F8.3)	[-74/4099] X coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F8.3)	[2/4112] Y coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	RAJ2000	(A11)	[21] Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	[65/66] Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Umag	(F6.3)	[10.6/20.4]? U magnitude ({lambda}~360nm)	[ucd=phot.mag;em.opt.U]
#Column	Bmag	(F6.3)	[10.6/22]? B magnitude ({lambda}~450nm)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	[10/21.8] V magnitude ({lamba}~555nm)	[ucd=phot.mag;em.opt.V]
#Column	Rmag	(F6.3)	[9.2/20.7]? R magnitude ({lambda}~660nm)	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F6.3)	[8.5/19.9]? I magnitude ({lambda}~0.87{mu}m)	[ucd=phot.mag;em.opt.I]
#Column	NU	(I2)	[0/10] Number of observation for U band	[ucd=meta.number]
#Column	NB	(I2)	[0/13] Number of observation for B band	[ucd=meta.number]
#Column	NV	(I2)	[1/13] Number of observation for V band	[ucd=meta.number]
#Column	NR	(I2)	[0/13] Number of observation for R band	[ucd=meta.number]
#Column	NI	(I2)	[0/13] Number of observation for I band	[ucd=meta.number]
#Column	U-B	(F6.3)	[-0.15/2.47]? U-B color	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	U-V	(F6.3)	[-0.09/4.61]? U-V color	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	U-R	(F6.3)	[0.37/6.02]? U-R color	[ucd=phot.mag]
#Column	U-I	(F6.3)	[0.54/7.53]? U-I color	[ucd=phot.mag]
#Column	B-V	(F6.3)	[0.06/2.23]? B-V color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	B-R	(F6.3)	[0.26/3.97]? B-R color	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	B-I	(F6.3)	[0.43/5.87]? B-I color	[ucd=phot.color;em.opt.B;em.opt.I]
#Column	V-R	(F6.3)	[0.07/4.01]? V-R color	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F6.3)	[0.24/6.84]? V-I color	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	R-I	(F6.3)	[0.09/2.84]? R-I color	[ucd=phot.color;em.opt.R;em.opt.I]
WOCS;Xpos;Ypos;RAJ2000;DEJ2000;Umag;Bmag;Vmag;Rmag;Imag;NU;NB;NV;NR;NI;U-B;U-V;U-R;U-I;B-V;B-R;B-I;V-R;V-I;R-I
  1024;3209.772;3188.420;21 46 35.65;+65 54 26.7;13.227;13.121;12.518;12.166;11.791; 7; 9; 6; 6; 9; 0.105; 0.708; 1.061; 1.435; 0.603; 0.956; 1.330; 0.353; 0.727; 0.374
  2016;1497.103;3024.326;21 44 36.49;+65 53 29.6;13.856;13.469;12.523;11.918;11.313; 8;11; 6; 8; 4; 0.387; 1.332; 1.938; 2.542; 0.946; 1.551; 2.156; 0.606; 1.210; 0.604
  1015;2927.779;1711.266;21 46 13.98;+65 44 00.9;14.748;13.764;12.538;11.861;11.228; 6; 7; 7; 5; 4; 0.984; 2.210; 2.887; 3.520; 1.226; 1.903; 2.536; 0.677; 1.310; 0.633
  1009;1917.416;1510.232;21 45 04.04;+65 42 43.0;16.668;14.388;12.572;11.524;10.364; 4; 8; 6; 2; 3; 2.280; 4.096; 5.144; 6.304; 1.816; 2.864; 4.024; 1.048; 2.208; 1.160
  1012;2747.973;2352.887;21 46 02.43;+65 48 35.3;13.708;13.421;12.620;12.171;11.789; 6;11; 7; 5; 8; 0.287; 1.087; 1.536; 1.918; 0.800; 1.249; 1.631; 0.449; 0.831; 0.382
  1737;4083.416;3536.216;21 47 37.01;+65 56 46.1;      ;14.506;12.676;      ;10.789; 0; 3; 1; 0; 1;      ;      ;      ;      ; 1.830;      ; 3.716;      ; 1.887;
  2019;1177.400;1099.351;21 44 12.64;+65 39 52.4;14.963;13.962;12.718;11.998;11.325; 4; 8; 6; 3; 5; 1.001; 2.246; 2.965; 3.639; 1.244; 1.963; 2.637; 0.719; 1.393; 0.674
  2732; 383.121; 589.577;21 43 17.60;+65 36 18.6;13.428;13.284;12.719;12.336;11.981; 6; 8; 3; 5; 6; 0.144; 0.709; 1.092; 1.447; 0.565; 0.948; 1.303; 0.383; 0.738; 0.355
  1004;2150.945;2213.442;21 45 20.95;+65 47 40.5;15.638;14.202;12.724;11.943;11.190; 5; 6; 6; 5; 4; 1.437; 2.914; 3.695; 4.448; 1.478; 2.259; 3.011; 0.781; 1.533; 0.752
  2010;1984.612;2719.343;21 45 10.00;+65 51 16.9;16.464;14.445;12.731;11.770;10.931; 3; 8; 6; 4; 5; 2.018; 3.733; 4.693; 5.533; 1.715; 2.675; 3.515; 0.960; 1.800; 0.840
  1729; 482.470; 727.562;21 43 24.52;+65 37 17.0;13.155;13.027;12.735;12.535;12.356; 7; 9; 7; 8; 7; 0.128; 0.420; 0.620; 0.799; 0.292; 0.491; 0.671; 0.200; 0.379; 0.179
  1008;2440.280;1832.600;21 45 40.49;+65 44 56.4;16.266;14.393;12.750;11.865;11.038; 3; 9; 7; 6; 4; 1.873; 3.515; 4.401; 5.227; 1.642; 2.528; 3.354; 0.886; 1.712; 0.826
  2008;1627.957;2426.922;21 44 44.98;+65 49 14.8;16.398;14.448;12.788;11.850;11.024; 4; 9; 8; 5; 2; 1.950; 3.610; 4.548; 5.374; 1.660; 2.598; 3.424; 0.938; 1.764; 0.826
  4027; 173.559;1903.743;21 43 03.95;+65 45 38.9;13.804;13.556;12.810;12.378;11.878; 8; 8; 6; 5; 7; 0.248; 0.994; 1.426; 1.926; 0.746; 1.177; 1.678; 0.431; 0.932; 0.501
  2729; 778.997;3655.714;21 43 47.11;+65 58 01.6;14.646;13.869;12.812;12.206;11.682; 6; 9; 7; 5; 6; 0.777; 1.835; 2.441; 2.964; 1.058; 1.663; 2.187; 0.606; 1.129; 0.523
  2022;3049.837;3097.884;21 46 24.41;+65 53 49.6;13.589;13.489;12.834;12.446;11.999; 6;11; 6; 8; 6; 0.100; 0.756; 1.144; 1.591; 0.655; 1.043; 1.491; 0.388; 0.835; 0.447
  3019;1474.724; 847.450;21 44 32.88;+65 38 03.6;13.706;13.562;12.897;12.508;12.107; 5; 9; 6; 6; 6; 0.145; 0.810; 1.199; 1.599; 0.665; 1.054; 1.454; 0.389; 0.789; 0.400
  3729;2765.128; 203.763;21 46 00.74;+65 33 21.3;13.648;13.567;12.899;12.511;12.138; 5; 9; 5; 5; 5; 0.081; 0.750; 1.137; 1.510; 0.668; 1.056; 1.429; 0.388; 0.761; 0.373
  2009;1791.803;1491.406;21 44 55.35;+65 42 35.8;13.554;13.320;12.917;12.733;12.470; 5; 5; 5; 5; 5; 0.234; 0.637; 0.821; 1.084; 0.403; 0.587; 0.850; 0.184; 0.447; 0.263
  3021;1886.197;3458.213;21 45 03.97;+65 56 31.7;17.042;14.896;12.917;11.597;10.161; 5;10; 5; 7; 2; 2.145; 4.125; 5.444; 6.880; 1.979; 3.299; 4.735; 1.320; 2.755; 1.436
  1001;1999.224;2064.807;21 45 10.29;+65 46 38.4;13.672;13.578;12.926;12.552;12.203; 8; 9; 6; 5; 6; 0.094; 0.746; 1.120; 1.469; 0.652; 1.026; 1.375; 0.374; 0.723; 0.349
  1738;4033.986;3760.621;21 47 33.98;+65 58 22.2;14.872;14.120;12.944;12.300;11.623; 4; 9; 4; 4; 8; 0.751; 1.928; 2.572; 3.249; 1.176; 1.821; 2.498; 0.645; 1.322; 0.677
  3010;2136.106;2699.391;21 45 20.48;+65 51 07.3;14.142;13.805;12.969;12.506;12.077; 8;11; 7; 4; 6; 0.337; 1.173; 1.635; 2.065; 0.836; 1.298; 1.728; 0.463; 0.893; 0.430
  2012;2695.517;1666.413;21 45 57.89;+65 43 43.8;13.956;13.739;12.981;12.602;12.200; 5;10; 6; 5; 6; 0.217; 0.975; 1.355; 1.756; 0.758; 1.137; 1.539; 0.379; 0.781; 0.402
  4729; 502.241;3374.491;21 43 27.66;+65 56 03.2;15.435;14.219;13.013;12.299;11.720; 5; 6; 6; 5; 6; 1.217; 2.423; 3.136; 3.716; 1.206; 1.919; 2.499; 0.713; 1.293; 0.580
  3732;1195.757;4090.974;21 44 16.50;+66 01 04.6;13.672;13.599;13.039;12.705;12.350; 5; 7; 6; 3; 6; 0.074; 0.633; 0.967; 1.322; 0.559; 0.893; 1.248; 0.334; 0.689; 0.355
  2024; 585.436;1234.788;21 43 31.95;+65 40 52.7;14.027;13.774;13.063;12.629;12.247; 4; 7; 5; 9; 7; 0.253; 0.964; 1.398; 1.781; 0.711; 1.145; 1.528; 0.434; 0.817; 0.382
  3007;2370.072;1838.274;21 45 35.65;+65 44 59.4;16.479;14.709;13.096;12.231;11.413; 3; 8; 7; 6; 6; 1.771; 3.383; 4.249; 5.066; 1.612; 2.478; 3.296; 0.866; 1.683; 0.818
  3026;2200.759; 282.434;21 45 22.16;+65 33 58.8;14.230;13.955;13.123;12.633;12.152; 5;11; 7; 4; 5; 0.275; 1.106; 1.597; 2.078; 0.831; 1.322; 1.803; 0.491; 0.972; 0.481
  3016;1987.601;3157.035;21 45 10.69;+65 54 23.0;17.503;15.155;13.133;11.839;10.507; 3; 7; 5; 5; 2; 2.348; 4.370; 5.664; 6.996; 2.022; 3.316; 4.648; 1.294; 2.626; 1.332
  3730;3133.714; 346.892;21 46 26.19;+65 34 19.1;13.880;13.724;13.145;12.806;12.436; 6; 7; 5; 5; 6; 0.155; 0.735; 1.073; 1.443; 0.580; 0.918; 1.288; 0.338; 0.708; 0.370
  1023;1448.762;3500.947;21 44 33.58;+65 56 52.5;13.905;13.770;13.151;12.703;12.309; 7;10; 8; 7; 6; 0.135; 0.754; 1.202; 1.596; 0.619; 1.067; 1.461; 0.447; 0.842; 0.394
  3009;2092.251;2659.758;21 45 17.39;+65 50 50.8;16.715;14.809;13.152;12.263;11.414; 2;10; 9; 5; 4; 1.905; 3.563; 4.452; 5.301; 1.657; 2.546; 3.395; 0.889; 1.738; 0.849
  1020; 703.617;2489.762;21 43 41.01;+65 49 46.2;15.819;14.590;13.213;12.432;11.718; 5; 9; 7; 5; 5; 1.229; 2.606; 3.387; 4.102; 1.377; 2.158; 2.872; 0.781; 1.496; 0.714
  4732; 696.299; 262.587;21 43 38.90;+65 33 58.2;14.251;13.981;13.226;12.764;12.372; 4; 5; 5; 2; 7; 0.270; 1.024; 1.486; 1.879; 0.755; 1.216; 1.609; 0.462; 0.855; 0.393
  4016;3078.266;1874.308;21 46 24.60;+65 45 08.9;14.077;13.886;13.263;12.888;12.473; 6; 9; 7; 7; 8; 0.191; 0.814; 1.189; 1.603; 0.623; 0.998; 1.413; 0.375; 0.789; 0.414
  4019; 743.960;1646.194;21 43 43.18;+65 43 47.2;14.084;13.940;13.283;12.898;12.452; 5; 9; 8; 4; 7; 0.144; 0.801; 1.186; 1.632; 0.658; 1.042; 1.488; 0.385; 0.830; 0.445
  1014;2838.614;2488.317;21 46 08.89;+65 49 32.1;17.442;15.202;13.285;12.094;10.948; 3;10; 7; 5; 6; 2.240; 4.156; 5.348; 6.494; 1.916; 3.108; 4.254; 1.191; 2.338; 1.147
  4730;3053.543; 307.915;21 46 20.64;+65 34 03.3;14.386;14.143;13.349;12.898;12.440; 7; 8; 5; 5; 5; 0.243; 1.037; 1.488; 1.946; 0.794; 1.245; 1.703; 0.451; 0.909; 0.458
  4026;3039.607; 583.043;21 46 20.08;+65 36 00.3;14.158;14.038;13.352;12.953;12.541; 7;10; 5; 4; 5; 0.120; 0.806; 1.205; 1.618; 0.686; 1.085; 1.498; 0.399; 0.812; 0.412
  3025;3274.291; 977.600;21 46 36.77;+65 38 46.0;16.701;14.987;13.378;12.468;11.631; 3; 8; 8; 8; 5; 1.713; 3.323; 4.233; 5.070; 1.609; 2.519; 3.356; 0.910; 1.747; 0.837
  5026;1397.849; 382.733;21 44 27.17;+65 34 46.2;14.166;14.094;13.396;12.986;12.567; 6; 8; 7; 5; 5; 0.073; 0.771; 1.180; 1.599; 0.698; 1.108; 1.526; 0.410; 0.828; 0.419
  1018;2151.231; 819.766;21 45 19.37;+65 37 47.7;14.471;14.200;13.405;12.999;12.549; 6; 8; 7; 4; 5; 0.271; 1.066; 1.472; 1.923; 0.795; 1.201; 1.652; 0.406; 0.856; 0.450
  3012;1374.072;1615.307;21 44 26.65;+65 43 31.0;14.290;14.176;13.408;12.943;12.491; 7;10; 7; 5; 6; 0.114; 0.882; 1.347; 1.799; 0.768; 1.233; 1.686; 0.464; 0.917; 0.453
  1005;1815.880;2313.333;21 44 57.87;+65 48 25.3;14.165;14.094;13.449;13.090;12.686; 5; 9; 8; 6;10; 0.071; 0.716; 1.075; 1.479; 0.645; 1.004; 1.408; 0.359; 0.763; 0.404
  2003;1862.206;1965.015;21 45 00.71;+65 45 56.8;16.087;14.828;13.451;12.701;11.998; 5; 9;10; 6; 6; 1.259; 2.636; 3.387; 4.089; 1.377; 2.127; 2.829; 0.751; 1.453; 0.702
  2004;2026.153;2332.553;21 45 12.45;+65 48 32.1;14.308;14.176;13.456;13.046;12.643; 8; 7; 8; 6; 6; 0.132; 0.852; 1.262; 1.665; 0.719; 1.130; 1.533; 0.410; 0.814; 0.403
  2018; 803.921;2295.066;21 43 47.81;+65 48 23.0;17.709;15.403;13.462;12.156;10.792; 2; 9; 7; 5; 2; 2.306; 4.247; 5.553; 6.917; 1.941; 3.247; 4.611; 1.306; 2.670; 1.364
  3004;2276.580;2047.999;21 45 29.44;+65 46 29.3;16.600;14.998;13.466;12.634;11.863; 4; 5; 5; 5; 6; 1.602; 3.134; 3.965; 4.737; 1.531; 2.363; 3.135; 0.832; 1.603; 0.771
  5729;2133.726;  81.235;21 45 17.34;+65 32 33.6;14.590;14.381;13.482;13.037;12.563; 3; 5; 4; 4; 6; 0.209; 1.109; 1.553; 2.027; 0.900; 1.344; 1.818; 0.444; 0.919; 0.474
  4010;1519.484;1590.301;21 44 36.67;+65 43 19.5;15.977;14.867;13.495;12.721;11.970; 5; 6; 8; 5; 6; 1.110; 2.481; 3.256; 4.007; 1.371; 2.146; 2.897; 0.774; 1.525; 0.751
  6729; 603.008; 655.252;21 43 32.76;+65 36 45.8;14.587;14.297;13.514;13.042;12.639; 4; 9; 8; 6; 7; 0.290; 1.074; 1.546; 1.949; 0.783; 1.255; 1.658; 0.472; 0.875; 0.403
