#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:43:10 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:43:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/152/129/table2&-order=I&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=Rmag&-out=e_Rmag&-out=pmRA&-out=pmDE&-out=RV&-out=Mm&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520129
#Name: J/AJ/152/129
#Title: VR photometry for 914 stars in NGC 188 (Chen+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/129	    IVOID of underlying data collection
#INFO	creator=Chen X.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..129C	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/129	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520129	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-02-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_129_table2:
#Name: J/AJ/152/129/table2
#Title: Information for stars in the open cluster NGC 188 field
#Column	RAJ2000	(F8.4)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F7.4)	[11.8/19.2] Johnson V band magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	[0.0025/0.22] Uncertainty in Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Rmag	(F7.4)	[11.37/18.31] Cousins R band magnitude (1)	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(F7.4)	[0.0023/0.22] Uncertainty in Rmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	pmRA	(F6.2)	[-28.2/48.3] Proper motion along RA (2)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F6.2)	[-27/50.8] Proper motion along DE (2)	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	[-306.7/45.4]? Radial velocity (3)	[ucd=phys.veloc;pos.heliocentric]
#Column	Mm	(I1)	[0/1] Membership code (1=cluster member, or 0=not a cluster member)	[ucd=meta.code.member]
RAJ2000;DEJ2000;Vmag;e_Vmag;Rmag;e_Rmag;pmRA;pmDE;RV;Mm
012.8508;+85.3009;13.3089; 0.0087;12.7879; 0.0086; -2.74;  1.45; -20.63;0
010.1906;+85.2492;13.2607; 0.0052;12.8317; 0.0050;  7.22;  7.72; -10.29;0
012.1212;+85.3424;13.2372; 0.0034;12.8857; 0.0043;-13.66;  2.85; -44.41;0
011.6151;+85.1740;13.2827; 0.0046;12.8933; 0.0041; -2.09; -0.79; -18.24;0
012.7358;+85.2929;13.5005; 0.0192;13.0886; 0.0267;  9.84;-14.56;  45.32;0
012.3666;+85.2119;13.7231; 0.0064;12.9649; 0.0046;  0.00;  0.00;       ;0
010.5862;+85.2610;13.3558; 0.0041;13.0107; 0.0051; -5.24; -0.44; -42.06;1
011.4040;+85.2524;13.6697; 0.0079;13.0466; 0.0079; -7.28;  1.15; -43.21;0
011.0749;+85.2674;13.4625; 0.0041;13.0533; 0.0040;-17.80;  7.07; -56.14;0
013.3438;+85.1479;16.9238; 0.0560;16.4703; 0.0444;  0.00;  0.00;       ;0
010.4562;+85.0917;13.4975; 0.0092;13.0687; 0.0090; 27.75;  1.85; -23.79;0
012.2460;+85.2082;13.6675; 0.0062;13.0688; 0.0043; -5.38; -0.73; -41.30;1
012.7329;+85.2938;15.8170; 0.0119;15.1983; 0.0129;  4.97; -5.17;       ;0
010.6474;+85.2238;13.6309; 0.0057;13.0856; 0.0047; -5.51; -0.46; -41.35;1
012.2640;+85.2570;13.4890; 0.0048;13.1896; 0.0039; -5.88; -0.87; -41.51;1
012.6828;+85.3519;13.6407; 0.0047;13.2098; 0.0056; -2.93;  5.67; -29.35;0
013.1077;+85.2577;13.6443; 0.0056;13.2793; 0.0054; -4.70; -0.24; -41.49;1
011.6406;+85.2429;13.9068; 0.0061;13.3069; 0.0046; -5.98; -0.63; -42.27;1
010.5958;+85.3427;13.9287; 0.0060;13.3332; 0.0062; -5.06; -0.41; -43.56;1
011.1233;+85.2527;14.0137; 0.0057;13.3947; 0.0050;  6.52; 17.35; -64.84;0
011.7249;+85.2437;14.3773; 0.0090;14.0737; 0.0121;  0.00;  0.00; -43.96;0
011.6251;+85.1978;14.0745; 0.0074;13.4871; 0.0048; -4.97; -0.02; -43.19;1
011.3442;+85.2106;14.0588; 0.0060;13.4940; 0.0051; -5.54; -0.57; -42.53;1
011.3265;+85.3222;13.8593; 0.0046;13.5473; 0.0053; -4.64; -0.10; -41.07;1
011.8841;+85.1841;14.1034; 0.0073;13.5254; 0.0061; -5.34; -0.48; -43.40;1
011.4063;+85.1272;14.0963; 0.0105;13.5431; 0.0076; -0.36;  2.38;-306.61;0
012.0834;+85.2242;14.1990; 0.0044;14.0066; 0.0069;  0.00;  0.00;       ;0
011.7201;+85.2444;14.9401; 0.0081;14.5208; 0.0085;-10.47;  3.00; -42.48;0
011.3303;+85.2581;13.9071; 0.0064;13.5826; 0.0056; -5.36; -0.86; -26.05;0
012.0767;+85.2247;15.1243; 0.0080;14.7302; 0.0091;  0.00;  0.00; -51.50;0
011.4564;+85.2344;14.1922; 0.0068;13.6014; 0.0047; -5.59; -0.47; -41.80;1
012.5002;+85.3237;14.1679; 0.0060;13.7185; 0.0058; -4.63;  3.04; -20.06;0
011.9649;+85.2525;14.0363; 0.0095;13.7377; 0.0085; -5.86;  0.15; -41.49;1
011.3749;+85.2045;15.0723; 0.0768;14.6768; 0.0536; -2.86;  2.13; -41.74;0
010.5037;+85.2736;14.3774; 0.0071;13.7829; 0.0068; -5.15; -0.41; -43.20;1
012.3874;+85.2546;14.3152; 0.0065;13.7692; 0.0058; -5.71; -0.39; -43.04;1
011.7660;+85.2577;14.3151; 0.0073;13.7911; 0.0055; -7.08; -0.08;  11.98;0
010.5275;+85.2798;14.1835; 0.0068;13.8237; 0.0069; -5.32; -0.17; -42.04;1
012.5251;+85.2466;14.4258; 0.0088;13.8483; 0.0058; -5.71;  0.02; -43.40;1
011.4865;+85.2916;14.1727; 0.0062;13.8479; 0.0116; -5.25; -0.39; -41.90;1
011.3620;+85.2049;14.9808; 0.0239;14.5853; 0.0322; -2.19; -1.36; -42.66;0
013.9176;+85.2801;14.3259; 0.0088;13.9378; 0.0077; 24.67;  0.65;  12.55;0
010.9698;+85.2181;14.5316; 0.0095;13.8977; 0.0073; -1.55; -0.62;       ;0
012.9680;+85.1887;14.4724; 0.0119;13.9203; 0.0152; -5.39; -0.25; -41.97;1
012.6698;+85.2240;14.3126; 0.0092;13.9375; 0.0063; 27.08; 11.79;  41.24;0
012.9038;+85.2289;14.4915; 0.0096;13.9448; 0.0064; -5.33; -0.66; -41.62;1
011.9317;+85.1225;14.5387; 0.0152;13.9676; 0.0074; -4.68;  0.50; -43.06;1
013.4512;+85.1797;14.5036; 0.0144;14.0496; 0.0091; 11.75; -1.23; -51.07;0
012.1959;+85.2908;15.2383; 0.0097;14.7977; 0.0126;  0.00;  0.00; -42.21;0
012.1906;+85.2911;15.1507; 0.0096;14.7602; 0.0097;  0.00;  0.00;       ;0
011.4574;+85.1843;15.0449; 0.0130;14.4873; 0.0113; -4.86; -1.31; -42.93;1
013.7974;+85.3809;14.7127; 0.0086;14.0470; 0.0079;  0.03;-13.17;       ;0
011.3716;+85.2037;15.8421; 0.0186;15.4335; 0.0127; -7.37; -4.26;       ;0
012.2383;+85.1599;16.5450; 0.0566;16.0625; 0.0769; -8.71;  2.36;       ;0
011.5827;+85.3837;14.5637; 0.0082;14.0990; 0.0075; -4.30;  1.20; -48.84;0
010.4771;+85.1554;14.5099; 0.0099;14.1145; 0.0090;  0.75;  1.95; -21.25;0
011.6575;+85.2079;14.4987; 0.0097;14.1023; 0.0064; -5.46; -0.54; -42.01;1
013.4574;+85.2144;14.4646; 0.0105;14.1439; 0.0079;  2.10;  2.27; -30.60;0
011.5809;+85.3273;14.6886; 0.0086;14.1449; 0.0077; -8.34;  1.83;-104.96;0
011.4492;+85.1850;15.4469; 0.0130;15.0513; 0.0105; -6.36;  0.27; -42.90;0
011.9374;+85.2392;14.6810; 0.0102;14.1138; 0.0068; -5.75; -0.94; -41.74;1
011.7148;+85.2428;15.6980; 0.0209;15.2657; 0.0159; -6.59;  1.63; -72.02;0
010.4121;+85.2980;15.1115; 0.0154;14.7023; 0.0316;-19.05;-15.21; -42.56;0
011.7992;+85.2254;14.5057; 0.0086;14.1473; 0.0071; -5.40; -0.48; -41.64;1
012.4866;+85.1669;14.5367; 0.0120;14.1750; 0.0095;  7.95; -2.72;  -9.14;0
010.4175;+85.2987;15.6112; 0.0131;15.0865; 0.0118; -4.63; 12.58;       ;0
012.7978;+85.2390;14.5930; 0.0096;14.1736; 0.0072; -5.38; -2.89; -75.41;0
011.8060;+85.2777;14.5543; 0.0085;14.1907; 0.0067; -5.66; -0.59; -41.78;1
013.4634;+85.2903;14.9187; 0.0083;14.4628; 0.0086; -2.39;  0.38;       ;0
012.2703;+85.1160;14.7310; 0.0176;14.3020; 0.0089; -3.79; -0.34; -51.57;0
011.2908;+85.1248;14.8597; 0.0136;14.2510; 0.0094; -1.27;  1.09;       ;0
012.3968;+85.1796;14.7988; 0.0120;14.2459; 0.0084; -5.40; -0.49; -42.69;1
011.7688;+85.2760;14.6756; 0.0113;14.2539; 0.0078; -2.47;  0.47; -42.22;0
011.9624;+85.2248;14.6580; 0.0107;14.2572; 0.0075; -5.52; -0.57; -43.38;1
012.0770;+85.2463;14.9235; 0.0111;14.3857; 0.0081; -4.99; -1.11; -40.16;1
011.9720;+85.2506;14.8423; 0.0319;14.4331; 0.0381; -6.62;  0.47; -51.62;0
011.5770;+85.1595;14.7079; 0.0110;14.2957; 0.0085; 13.59;  7.53;       ;0
013.0373;+85.2887;15.2057; 0.0151;14.2925; 0.0099; 19.86; 25.81;       ;0
013.4010;+85.2647;15.0300; 0.0137;14.6313; 0.0146; -2.93;  0.08; -42.27;0
013.5751;+85.3048;14.7527; 0.0106;14.3552; 0.0077;  1.07; -1.54;  12.43;0
013.1654;+85.3622;14.8220; 0.0178;14.3766; 0.0124;  0.00;  0.00;       ;0
013.1567;+85.1763;14.7682; 0.0156;14.3762; 0.0090; -5.02; -0.16; -40.46;1
012.5234;+85.1651;14.7569; 0.0125;14.3718; 0.0088; -5.17; -0.30; -42.38;1
012.3324;+85.3854;14.7509; 0.0089;14.4221; 0.0092; -1.88;  2.35; -26.52;0
013.3867;+85.1907;14.9591; 0.0171;14.3782; 0.0097; -1.41;  3.30;       ;0
012.8227;+85.1378;14.9458; 0.0159;14.3973; 0.0108; -5.06; -0.17; -42.66;1
010.9234;+85.2215;14.6911; 0.0114;14.3896; 0.0102; -5.89; -0.87; -40.71;1
012.4450;+85.3421;14.8154; 0.0094;14.4215; 0.0079; -4.79; -0.48; -40.88;1
011.3557;+85.1773;14.9676; 0.0134;14.4023; 0.0091; -5.39; -0.62; -43.45;1
011.5117;+85.1248;15.1366; 0.0164;14.3896; 0.0094; -3.06;  6.83;  29.44;0
011.1377;+85.3071;15.9079; 0.0222;15.0898; 0.0199;  2.98;  6.88;       ;0
013.2687;+85.2188;14.8550; 0.0109;14.4414; 0.0089; -5.11; -0.56; -42.86;1
011.0533;+85.2342;14.7929; 0.0096;14.3975; 0.0078; -2.70;  3.57; -50.90;0
011.1321;+85.3065;15.6316; 0.0127;15.2090; 0.0126;  0.00;  0.00; -30.79;0
012.2273;+85.2102;14.7213; 0.0122;14.4122; 0.0095; -5.62; -0.16; -41.14;1
011.4878;+85.2065;14.8786; 0.0117;14.4736; 0.0075; -4.74; -0.57; -43.17;1
012.0591;+85.2468;14.9909; 0.0110;14.5837; 0.0086; -6.93;  0.02; -41.61;0
011.6118;+85.1966;15.0679; 0.0119;14.6634; 0.0094; -5.98; -1.45; -41.90;0
013.4788;+85.2901;15.5329; 0.0148;15.1472; 0.0112; -4.41; -0.22; -42.45;1
011.1513;+85.3528;14.8775; 0.0112;14.4705; 0.0084; -5.48;  0.05; -42.69;1
012.6571;+85.1974;14.8567; 0.0120;14.4453; 0.0089; -5.19; -0.30; -39.68;1
013.3917;+85.2653;16.6146; 0.0322;16.1467; 0.0370; -9.83; 24.25;       ;0
011.6952;+85.3739;14.9463; 0.0104;14.4738; 0.0091; -4.88;  0.04; -42.46;1
011.8517;+85.3305;14.9305; 0.0180;14.4940; 0.0202; -4.75;  0.01; -42.91;1
010.8245;+85.3840;14.9140; 0.0104;14.4445; 0.0123; -5.12; -0.20; -42.55;1
011.0989;+85.3284;14.8313; 0.0110;14.5134; 0.0100; -5.41;  1.50; -41.37;0
010.8239;+85.2903;14.9341; 0.0109;14.4770; 0.0081; -5.54; -0.71; -43.54;1
013.1061;+85.3243;14.9230; 0.0112;14.5137; 0.0091; -5.86; -1.09; -42.85;1
010.8821;+85.2994;14.9258; 0.0100;14.4917; 0.0083; -5.34; -0.20; -42.31;1
012.7035;+85.3042;14.8973; 0.0094;14.5007; 0.0091;  0.90; -2.30; -23.56;0
010.9702;+85.3098;14.9187; 0.0101;14.4949; 0.0086; -5.17;  0.39; -42.24;1
012.8371;+85.3782;14.9052; 0.0107;14.4890; 0.0108; -5.27; -0.64; -42.22;1
011.3854;+85.2939;14.9508; 0.0098;14.5257; 0.0077; -5.51; -0.86; -42.61;1
013.0065;+85.2599;14.9641; 0.0105;14.5139; 0.0092; -2.24;  0.65; -41.09;0
011.1526;+85.2396;14.9113; 0.0111;14.4827; 0.0086; -5.39; -0.44; -43.08;1
010.4603;+85.1635;15.0066; 0.0126;14.5264; 0.0086; -4.54;  0.33; -42.67;1
011.2784;+85.2346;15.0773; 0.0118;14.5832; 0.0092; -5.20; -0.61; -42.61;1
011.2059;+85.1085;15.0198; 0.0156;14.5555; 0.0109; -2.18;  2.21;       ;0
013.0687;+85.1976;15.2733; 0.0142;14.4989; 0.0119;  9.26;  1.61;       ;0
012.3516;+85.2647;15.3001; 0.0108;14.4818; 0.0086;  6.52;-17.72;       ;0
010.9025;+85.2198;15.0890; 0.0138;14.5156; 0.0090; 14.58; 37.32;       ;0
011.9426;+85.2145;15.0235; 0.0112;14.4949; 0.0081; -5.62; -0.57; -42.54;1
011.4191;+85.2340;14.9182; 0.0113;14.4860; 0.0083; -5.64; -0.62; -41.35;1
012.4512;+85.2413;14.9263; 0.0121;14.5087; 0.0088; -5.77; -0.25; -42.78;1
011.4821;+85.2590;14.9558; 0.0110;14.5250; 0.0087; -5.52; -0.39; -42.83;1
013.1816;+85.1853;14.9426; 0.0156;14.5357; 0.0094; -4.85; -0.25; -43.42;1
012.0812;+85.3114;15.0111; 0.0104;14.5446; 0.0079; -5.33; -0.52; -43.04;1
011.1692;+85.2559;15.0055; 0.0108;14.5431; 0.0080; -5.64; -0.64; -42.47;1
011.0902;+85.3054;15.0226; 0.0118;14.6158; 0.0106; -5.95; -0.42; -42.68;1
013.7292;+85.2670;14.9378; 0.0146;14.5979; 0.0104;  1.26;  3.83;   0.84;0
011.9079;+85.2538;14.9523; 0.0114;14.5096; 0.0076; -5.79; -0.41; -43.03;1
012.3221;+85.2852;14.9429; 0.0111;14.5358; 0.0081; -5.66; -0.38; -41.76;1
010.3514;+85.3134;14.9843; 0.0124;14.5551; 0.0104;  4.66;  2.58; -48.01;0
012.2828;+85.1173;15.1211; 0.0177;14.6135; 0.0105; -4.54;  1.38; -41.84;0
012.4724;+85.2950;15.0076; 0.0108;14.5873; 0.0085; -5.45; -0.76; -42.90;1
013.1693;+85.3563;14.9677; 0.0099;14.5668; 0.0094; -5.09; -0.73; -43.39;1
011.2177;+85.1737;15.1040; 0.0139;14.5568; 0.0096; -5.42; -0.88; -41.98;1
011.9304;+85.2077;14.9724; 0.0121;14.5576; 0.0094; -5.35; -0.38; -42.15;1
013.0586;+85.3437;15.1359; 0.0122;14.6002; 0.0085; -5.15; -0.63; -42.01;1
012.1284;+85.2608;14.9608; 0.0109;14.5539; 0.0079; -5.59; -0.41; -40.45;1
012.8875;+85.1663;15.0402; 0.0155;14.5745; 0.0113; -5.19; -0.35; -42.62;1
011.8318;+85.2933;14.9826; 0.0111;14.5678; 0.0083; -5.82; -0.28; -42.50;1
011.3160;+85.0961;15.0178; 0.0092;14.6120; 0.0118; -4.97;  0.22; -41.95;1
011.6945;+85.3508;15.0386; 0.0106;14.6228; 0.0093; -5.31;  0.08; -41.97;1
012.1543;+85.2217;15.0816; 0.0120;14.5770; 0.0089; -5.81; -0.87; -37.57;0
011.2505;+85.2654;14.9997; 0.0113;14.5781; 0.0073; -5.07; -0.38; -41.92;1
013.2379;+85.1620;15.0095; 0.0174;14.6128; 0.0108; -5.10; -0.38; -41.61;1
011.8115;+85.2640;14.9992; 0.0125;14.5963; 0.0079; -5.72; -0.59; -41.41;1
011.5584;+85.3363;15.2012; 0.0241;14.8091; 0.0293; -6.28;  0.85; -40.11;0
011.3970;+85.2845;15.0273; 0.0118;14.6096; 0.0085; -4.92; -0.45; -40.16;1
011.4334;+85.3104;15.0434; 0.0121;14.6384; 0.0107; -5.12; -1.16; -42.04;1
011.7083;+85.2851;15.1519; 0.0117;14.6038; 0.0088; -5.13; -0.83; -42.39;1
011.9219;+85.2294;14.9742; 0.0130;14.5744; 0.0077; -5.69; -0.84; -41.84;1
011.0125;+85.1951;15.1570; 0.0139;14.5867; 0.0089; -5.17; -1.12; -43.02;1
012.2190;+85.2024;14.9728; 0.0129;14.5747; 0.0089; -5.47; -0.58; -41.35;1
012.1370;+85.3868;15.0470; 0.0113;14.6310; 0.0096; -4.64;  0.02; -42.83;1
013.0664;+85.2290;15.0188; 0.0125;14.6175; 0.0097; -5.14;  0.00; -41.58;1
013.4178;+85.3146;15.1834; 0.0151;14.6666; 0.0137;  6.67;  3.59;       ;0
012.3102;+85.1418;14.9556; 0.0162;14.6070; 0.0101; -2.66;  1.57; -13.65;0
013.5963;+85.2887;15.1920; 0.0098;14.6512; 0.0094;-11.09;  1.42;       ;0
013.1623;+85.1603;15.1290; 0.0195;14.6440; 0.0106; -5.11; -0.42; -43.07;1
012.8688;+85.2311;15.0127; 0.0113;14.6082; 0.0089; -5.27; -0.05; -42.63;1
013.1595;+85.1836;15.0221; 0.0160;14.6332; 0.0100; -5.15; -0.37; -42.08;1
011.5963;+85.2871;15.0209; 0.0106;14.6680; 0.0119; -5.29; -0.43; -43.28;1
012.7497;+85.3527;15.0644; 0.0106;14.6692; 0.0105; -4.79; -0.29; -41.20;1
012.3666;+85.1903;15.0140; 0.0133;14.6291; 0.0102; -5.41; -0.53; -41.81;1
010.7919;+85.2067;15.0432; 0.0130;14.6413; 0.0095; -5.17; -0.87; -43.12;1
011.3238;+85.1634;15.0678; 0.0134;14.6630; 0.0103; -5.44; -0.60; -42.74;1
012.4039;+85.2775;15.0212; 0.0118;14.6615; 0.0085; -5.43; -0.19; -42.38;1
013.5002;+85.1524;15.0889; 0.0169;14.7046; 0.0125; -0.06;  8.32; -13.71;0
012.8272;+85.2957;15.2003; 0.0104;14.6798; 0.0094; -4.16;  2.97;       ;0
011.1914;+85.2567;15.1026; 0.0116;14.6864; 0.0088; -4.83; -0.43; -42.18;1
011.2475;+85.1974;15.0785; 0.0136;14.6876; 0.0098; -5.46; -0.83; -42.07;1
013.3892;+85.2641;17.0267; 0.0488;16.6296; 0.0498; -6.11;  1.79;       ;0
011.6691;+85.2445;15.0519; 0.0130;14.6487; 0.0090; -5.68; -0.14; -43.79;1
011.5140;+85.2824;15.0883; 0.0112;14.6865; 0.0089; -5.27; -0.85; -42.40;1
011.1149;+85.2364;15.0973; 0.0117;14.6786; 0.0092; -5.46; -0.37; -41.86;1
012.7937;+85.2414;15.0745; 0.0123;14.6808; 0.0095; -5.17;  0.37; -41.97;1
010.6687;+85.2804;15.3220; 0.0139;14.7386; 0.0100; -5.10; -0.51; -42.62;1
011.4642;+85.3580;15.1018; 0.0112;14.7032; 0.0105; -5.01;  0.05; -42.50;1
012.2525;+85.2736;15.0928; 0.0122;14.6975; 0.0093; -5.55; -0.30; -42.31;1
012.8159;+85.1633;15.2357; 0.0173;14.7014; 0.0119; -1.67; -3.10;  -5.93;0
011.5059;+85.3049;15.1019; 0.0128;14.6967; 0.0101; -5.37; -0.35; -42.08;1
011.3999;+85.2954;15.1775; 0.0113;14.7729; 0.0091; -4.67; -0.04; -42.55;1
011.1882;+85.2251;15.1026; 0.0127;14.7095; 0.0089; -5.59; -0.33; -41.96;1
011.9608;+85.2619;15.1546; 0.0201;14.7596; 0.0220; -0.60;  4.48; -41.94;0
010.8494;+85.3424;15.1384; 0.0217;14.7689; 0.0259; -4.91;  0.13; -32.22;0
011.6399;+85.1680;15.1923; 0.0132;14.7376; 0.0096;-10.10;  6.28;       ;0
011.9035;+85.2762;15.1660; 0.0129;14.7217; 0.0090; -5.72; -0.82; -44.87;1
