#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:38:48 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:38:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/374/504/table2&-order=I&-out=No&-out=Xpos&-out=Ypos&-out=Vmag&-out=e_Vmag&-out=B-V&-out=V-I&-out=U-B&-out=e_Imag&-out=e_Bmag&-out=e_Umag&-out=chi&-out=Sharp&-out=r&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33740504
#Name: J/A+A/374/504
#Title: UBVI photometry of NGC 7654 (Pandey+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/374/504	    IVOID of underlying data collection
#INFO	creator=Pandey	    First author or institution
#INFO	cites=bibcode:2001A&A...374..504P	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/374/504	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33740504	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-05-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_374_504_table2:
#Name: J/A+A/374/504/table2
#Title: UBVIc photometric data of the stars in the field of NGC 7654
#Column	No	(I6)	Identification number of the stars	[ucd=meta.id;meta.main]
#Column	Xpos	(F8.2)	Pixel coordinate (1)	[ucd=pos.frame]
#Column	Ypos	(F8.2)	Pixel coordinate (1)	[ucd=pos.frame]
#Column	Vmag	(F6.3)	Magnitude in the V (Johnson) band	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Errors in the V (Johnson) band	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F7.3)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-I	(F6.3)	? V-I (Cousins) colour index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	U-B	(F6.3)	? U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_Imag	(F6.3)	? Errors in the I (Cousins) band	[ucd=stat.error;phot.mag;em.opt.I]
#Column	e_Bmag	(F6.3)	? Errors in the B (Johnson) band	[ucd=stat.error;phot.mag;em.opt.B]
#Column	e_Umag	(F6.3)	? Errors in the U (Johnson) band	[ucd=stat.error;phot.mag;em.opt.U]
#Column	chi	(F6.3)	{chi} parameter in the V (Johnson) band (3)	[ucd=stat.error]
#Column	Sharp	(F6.3)	Sharpness parameter in the V (Johnson) band (2)	[ucd=stat.fit.param]
#Column	r	(F9.3)	Radial distance of the stars from the cluster center (X=855, Y=755)	[ucd=phys.angSize]
#Column	_RA	(F9.5)	Position computed from a comparison with UCAC4 (Cat. I/322) ({sigma}=0.2'') (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position computed from a comparison with UCAC4 (Cat. I/322) ({sigma}=0.2'') (declination part)	[ucd=pos.eq.dec;meta.main]
No;Xpos;Ypos;Vmag;e_Vmag;B-V;V-I;U-B;e_Imag;e_Bmag;e_Umag;chi;Sharp;r;_RA;_DE
    87;  820.15;  791.13;18.266; 0.054;  1.269; 1.494; 0.580; 0.054; 0.035; 0.352; 0.510; 0.084;   50.202;351.16711;+61.58425
    88;  809.85;  732.25;17.320; 0.031;  1.161; 1.491; 0.188; 0.028; 0.024; 0.070; 0.660;-0.132;   50.559;351.17638;+61.55973
    89;  806.91;  772.93;17.621; 0.048;  1.093; 1.491; 0.558; 0.031; 0.028; 0.138; 0.820; 0.411;   51.324;351.17879;+61.57669
    90;  903.47;  737.83;14.281; 0.008;  0.622; 0.875; 0.385; 0.022; 0.015; 0.007; 1.450;-0.111;   51.422;351.09441;+61.56184
    91;  894.64;  722.18;19.048; 0.120;  1.102; 1.738;-2.719; 0.047; 0.061; 0.230; 0.580;-0.318;   51.456;351.10222;+61.55534
    92;  813.02;  784.93;19.206; 0.117;  1.246; 1.516;-0.050; 0.064; 0.085; 0.259; 0.470;-0.121;   51.559;351.17338;+61.58168
    93;  905.88;  766.98;14.974; 0.023;  0.532; 0.954; 0.447; 0.020; 0.018; 0.009; 2.820; 0.338;   52.268;351.09215;+61.57398
    94;  841.16;  704.48;17.825; 0.030;  0.691; 1.043; 0.218; 0.030; 0.019; 0.061; 0.400; 0.021;   52.379;351.14911;+61.54809
    95;  819.53;  715.50;19.918; 0.208;  1.503; 1.788;-0.289; 0.073; 0.127; 0.520; 0.410; 0.812;   53.087;351.16799;+61.55273
    96;  824.04;  711.78;19.362; 0.164;  0.932; 1.498;-0.171; 0.064; 0.061; 0.226; 0.610; 0.334;   53.162;351.16406;+61.55117
    97;  813.72;  721.21;19.609; 0.182;  0.797; 1.727;      ; 0.077; 0.068;      ; 0.500; 0.410;   53.346;351.17304;+61.55512
    98;  869.39;  703.55;19.020; 0.098;  1.481; 1.511;-0.037; 0.045; 0.085; 0.297; 0.470; 0.202;   53.427;351.12441;+61.54764
    99;  892.46;  716.70;19.351; 0.133;  0.857; 1.694; 0.002; 0.074; 0.077; 0.320; 0.450; 0.590;   53.576;351.10416;+61.55306
   100;  908.58;  752.53;19.846; 0.227;  1.570; 2.286;-0.859; 0.107; 0.177; 0.322; 0.420; 0.364;   53.633;351.08986;+61.56795
   101;  897.32;  788.62;17.608; 0.034;  1.725; 2.560; 0.640; 0.022; 0.027; 0.292; 0.500; 0.086;   54.050;351.09953;+61.58302
   102;  857.83;  809.02;17.340; 0.026;  1.061; 1.526; 0.742; 0.028; 0.016; 0.142; 0.580;-0.086;   54.096;351.13402;+61.59162
   103;  830.96;  706.45;14.641; 0.008;  0.611; 0.843; 0.412; 0.021; 0.016; 0.009; 1.090;-0.067;   54.176;351.15802;+61.54893
   104;  807.08;  780.32;17.299; 0.031;  1.030; 1.284; 0.807; 0.028; 0.023; 0.294; 0.720;-0.078;   54.199;351.17861;+61.57977
   105;  800.80;  754.09;19.536; 0.152;  1.736; 1.834;-0.661; 0.073; 0.137; 0.241; 0.430;-0.100;   54.206;351.18422;+61.56885
   106;  849.66;  700.93;19.452; 0.177;  1.540; 2.423;-0.273; 0.037; 0.098; 0.375; 0.560; 0.010;   54.335;351.14169;+61.54659
   107;  803.69;  773.52;18.730; 0.099;  1.164; 1.695; 0.621; 0.047; 0.054; 0.541; 0.510; 0.178;   54.551;351.18160;+61.57694
   108;  800.69;  747.66;17.523; 0.030;  1.244; 1.478; 0.483; 0.025; 0.022; 0.126; 0.550; 0.085;   54.801;351.18434;+61.56617
   109;  894.84;  793.30;15.598; 0.014;  0.868; 1.316; 0.345; 0.027; 0.022; 0.019; 1.240; 0.014;   55.267;351.10167;+61.58498
   110;  801.22;  768.71;19.941; 0.265;  0.943; 1.821;-0.082; 0.073; 0.125; 0.476; 0.550;-0.325;   55.501;351.18379;+61.57494
   111;  889.03;  711.14;18.676; 0.087;  1.238; 1.492;-0.147; 0.051; 0.066; 0.185; 0.480; 0.176;   55.516;351.10719;+61.55075
   112;  817.47;  796.09;16.746; 0.024;  0.829; 1.323; 0.359; 0.027; 0.024; 0.047; 0.900; 0.101;   55.653;351.16944;+61.58632
   113;  832.23;  806.53;14.189; 0.008;  0.543; 0.693; 0.279; 0.023; 0.018; 0.008; 1.400;-0.101;   56.338;351.15646;+61.59064
   114;  860.30;  698.52;17.927; 0.042;  0.875; 1.442; 0.432; 0.034; 0.022; 0.116; 0.560;-0.072;   56.731;351.13239;+61.54556
   115;  834.91;  701.63;17.983; 0.060;  1.395; 1.973; 0.588; 0.022; 0.031; 0.189; 0.780;-0.067;   57.028;351.15459;+61.54691
   116;  799.07;  741.82;18.845; 0.089;  1.519; 1.723;      ; 0.059; 0.088;      ; 0.490; 0.429;   57.464;351.18578;+61.56374
   117;  826.55;  805.18;18.464; 0.076;  1.222; 1.599; 0.643; 0.055; 0.072; 0.325; 0.400;-0.118;   57.678;351.16144;+61.59009
   118;  813.34;  714.92;17.296; 0.024;  1.298; 1.505; 0.529; 0.024; 0.023; 0.119; 0.550;-0.047;   57.814;351.17340;+61.55250
   119;  906.82;  729.10;17.039; 0.030;  0.901; 1.309; 0.275; 0.029; 0.021; 0.052; 0.900;-0.161;   57.934;351.09153;+61.55819
   120;  904.03;  785.92;16.568; 0.015;  1.017; 1.459; 0.378; 0.028; 0.019; 0.040; 0.610;-0.080;   57.965;351.09366;+61.58188
   121;  893.08;  798.83;18.170; 0.099;  1.613; 1.759; 0.356; 0.155; 0.120; 0.265; 1.050; 0.719;   58.060;351.10319;+61.58729
   122;  891.66;  709.69;19.037; 0.109;  1.246; 1.558;      ; 0.072; 0.104;      ; 0.410; 0.142;   58.282;351.10490;+61.55014
   123;  895.07;  711.86;17.695; 0.038;  0.986; 1.671; 0.407; 0.025; 0.030; 0.120; 0.570;-0.041;   58.876;351.10190;+61.55104
   124;  901.44;  717.91;19.226; 0.126;  1.247; 1.494;-0.522; 0.062; 0.063; 0.188; 0.510;-0.289;   59.429;351.09630;+61.55354
   125;  914.55;  749.03;15.184; 0.011;  0.683; 0.952; 0.395; 0.039; 0.027; 0.014; 0.970;-0.092;   59.851;351.08465;+61.56648
   126;  841.95;  813.72;19.318; 0.144;  0.592; 2.188; 0.016; 0.052; 0.084; 0.228; 0.500; 0.829;   60.150;351.14791;+61.59362
   127;  795.46;  764.71;19.538; 0.181;  1.933; 1.950;-0.688; 0.078; 0.185; 0.318; 0.530; 0.294;   60.328;351.18885;+61.57328
   128;  818.70;  706.79;17.439; 0.027;  1.053; 1.516; 0.670; 0.025; 0.028; 0.152; 0.530;-0.206;   60.353;351.16875;+61.54910
   129;  794.40;  757.71;19.201; 0.151;  0.960; 1.760;      ; 0.068; 0.076;      ; 0.650; 0.186;   60.662;351.18980;+61.57037
   130;  915.59;  751.86;15.229; 0.011;  1.041; 1.425; 0.379; 0.033; 0.029; 0.023; 0.860;-0.061;   60.676;351.08373;+61.56766
   131;  844.63;  695.16;17.627; 0.030;  1.077; 1.427; 0.295; 0.028; 0.019; 0.076; 0.510;-0.118;   60.730;351.14612;+61.54419
