#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:33:09 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:33:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/466/3636/tablea1&-order=I&-out=More&-out=ID&-out=RAICRS&-out=DEICRS&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=m1&-out=e_m1&-out=c1&-out=e_c1&-out=beta&-out=e_beta&-out=Member&-out=IPHAS&-out=2MASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74663636
#Name: J/MNRAS/466/3636
#Title: The young open cluster NGC 7067 (Monguio+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/466/3636	    IVOID of underlying data collection
#INFO	creator=Monguio M.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.466.3636M	    Article or Data origin sources
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/466/3636	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74663636	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_MNRAS_466_3636_tablea1:
#Name: J/MNRAS/466/3636/tablea1
#Title: Coordinates and photometric indexes
#Column	More	(A1)	indicates parameters for B stars or physical parameters for hot stars	[ucd=meta.ref.url]
#Column	ID	(I4)	ID number	[ucd=meta.id;meta.main]
#Column	RAICRS	(A10)	Right ascension (ICRS, Epoch=J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(A9)	Declination (ICRS, Epoch=J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F5.2)	b-y color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F5.2)	Error in b-y color index	[ucd=stat.error;phot.color;em.opt.B]
#Column	m1	(F6.2)	m1 index	[ucd=phot.color]
#Column	e_m1	(F5.2)	Error in m1 index	[ucd=stat.error]
#Column	c1	(F6.2)	? c1 index	[ucd=phot.color]
#Column	e_c1	(F5.2)	? Error in c1 index	[ucd=stat.error]
#Column	beta	(F5.2)	? beta index	[ucd=phot.color]
#Column	e_beta	(F5.2)	? Error in beta	[ucd=stat.error]
#Column	Member	(I1)	[0/1] 1 for member	[ucd=meta.code.member]
#Column	IPHAS	(A19)	IPHAS ID (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS ID (HHMMSSss+DDMMSSs)	[ucd=meta.id]
More;ID;RAICRS;DEICRS;Vmag;e_Vmag;b-y;e_b-y;m1;e_m1;c1;e_c1;beta;e_beta;Member;IPHAS;2MASS
 ; 666;21 24 52.4;+47 58 45;14.00; 0.01; 0.60; 0.01;  0.47; 0.01;  0.28; 0.01; 2.52; 0.00;0;J212452.43+475844.6;21245244+4758447
 ; 667;21 24 51.7;+47 58 24;15.28; 0.01; 1.38; 0.01;  0.23; 0.03;  0.54; 0.03; 2.62; 0.00;0;J212451.76+475824.2;21245176+4758242
*; 668;21 24 49.9;+47 59 46;15.31; 0.01; 0.89; 0.01; -0.05; 0.01;  0.85; 0.01; 2.73; 0.01;0;J212449.91+475945.5;21244991+4759456
 ; 669;21 24 49.9;+47 57 16;15.00; 0.01; 0.61; 0.01;  0.28; 0.02;  0.39; 0.01; 2.57; 0.00;0;J212449.86+475715.4;21244985+4757154
 ; 670;21 24 49.8;+48 01 34;14.45; 0.01; 1.53; 0.00;  0.34; 0.01;  0.50; 0.02; 2.61; 0.00;0;J212449.79+480134.1;21244979+4801341
 ; 671;21 24 49.4;+47 58 41;15.21; 0.01; 1.33; 0.01;  0.19; 0.02;  0.59; 0.02; 2.61; 0.00;0;J212449.42+475840.8;21244943+4758410
*; 672;21 24 49.2;+47 58 57;14.74; 0.01; 0.71; 0.01;  0.01; 0.01;  1.15; 0.01; 2.86; 0.00;0;J212449.15+475856.3;21244916+4758564
*; 673;21 24 48.8;+47 57 37;15.90; 0.01; 0.90; 0.00; -0.02; 0.01;  1.01; 0.02; 2.84; 0.01;0;J212448.82+475737.2;21244882+4757371
 ; 674;21 24 48.1;+47 59 09;14.42; 0.01; 0.57; 0.01;  0.14; 0.00;  0.42; 0.01; 2.61; 0.00;0;J212448.03+475908.5;21244803+4759086
*; 675;21 24 47.9;+48 00 31;15.99; 0.01; 0.93; 0.01; -0.10; 0.01;  1.25; 0.01; 2.79; 0.01;0;J212447.90+480030.9;21244789+4800309
 ; 676;21 24 47.6;+47 58 55;15.43; 0.01; 1.23; 0.01;  0.00; 0.02;  0.65; 0.02; 2.62; 0.00;0;J212447.56+475854.3;21244757+4758544
*; 677;21 24 47.4;+48 04 10;16.03; 0.01; 0.62; 0.01;  0.03; 0.01;  1.15; 0.02; 2.90; 0.01;0;J212447.38+480409.8;21244737+4804098
*; 678;21 24 45.3;+47 59 17;16.02; 0.01; 0.66; 0.01;  0.05; 0.01;  1.08; 0.01; 2.89; 0.00;0;J212445.30+475916.7;21244532+4759168
*; 679;21 24 44.5;+47 54 29;16.12; 0.01; 0.73; 0.01;  0.03; 0.01;  1.20; 0.01; 2.89; 0.01;0;J212444.48+475428.5;21244448+4754284
 ; 680;21 24 44.4;+47 56 11;15.56; 0.01; 0.96; 0.01; -0.07; 0.01;  0.77; 0.01; 2.71; 0.00;0;J212444.42+475610.4;21244442+4756103
*; 681;21 24 44.0;+48 03 02;16.27; 0.00; 0.68; 0.04;  0.03; 0.06;  1.22; 0.03; 2.97; 0.03;0;J212443.99+480302.3;21244399+4803023
 ; 682;21 24 43.9;+48 04 47;13.37; 0.01; 0.55; 0.01;  0.07; 0.01;  0.54; 0.00; 2.66; 0.01;0;J212443.89+480446.6;21244389+4804466
 ; 683;21 24 43.9;+48 00 29;15.75; 0.01; 0.69; 0.01;  0.26; 0.01;  0.40; 0.02; 2.57; 0.01;0;J212443.91+480028.8;21244392+4800288
*; 684;21 24 43.2;+47 58 51;15.75; 0.01; 0.69; 0.01; -0.04; 0.01;  1.31; 0.01; 2.91; 0.01;0;J212443.16+475850.6;21244316+4758506
 ; 685;21 24 42.8;+48 03 28;16.53; 0.02; 0.88; 0.01; -0.01; 0.03;  0.58; 0.02; 2.63; 0.01;0;J212442.78+480328.2;21244278+4803282
 ; 686;21 24 42.2;+48 02 25;16.30; 0.02; 1.02; 0.02; -0.02; 0.03;  0.53; 0.10; 2.60; 0.02;0;J212442.21+480225.1;21244221+4802251
*; 687;21 24 42.0;+47 57 29;15.45; 0.01; 0.73; 0.01; -0.15; 0.02;  0.40; 0.01; 2.69; 0.01;1;J212441.97+475728.4;21244193+4757286
 ; 688;21 24 41.8;+47 56 09;16.65; 0.01; 0.91; 0.01; -0.05; 0.02;  0.71; 0.02; 2.67; 0.02;0;J212441.81+475609.3;21244182+4756093
 ; 689;21 24 41.4;+47 55 29;16.23; 0.01; 0.86; 0.01; -0.06; 0.01;  0.66; 0.02; 2.69; 0.01;0;J212441.36+475528.8;21244137+4755287
*; 690;21 24 41.1;+47 58 54;15.83; 0.01; 0.71; 0.01; -0.08; 0.01;  1.26; 0.01; 2.89; 0.01;0;J212441.07+475854.1;21244106+4758540
 ; 691;21 24 41.0;+48 04 50;15.03; 0.01; 1.14; 0.01;  0.28; 0.01;  0.54; 0.01; 2.59; 0.00;0;J212440.98+480450.1;21244099+4804500
 ; 692;21 24 40.0;+47 59 10;15.90; 0.01; 0.76; 0.01;  0.32; 0.01;  0.37; 0.01; 2.55; 0.00;0;J212439.94+475909.5;21243993+4759093
 ; 693;21 24 39.4;+47 59 27;16.70; 0.01; 0.99; 0.01; -0.01; 0.02;  0.59; 0.02; 2.64; 0.01;0;J212439.37+475927.0;21243937+4759270
 ; 694;21 24 38.8;+47 55 45;16.57; 0.01; 0.95; 0.01; -0.05; 0.02;  0.74; 0.02; 2.68; 0.01;0;J212438.77+475544.8;21243878+4755448
*; 695;21 24 38.3;+48 01 17;13.92; 0.01; 0.53; 0.01;  0.02; 0.01;  0.99; 0.01; 2.85; 0.00;0;J212438.31+480116.6;21243832+4801166
*; 696;21 24 38.0;+48 00 39;11.75; 0.00; 0.74; 0.00; -0.16; 0.01;  0.26; 0.00; 2.61; 0.00;1;                   ;21243799+4800387
 ; 697;21 24 37.1;+48 00 37;15.65; 0.01; 0.94; 0.00;  0.00; 0.01;  0.67; 0.01; 2.67; 0.00;0;J212437.06+480036.9;21243707+4800370
 ; 698;21 24 35.8;+47 55 19;14.13; 0.01; 0.64; 0.01;  0.04; 0.01;  0.46; 0.01; 2.63; 0.00;0;J212435.81+475519.2;21243580+4755192
 ; 699;21 24 34.6;+48 04 20;16.66; 0.01; 0.79; 0.00; -0.02; 0.01;  0.67; 0.02; 2.68; 0.01;0;J212434.58+480419.4;21243459+4804194
*; 700;21 24 34.2;+48 01 22;16.57; 0.01; 0.77; 0.01;  0.07; 0.02;  1.06; 0.01; 2.85; 0.00;0;J212434.22+480122.2;21243423+4801223
*; 701;21 24 34.0;+47 56 59;16.46; 0.01; 0.77; 0.01; -0.03; 0.01;  1.10; 0.01; 2.84; 0.01;0;J212434.03+475659.1;21243403+4756591
 ; 702;21 24 34.0;+47 54 09;15.39; 0.01; 1.02; 0.01;  0.08; 0.03;  0.51; 0.02; 2.60; 0.00;0;J212433.91+475408.7;21243390+4754087
*; 703;21 24 33.9;+47 56 28;16.05; 0.01; 0.88; 0.01; -0.03; 0.02;  1.12; 0.02; 2.81; 0.00;0;J212433.87+475627.8;21243387+4756278
 ; 704;21 24 33.9;+48 03 09;15.27; 0.02; 1.18; 0.00;  0.09; 0.01;  0.70; 0.11; 2.61; 0.01;0;J212433.85+480309.3;21243386+4803093
*; 705;21 24 33.5;+48 00 15;15.62; 0.01; 0.55; 0.01; -0.10; 0.01;  0.48; 0.01; 2.73; 0.01;1;J212433.50+480015.3;21243350+4800153
*; 706;21 24 33.2;+48 00 39;16.23; 0.01; 0.59; 0.01; -0.07; 0.01;  0.78; 0.01; 2.79; 0.01;1;J212433.13+480038.5;21243314+4800385
 ; 707;21 24 33.0;+48 01 03;16.05; 0.01; 0.91; 0.01;  0.01; 0.01;  0.62; 0.02; 2.65; 0.01;0;J212432.96+480102.9;21243296+4801030
 ; 708;21 24 32.7;+47 58 06;16.33; 0.01; 0.80; 0.01; -0.02; 0.01;  0.64; 0.02; 2.67; 0.00;0;J212432.73+475805.7;21243273+4758056
 ; 709;21 24 31.4;+48 03 36;12.92; 0.00; 1.08; 0.00;  0.15; 0.01;  0.49; 0.01; 2.60; 0.01;0;J212431.42+480336.1;21243142+4803361
 ; 710;21 24 31.3;+48 00 49;15.94; 0.01; 0.85; 0.01; -0.01; 0.01;  0.56; 0.01; 2.64; 0.00;0;J212431.26+480048.9;21243125+4800488
*; 711;21 24 31.1;+47 55 01;15.69; 0.01; 0.61; 0.01;  0.07; 0.01;  1.01; 0.01; 2.89; 0.01;0;J212431.05+475500.4;21243104+4755005
*; 712;21 24 31.1;+47 56 33;16.75; 0.38; 0.99; 0.03; -0.08; 0.04;  1.40; 0.03; 2.81; 0.00;0;J212431.05+475633.4;21243108+4756334
 ; 713;21 24 30.8;+47 57 28;14.39; 0.00; 0.61; 0.01;  0.25; 0.01;  0.44; 0.01; 2.59; 0.00;0;J212430.77+475728.2;21243078+4757282
*; 714;21 24 30.7;+47 59 27;14.11; 0.01; 0.45; 0.01;  0.02; 0.01;  1.23; 0.01; 2.88; 0.00;0;J212430.71+475927.2;21243071+4759272
 ; 715;21 24 30.3;+47 57 53;14.24; 0.01; 1.18; 0.01;  0.39; 0.01;  0.48; 0.00; 2.60; 0.00;0;J212430.29+475752.7;21243029+4757527
*; 716;21 24 30.0;+48 04 15;15.43; 0.01; 0.55; 0.00;  0.06; 0.01;  1.20; 0.01; 2.95; 0.00;0;J212429.97+480414.6;21242996+4804146
*; 717;21 24 29.9;+47 55 59;16.38; 0.01; 0.70; 0.01;  0.07; 0.01;  1.09; 0.04; 2.94; 0.01;0;J212429.87+475558.8;21242987+4755587
 ; 718;21 24 29.9;+48 02 31;15.61; 0.00; 0.66; 0.01;  0.27; 0.01;  0.36; 0.00; 2.58; 0.01;0;J212429.84+480230.8;21242984+4802307
 ; 719;21 24 29.6;+47 56 22;16.29; 0.01; 0.80; 0.01; -0.02; 0.02;  0.70; 0.01; 2.71; 0.00;0;J212429.63+475621.9;21242963+4756219
 ; 720;21 24 29.5;+47 58 49;13.22; 0.00; 1.04; 0.01;  0.21; 0.01;  0.51; 0.01; 2.60; 0.01;0;J212429.50+475848.7;21242950+4758487
 ; 721;21 24 28.6;+48 00 56;16.96; 0.01; 0.91; 0.01;  0.01; 0.03;  0.56; 0.02; 2.62; 0.01;0;J212428.61+480056.0;21242860+4800560
 ; 722;21 24 28.4;+47 54 46;14.65; 0.01; 1.18; 0.01;  0.28; 0.01;  0.48; 0.01; 2.59; 0.01;0;J212428.39+475445.6;21242839+4754458
 ; 723;21 24 27.7;+47 57 14;16.49; 0.02; 0.72; 0.02;  0.04; 0.02;  0.54; 0.02; 2.67; 0.01;0;J212427.67+475713.5;21242770+4757132
 ; 724;21 24 27.5;+47 59 36;14.89; 0.01; 1.07; 0.01;  0.36; 0.01;  0.49; 0.01; 2.59; 0.01;0;J212427.45+475935.4;21242744+4759353
 ; 725;21 24 27.4;+48 01 17;15.79; 0.01; 0.72; 0.01;  0.22; 0.01;  0.44; 0.01; 2.60; 0.01;0;J212427.41+480116.7;21242740+4801167
 ; 726;21 24 27.3;+47 54 27;15.52; 0.01; 0.71; 0.01;  0.59; 0.02;  0.20; 0.01; 2.51; 0.01;0;J212427.27+475426.9;21242728+4754269
 ; 727;21 24 26.5;+48 05 07;13.93; 0.01; 0.87; 0.00;  0.03; 0.01;  0.52; 0.01; 2.63; 0.00;0;J212426.46+480507.1;21242645+4805071
*; 728;21 24 26.0;+47 58 14;16.23; 0.00; 0.61; 0.01;  0.03; 0.01;  0.76; 0.01; 2.75; 0.01;0;J212426.02+475813.8;21242602+4758138
 ; 729;21 24 25.2;+47 57 06;16.14; 0.01; 0.73; 0.00;  0.01; 0.01;  0.67; 0.01; 2.69; 0.01;0;J212425.23+475705.6;21242523+4757056
 ; 730;21 24 25.0;+48 04 58;16.42; 0.01; 0.85; 0.01;  0.06; 0.00;  0.53; 0.02; 2.63; 0.01;0;J212424.97+480457.7;21242497+4804577
 ; 731;21 24 24.8;+48 01 44;11.27; 0.00; 1.28; 0.00;  0.36; 0.01;  0.39; 0.01; 2.61; 0.00;0;                   ;21242472+4801434
 ; 732;21 24 24.5;+47 57 48;14.35; 0.01; 0.76; 0.01; -0.01; 0.01;  0.65; 0.01; 2.67; 0.00;0;J212424.50+475747.8;21242451+4757479
 ; 733;21 24 23.9;+48 01 01;16.38; 0.01; 0.70; 0.00;  0.07; 0.01;  0.46; 0.03; 2.65; 0.01;0;J212423.89+480100.5;21242388+4801004
 ; 734;21 24 23.8;+48 01 35;13.95; 0.01; 1.31; 0.02;  0.31; 0.02;  0.56; 0.01; 2.61; 0.01;0;J212423.83+480135.0;21242383+4801349
*; 735;21 24 23.4;+48 00 47;16.52; 0.01; 0.52; 0.00; -0.04; 0.01;  0.70; 0.01; 2.79; 0.01;1;J212423.38+480047.2;21242339+4800472
 ; 736;21 24 23.4;+48 01 00;12.75; 0.01; 0.42; 0.01;  0.13; 0.01;  0.54; 0.00; 2.70; 0.00;0;J212423.33+480059.4;21242332+4800593
 ; 737;21 24 23.3;+47 56 56;15.66; 0.01; 0.75; 0.01;  0.03; 0.01;  0.56; 0.01; 2.66; 0.00;0;J212423.25+475656.3;21242325+4756563
