#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T04:20:25 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T04:20:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/552/A92/table3&-order=I&-out=Seq&-out=M&-out=Webda&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=c1&-out=e_c1&-out=N&-out=JKS2008&JKS2008=JKS2008&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520092
#Name: J/A+A/552/A92
#Title: uvby photometry in NGC 7419 (Marco+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a92	    IVOID of underlying data collection
#INFO	creator=Marco A.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..92M	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A92	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520092	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A92_table3:
#Name: J/A+A/552/A92/table3
#Title: Photometry and coordinates for stars in the field of NGC 7419
#Column	Seq	(I3)	[2/295] Star sequential number (this paper)	[ucd=meta.record]
#Column	M	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Webda	(I4)	Star number taken from the Webda database (1)	[ucd=meta.id]
#Column	RAJ2000	(A11)	? Right ascension (J2000) (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	? Declination (J2000) (2)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	rms uncertainty on Vmag (3)	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F6.3)	Stroemgren b-y colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F6.3)	rms uncertainty on b-y (3)	[ucd=stat.error;phot.color;em.opt.B]
#Column	c1	(F6.3)	Stroemgren c1 index	[ucd=phot.color]
#Column	e_c1	(F6.3)	rms uncertainty on c1 (3)	[ucd=stat.error]
#Column	N	(I1)	Number of measurements for each magnitude, colour or index	[ucd=meta.number]
#Column	JKS2008	(a7)	Display the Joshi et al. data (2008, Cat. J/MNRAS/391/1279)	[ucd=meta.ref.url]
Seq;M;Webda;RAJ2000;DEJ2000;Vmag;e_Vmag;b-y;e_b-y;c1;e_c1;N;JKS2008
 39;M; 199;22 54 18.01;+60 47 17.70;17.830; 0.037; 1.222; 0.047; 0.575; 0.079;1;JKS2008
 40;M; 380;22 54 30.26;+60 47 17.80;16.985; 0.036; 1.170; 0.046; 0.464; 0.069;4;JKS2008
 44;M; 458;22 54 38.74;+60 47 24.50;13.938; 0.008; 1.072; 0.021; 0.286; 0.003;3;JKS2008
 46;M;  58;22 54 09.07;+60 47 36.29;17.956; 0.038; 1.270; 0.048; 0.558; 0.085;1;JKS2008
 47;M; 317;22 54 24.33;+60 47 36.20;16.650; 0.036; 1.249; 0.045; 0.193; 0.068;4;JKS2008
 48;M; 205;22 54 18.07;+60 47 36.29;17.498; 0.037; 1.154; 0.046; 0.511; 0.072;1;JKS2008
 49;M; 271;22 54 21.40;+60 47 38.60;16.980; 0.012; 1.173; 0.012; 0.422; 0.045;4;JKS2008
 50;M; 326;22 54 25.59;+60 47 38.79;17.775; 0.037; 1.193; 0.046; 0.556; 0.076;1;JKS2008
 52;M; 294;22 54 22.86;+60 47 44.20;14.317; 0.009; 1.202; 0.017; 0.252; 0.038;4;JKS2008
 53;M; 280;22 54 22.00;+60 47 46.80;16.992; 0.036; 1.200; 0.046; 0.557; 0.070;4;JKS2008
 54;M; 368;22 54 28.58;+60 47 49.00;16.437; 0.014; 1.166; 0.015; 0.353; 0.035;4;JKS2008
 55;M; 151;22 54 15.88;+60 47 49.30;15.525; 0.005; 1.232; 0.011; 0.115; 0.037;4;JKS2008
 56;M; 385;22 54 30.45;+60 47 50.60;13.165; 0.037; 2.246; 0.047; 0.020; 0.069;4;JKS2008
 59;M; 266;22 54 21.03;+60 47 56.19;18.074; 0.037; 1.201; 0.047; 0.824; 0.084;1;JKS2008
 60;M; 287;22 54 22.58;+60 47 56.61;17.490; 0.037; 1.140; 0.047; 0.583; 0.072;1;JKS2008
 61; ; 404;22 54 32.34;+60 47 57.00;15.686; 0.004; 1.173; 0.009; 0.345; 0.018;4;JKS2008
 62;M; 334;22 54 26.03;+60 47 57.50;16.369; 0.009; 1.147; 0.016; 0.325; 0.040;4;JKS2008
 63;M; 351;22 54 26.98;+60 47 58.29;17.974; 0.037; 1.178; 0.047; 0.520; 0.075;1;JKS2008
 65;M; 366;22 54 28.23;+60 47 59.90;17.120; 0.017; 1.113; 0.035; 0.474; 0.066;4;JKS2008
 66;M; 189;22 54 17.57;+60 48 00.51;17.601; 0.037; 1.214; 0.047; 0.574; 0.076;1;JKS2008
 67;M; 428;22 54 35.07;+60 48 00.40;16.671; 0.011; 1.095; 0.032; 0.500; 0.015;4;JKS2008
 73;M; 315;22 54 24.07;+60 48 04.10;18.113; 0.037; 1.152; 0.047; 0.817; 0.083;1;JKS2008
 75;M; 128;22 54 14.38;+60 48 04.80;17.488; 0.037; 1.367; 0.047; 0.500; 0.076;1;JKS2008
 78;M; 336;22 54 26.23;+60 48 06.80;18.012; 0.037; 1.088; 0.047; 0.803; 0.078;1;JKS2008
 79;M; 320;22 54 24.48;+60 48 08.20;17.008; 0.007; 1.126; 0.018; 0.417; 0.062;4;JKS2008
 81;M;   1;22 54 00.06;+60 48 10.70;17.421; 0.037; 1.221; 0.046; 0.398; 0.070;1;JKS2008
 83;M; 386;22 54 30.49;+60 48 17.60;17.587; 0.037; 1.214; 0.047; 0.637; 0.072;4;JKS2008
 84;M; 410;22 54 33.01;+60 48 10.90;16.603; 0.019; 1.135; 0.016; 0.503; 0.016;4;JKS2008
 87; ; 223;22 54 18.76;+60 48 13.89;16.462; 0.010; 1.155; 0.029; 0.343; 0.031;4;JKS2008
 90;M;  11;22 54 01.98;+60 48 15.90;17.153; 0.036; 1.329; 0.046; 0.372; 0.074;1;JKS2008
 91;M;  16;22 54 02.92;+60 48 16.20;14.710; 0.320; 1.428; 0.275; 0.314; 0.042;4;JKS2008
 93;M; 198;           ;            ;17.594; 0.037; 1.117; 0.048; 0.452; 0.073;4;JKS2008
 94;M; 470;22 54 40.56;+60 48 15.50;18.625; 0.038; 1.117; 0.049; 0.818; 0.087;1;JKS2008
 95; ; 249;22 54 20.38;+60 48 16.50;16.448; 0.036; 1.700; 0.046; 0.454; 0.080;1;JKS2008
 96;M;  44;22 54 07.09;+60 48 17.40;16.713; 0.036; 1.446; 0.046; 0.232; 0.070;1;JKS2008
 97;M; 211;22 54 18.15;+60 48 17.90;15.922; 0.003; 1.123; 0.012; 0.331; 0.018;1;JKS2008
 98;M; 169;22 54 16.86;+60 48 18.19;15.963; 0.009; 1.173; 0.010; 0.432; 0.039;4;JKS2008
102;M; 206;22 54 18.11;+60 48 20.80;16.822; 0.013; 1.132; 0.013; 0.436; 0.038;1;JKS2008
103;M; 286;22 54 22.54;+60 48 20.71;13.149; 0.009; 1.157; 0.024; 0.308; 0.023;3;JKS2008
106;M; 191;22 54 17.70;+60 48 22.60;14.737; 0.003; 1.147; 0.018; 0.362; 0.037;4;JKS2008
107;M; 164;22 54 16.72;+60 48 22.70;15.949; 0.032; 1.109; 0.017; 0.495; 0.022;4;JKS2008
108;M; 319;22 54 24.45;+60 48 22.79;17.127; 0.037; 1.130; 0.046; 0.561; 0.069;4;JKS2008
109;M; 207;22 54 18.13;+60 48 23.49;17.229; 0.036; 1.162; 0.046; 0.620; 0.070;4;JKS2008
110;M;  65;22 54 09.43;+60 48 25.40;16.518; 0.036; 1.281; 0.046; 0.438; 0.069;4;JKS2008
112;M; 406;22 54 32.52;+60 48 25.10;17.459; 0.037; 1.138; 0.046; 0.654; 0.072;1;JKS2008
113;M; 352;22 54 27.08;+60 48 25.29;17.648; 0.037; 1.210; 0.047; 0.620; 0.077;1;JKS2008
114;M; 217;22 54 18.46;+60 48 26.80;17.131; 0.014; 1.166; 0.022; 0.411; 0.062;4;JKS2008
115;M; 153;22 54 15.80;+60 48 28.09;17.666; 0.037; 1.182; 0.046; 0.779; 0.076;1;JKS2008
120;M; 303;22 54 23.39;+60 48 30.40;17.873; 0.037; 1.214; 0.047; 0.684; 0.074;1;JKS2008
121;M; 148;22 54 15.74;+60 48 30.90;17.726; 0.037; 1.152; 0.047; 0.660; 0.072;1;JKS2008
122;M; 291;22 54 22.69;+60 48 31.60;13.025; 0.036; 2.355; 0.045; 0.210; 0.072;1;JKS2008
123;M;  54;22 54 08.71;+60 48 32.39;17.292; 0.036; 1.181; 0.046; 0.556; 0.071;1;JKS2008
125;M; 173;22 54 16.90;+60 48 33.40;18.155; 0.037; 1.155; 0.048; 0.908; 0.083;1;JKS2008
126;M;  99;22 54 12.30;+60 48 33.70;16.482; 0.036; 1.203; 0.046; 0.444; 0.069;1;JKS2008
127;M; 269;22 54 21.28;+60 48 34.30;16.123; 0.006; 1.136; 0.019; 0.411; 0.023;4;JKS2008
128;M;  92;22 54 11.80;+60 48 34.91;15.969; 0.008; 1.193; 0.008; 0.346; 0.027;4;JKS2008
129;M; 237;22 54 19.64;+60 48 35.90;14.352; 0.005; 1.105; 0.010; 0.217; 0.023;3;JKS2008
130;M; 332;22 54 25.90;+60 48 36.10;17.558; 0.037; 1.237; 0.047; 0.784; 0.075;1;JKS2008
132;M; 354;22 54 27.16;+60 48 36.20;15.960; 0.003; 1.178; 0.011; 0.362; 0.027;4;JKS2008
133;M; 444;22 54 36.63;+60 48 36.10;14.463; 0.006; 1.244; 0.011; 0.041; 0.012;4;JKS2008
135;M; 181;22 54 17.23;+60 48 38.70;15.131; 0.005; 1.046; 0.013; 0.309; 0.016;4;JKS2008
136;M; 130;22 54 14.45;+60 48 39.40;13.790; 0.006; 1.198; 0.017; 0.075; 0.019;3;JKS2008
138;M;  79;22 54 10.63;+60 48 40.61;16.667; 0.003; 1.152; 0.026; 0.448; 0.029;4;JKS2008
142;M; 179;22 54 17.13;+60 48 46.80;13.800; 0.004; 1.064; 0.018; 0.289; 0.017;4;JKS2008
145;M; 152;22 54 15.79;+60 48 48.60;16.841; 0.009; 1.115; 0.023; 0.401; 0.097;4;JKS2008
146;M; 222;22 54 18.72;+60 48 49.00;15.773; 0.003; 1.019; 0.016; 0.447; 0.018;4;JKS2008
148;M; 179;22 54 17.13;+60 48 46.80;17.450; 0.037; 1.114; 0.047; 0.653; 0.074;1;JKS2008
149;M; 101;22 54 12.34;+60 48 50.09;15.213; 0.003; 1.180; 0.010; 0.334; 0.031;4;JKS2008
150;M; 154;22 54 15.95;+60 48 51.10;16.536; 0.007; 1.114; 0.012; 0.530; 0.043;4;JKS2008
151;M; 235;22 54 19.63;+60 48 51.30;15.734; 0.008; 1.107; 0.018; 0.405; 0.022;4;JKS2008
153;M; 353;22 54 27.13;+60 48 52.10;14.895; 0.003; 1.215; 0.010; 0.093; 0.018;4;JKS2008
154; ; 147;22 54 15.59;+60 48 53.20;17.538; 0.036; 2.836; 0.049; 2.629; 0.074;1;JKS2008
155;M; 253;22 54 20.50;+60 48 54.00;14.962; 0.011; 1.182; 0.015; 0.432; 0.014;4;JKS2008
157;M; 200;22 54 17.91;+60 48 57.10;15.152; 0.009; 1.139; 0.010; 0.149; 0.019;3;JKS2008
160;M; 144;22 54 15.43;+60 48 58.60;14.559; 0.009; 1.096; 0.018; 0.285; 0.025;4;JKS2008
162;M; 313;22 54 23.84;+60 48 59.69;16.172; 0.014; 1.156; 0.020; 0.398; 0.035;4;JKS2008
163;M; 361;22 54 27.92;+60 49 01.40;18.431; 0.038; 1.115; 0.049; 0.888; 0.081;1;JKS2008
164;M; 327;22 54 25.67;+60 49 01.80;14.123; 0.008; 1.145; 0.010; 0.293; 0.014;3;JKS2008
165;M; 108;22 54 12.94;+60 49 02.61;16.412; 0.012; 1.185; 0.021; 0.382; 0.051;4;JKS2008
166;M;  83;22 54 11.12;+60 49 04.20;18.224; 0.038; 1.191; 0.048; 0.664; 0.082;1;JKS2008
167;M; 284;22 54 22.29;+60 49 04.29;17.521; 0.036; 1.184; 0.046; 0.565; 0.071;1;JKS2008
168;M; 343;22 54 26.50;+60 49 05.39;15.566; 0.036; 1.138; 0.045; 0.261; 0.067;1;JKS2008
169;M; 174;22 54 16.92;+60 49 05.60;17.408; 0.045; 1.107; 0.056; 0.766; 0.081;1;JKS2008
170;M; 275;22 54 21.58;+60 49 05.90;17.909; 0.038; 1.228; 0.048; 0.946; 0.078;1;JKS2008
171;M; 202;22 54 17.98;+60 49 06.40;15.517; 0.005; 1.077; 0.011; 0.340; 0.017;4;JKS2008
172; ; 342;22 54 26.46;+60 49 05.80;16.935; 0.015; 1.115; 0.018; 0.681; 0.059;4;JKS2008
174;M; 323;22 54 25.32;+60 49 08.00;17.619; 0.037; 1.109; 0.047; 0.769; 0.072;1;JKS2008
175; ; 377;22 54 29.30;+60 49 08.10;15.770; 0.008; 1.197; 0.012; 0.248; 0.018;4;JKS2008
176;M; 382;22 54 30.18;+60 49 09.01;18.184; 0.038; 1.165; 0.048; 1.283; 0.084;1;JKS2008
177;M;  97;22 54 11.99;+60 49 10.69;15.509; 0.004; 1.174; 0.011; 0.267; 0.047;4;JKS2008
179;M;  76;22 54 10.35;+60 49 11.39;16.404; 0.036; 1.177; 0.046; 0.396; 0.068;4;JKS2008
180;M;  24;22 54 04.44;+60 49 11.50;14.015; 0.007; 1.260; 0.010; 0.217; 0.014;4;JKS2008
181;M; 447;22 54 37.32;+60 49 12.60;17.459; 0.037; 1.100; 0.047; 0.647; 0.071;4;JKS2008
182;M;  81;22 54 10.67;+60 49 14.59;16.959; 0.036; 1.231; 0.046; 0.443; 0.069;4;JKS2008
183;M; 345;22 54 26.59;+60 49 14.31;17.282; 0.037; 1.072; 0.046; 0.728; 0.071;4;JKS2008
184;M; 277;22 54 21.84;+60 49 15.60;16.952; 0.011; 1.125; 0.007; 0.814; 0.091;4;JKS2008
185;M; 261;22 54 20.83;+60 49 17.20;17.210; 0.037; 1.182; 0.047; 0.563; 0.070;1;JKS2008
186;M; 308;22 54 23.71;+60 49 18.60;15.687; 0.004; 1.027; 0.006; 0.476; 0.019;4;JKS2008
187;M; 273;22 54 21.44;+60 49 19.00;17.470; 0.037; 1.102; 0.046; 0.681; 0.072;4;JKS2008
188;M; 190;22 54 17.59;+60 49 19.00;17.749; 0.037; 1.168; 0.047; 0.630; 0.076;1;JKS2008
192;M; 395;22 54 31.63;+60 49 23.00;15.945; 0.003; 1.064; 0.012; 0.414; 0.013;4;JKS2008
193;M; 185;22 54 17.38;+60 49 24.80;18.237; 0.038; 1.090; 0.048; 0.788; 0.079;1;JKS2008
195;M; 226;22 54 18.92;+60 49 25.70;16.295; 0.013; 1.070; 0.021; 0.425; 0.015;4;JKS2008
196;M; 219;22 54 18.52;+60 49 26.60;17.846; 0.037; 1.113; 0.046; 0.742; 0.074;1;JKS2008
197;M; 384;22 54 30.27;+60 49 26.50;17.392; 0.037; 1.091; 0.046; 0.646; 0.072;1;JKS2008
202;M; 472;22 54 40.51;+60 49 28.60;18.135; 0.038; 1.060; 0.048; 0.766; 0.079;1;JKS2008
204;M; 131;22 54 14.61;+60 49 30.40;15.257; 0.006; 1.168; 0.015; 0.263; 0.017;4;JKS2008
207;M; 310;22 54 23.67;+60 49 31.50;15.650; 0.006; 1.135; 0.008; 0.204; 0.024;4;JKS2008
208;M; 330;22 54 25.87;+60 49 31.50;18.220; 0.038; 1.080; 0.048; 1.055; 0.078;1;JKS2008
209;M; 146;22 54 15.55;+60 49 32.10;17.448; 0.037; 1.143; 0.047; 0.598; 0.071;4;JKS2008
210; ; 434;22 54 35.95;+60 49 31.50;16.805; 0.039; 1.059; 0.049; 0.890; 0.071;1;JKS2008
211; ; 283;22 54 22.23;+60 49 33.20;18.780; 0.037; 1.179; 0.049; 0.533; 0.086;1;JKS2008
212;M; 298;22 54 23.12;+60 49 35.50;17.143; 0.036; 1.241; 0.046; 0.562; 0.071;1;JKS2008
213;M;  51;22 54 08.13;+60 49 36.10;16.944; 0.037; 1.246; 0.046; 0.463; 0.070;4;JKS2008
215;M; 175;22 54 16.96;+60 49 37.29;17.798; 0.037; 1.086; 0.047; 0.714; 0.076;1;JKS2008
217;M; 129;22 54 14.30;+60 49 38.70;17.290; 0.037; 1.220; 0.046; 0.499; 0.073;1;JKS2008
220;M;  35;22 54 05.41;+60 49 41.90;17.276; 0.037; 1.207; 0.047; 0.638; 0.071;1;JKS2008
221; ;1575;22 54 39.23;+60 49 41.90;16.373; 0.038; 1.490; 0.048; 0.440; 0.082;1;JKS2008
222;M;  37;22 54 06.19;+60 49 44.00;18.148; 0.037; 1.242; 0.047; 0.874; 0.086;1;JKS2008
224;M; 262;22 54 20.92;+60 49 44.39;15.575; 0.007; 1.076; 0.024; 0.312; 0.035;4;JKS2008
225;M; 267;           ;            ;17.811; 0.038; 1.148; 0.047; 0.726; 0.081;1;JKS2008
226; ; 270;           ;            ;17.914; 0.038; 1.041; 0.048; 0.096; 0.085;1;JKS2008
228;M; 143;22 54 15.36;+60 49 50.20;14.166; 0.004; 1.149; 0.006; 0.249; 0.025;3;JKS2008
229;M; 168;22 54 16.81;+60 49 51.10;18.349; 0.038; 1.133; 0.048; 0.823; 0.085;1;JKS2008
230;M; 252;22 54 20.41;+60 49 52.30;14.381; 0.002; 1.122; 0.012;-0.001; 0.022;3;JKS2008
232; ; 290;22 54 22.54;+60 49 53.70;14.345; 0.036; 1.170; 0.045; 0.028; 0.067;1;JKS2008
233;M; 457;22 54 38.34;+60 49 52.80;17.590; 0.039; 0.993; 0.049; 0.750; 0.072;1;JKS2008
234;M; 272;22 54 21.42;+60 49 53.71;16.422; 0.027; 1.242; 0.020; 0.360; 0.029;4;JKS2008
235; ; 260;22 54 20.73;+60 49 54.30;16.990; 0.008; 1.148; 0.006; 0.408; 0.038;4;JKS2008
236;M;  27;22 54 04.87;+60 49 54.41;17.439; 0.037; 1.278; 0.046; 0.539; 0.074;1;JKS2008
238;M; 398;22 54 31.81;+60 49 54.41;18.612; 0.040; 1.046; 0.050; 1.073; 0.083;1;JKS2008
241;M; 231;22 54 19.20;+60 49 59.80;17.343; 0.036; 1.143; 0.046; 0.550; 0.070;1;JKS2008
243;M; 349;22 54 26.81;+60 50 01.40;18.369; 0.038; 1.263; 0.048; 0.540; 0.084;1;JKS2008
244; ; 295;22 54 22.81;+60 50 04.10;14.266; 0.007; 1.177; 0.016; 0.154; 0.006;3;JKS2008
245;M; 289;22 54 22.54;+60 49 53.70;17.599; 0.037; 1.028; 0.050; 0.431; 0.078;4;JKS2008
246;M; 329;22 54 25.68;+60 48 07.70;18.441; 0.038; 1.082; 0.048; 0.933; 0.081;1;JKS2008
247;M; 100;22 54 12.21;+60 50 05.90;14.632; 0.005; 1.151; 0.011; 0.267; 0.018;4;JKS2008
248;M; 430;22 54 35.64;+60 50 05.20;17.638; 0.039; 0.955; 0.049; 0.851; 0.072;1;JKS2008
250;M; 106;22 54 12.69;+60 50 08.80;16.043; 0.015; 1.195; 0.015; 0.297; 0.023;4;JKS2008
251;M; 375;22 54 28.99;+60 50 11.00;15.455; 0.008; 0.993; 0.006; 0.304; 0.015;4;JKS2008
252;M; 348;22 54 26.80;+60 50 11.30;15.885; 0.005; 1.054; 0.014; 0.288; 0.025;4;JKS2008
253;M; 170;22 54 16.78;+60 50 14.00;17.203; 0.037; 1.147; 0.046; 0.484; 0.069;4;JKS2008
254;M;  47;22 54 07.39;+60 50 14.59;16.575; 0.037; 1.173; 0.046; 0.467; 0.069;4;JKS2008
256;M; 194;22 54 17.71;+60 50 16.69;17.122; 0.036; 1.150; 0.046; 0.416; 0.070;4;JKS2008
258;M;  48;22 54 07.60;+60 50 22.60;15.511; 0.036; 1.331; 0.046; 0.184; 0.068;4;JKS2008
