#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:03:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:03:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AN/342/538/table2&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=Gmag&-out=e_Gmag&-out=BP-RP&-out=e_BP-RP&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Plx&-out=e_Plx&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113420538
#Name: J/AN/342/538
#Title: Frolov 1 and NGC 7510 CCD UBV photometry (Yontan+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/an/342/538	    IVOID of underlying data collection
#INFO	creator=Yontan T.	    First author or institution
#INFO	cites=bibcode:2021AN....342..538Y	    Article or Data origin sources
#INFO	editor=Astronomische Nachrichten	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/342/538	    Dataset landing page
#INFO	publication_date=2022-12-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_342_538_table2:
#Name: J/AN/342/538/table2
#Title: Photometric and astrometric catalogue NGC 7510
#Column	ID	(I4)	Sequential number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	Gmag	(F6.3)	? Gaia G magnitude	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F6.3)	? rms uncertainty on Gmag	[ucd=stat.error;phot.mag]
#Column	BP-RP	(F6.3)	? Gaia BP-RP colour index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_BP-RP	(F6.3)	? rms uncertainty on BP-RP	[ucd=stat.error]
#Column	pmRA	(F8.3)	? proper motion components (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.3)	? proper motion components (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F8.3)	? trigonometric parallax	[ucd=pos.parallax.trig]
#Column	e_Plx	(F6.3)	? rms uncertainty on trigonometric parallax	[ucd=stat.error;pos.parallax]
#Column	Pmemb	(F5.2)	[0/1]? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;Gmag;e_Gmag;BP-RP;e_BP-RP;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Pmemb
  19;23 09 35.26;+60 31 54.06;16.535; 0.008; 0.455; 0.015; 1.076; 0.010;16.234; 0.001; 1.556; 0.006;  -2.561; 0.068;  -2.271; 0.059;   0.251; 0.044; 0.00
  20;23 09 35.29;+60 37 58.23;17.439; 0.015; 0.529; 0.032; 1.112; 0.019;17.144; 0.001; 1.506; 0.012;  -1.826; 0.105;  -1.872; 0.095;   0.386; 0.065; 0.00
  21;23 09 35.44;+60 24 15.09;14.884; 0.003; 1.723; 0.016; 1.727; 0.004;14.228; 0.000; 2.037; 0.005;  -6.036; 0.035;  -2.478; 0.033;   0.507; 0.023; 0.00
  22;23 09 35.51;+60 36 52.54;15.830; 0.005; 0.544; 0.010; 1.046; 0.007;15.578; 0.001; 1.436; 0.004;  -2.695; 0.051;   0.093; 0.043;   0.507; 0.030; 0.00
  23;23 09 35.76;+60 25 58.97;16.455; 0.008; 0.466; 0.015; 1.057; 0.010;16.150; 0.001; 1.467; 0.004;  -5.447; 0.073;  -7.201; 0.068;   0.530; 0.050; 0.00
  24;23 09 36.05;+60 30 09.23;16.358; 0.007; 0.500; 0.012; 0.861; 0.009;16.250; 0.001; 1.174; 0.005;  -2.579; 0.068;  -2.327; 0.059;   0.362; 0.044; 0.00
  25;23 09 36.46;+60 29 42.27;13.514; 0.002; 0.398; 0.002; 0.760; 0.002;13.413; 0.000; 1.056; 0.001;  -3.108; 0.027;  -2.658; 0.023;   0.424; 0.017; 0.00
  26;23 09 36.69;+60 28 50.15;16.038; 0.006; 0.501; 0.012; 1.134; 0.007;15.784; 0.001; 1.480; 0.004;  -3.917; 0.059;  -2.246; 0.053;   0.414; 0.036; 0.95
  27;23 09 36.71;+60 31 05.76;17.128; 0.013; 0.872; 0.034; 1.263; 0.016;16.778; 0.001; 1.609; 0.009;  -1.441; 0.095;   2.352; 0.082;   0.478; 0.061; 0.00
  28;23 09 36.74;+60 24 19.15;18.201; 0.033;      ;      ; 1.600; 0.044;17.043; 0.001; 2.350; 0.016;  -3.214; 0.127;  -1.595; 0.114;   1.679; 0.083; 0.42
  29;23 09 36.77;+60 34 43.49;18.302; 0.032; 0.452; 0.081; 1.321; 0.040;17.833; 0.001; 1.825; 0.018;  -4.662; 0.164;  -6.169; 0.133;   0.312; 0.101; 0.00
  30;23 09 36.87;+60 24 47.98;17.287; 0.015; 1.263; 0.055; 1.361; 0.019;16.786; 0.001; 1.760; 0.010;  -5.731; 0.100;  -5.758; 0.091;   0.850; 0.065; 0.00
  31;23 09 37.41;+60 29 19.99;12.269; 0.003; 1.986; 0.005; 2.262; 0.003;11.007; 0.001; 2.810; 0.004;  -2.714; 0.082;  -1.213; 0.072;   0.353; 0.052; 0.00
  32;23 09 37.59;+60 38 42.80;18.793; 0.051;      ;      ; 1.231; 0.062;18.058; 0.001; 1.788; 0.025;  -5.276; 0.189;  -3.687; 0.162;   0.459; 0.110; 0.00
  33;23 09 37.74;+60 27 01.46;16.581; 0.009; 1.303; 0.037; 1.591; 0.012;15.768; 0.001; 2.270; 0.008;  19.089; 0.074;   2.640; 0.061;   4.089; 0.043; 0.00
  34;23 09 38.11;+60 38 28.94;19.980; 0.142;      ;      ; 1.584; 0.288;      ;      ;      ;      ;        ;      ;        ;      ;        ;      ; 0.00
  35;23 09 38.19;+60 37 34.89;15.595; 0.005; 0.250; 0.009; 1.290; 0.006;15.159; 0.000; 1.778; 0.003;  -3.667; 0.038;  -2.327; 0.036;   0.300; 0.023; 0.96
  36;23 09 38.21;+60 44 23.51;15.042; 0.003; 0.364; 0.006; 0.961; 0.004;14.796; 0.000; 1.311; 0.002;  -2.286; 0.034;   0.094; 0.030;   0.547; 0.020; 0.00
  37;23 09 38.28;+60 39 30.42;18.471; 0.037; 0.579; 0.098; 1.247; 0.045;18.010; 0.001; 1.651; 0.028;  -1.973; 0.179;  -2.335; 0.150;   0.498; 0.105; 0.01
  38;23 09 38.45;+60 26 29.59;17.694; 0.022;      ;      ; 2.754; 0.083;15.889; 0.001; 3.398; 0.013;  -1.883; 0.109;  -2.331; 0.095;   0.139; 0.072; 0.00
  39;23 09 38.58;+60 43 28.77;18.713; 0.050;      ;      ; 0.877; 0.056;17.777; 0.001; 1.819; 0.028;   3.418; 0.194;  -0.611; 0.164;   0.674; 0.098; 0.00
  40;23 09 38.74;+60 35 51.38;16.972; 0.011; 0.636; 0.025; 1.172; 0.014;16.632; 0.001; 1.577; 0.006;   2.435; 0.082;  -0.269; 0.071;   0.438; 0.049; 0.00
  41;23 09 38.74;+60 25 50.53;17.070; 0.012; 0.574; 0.023; 0.975; 0.014;16.775; 0.002; 1.374; 0.009;  -3.804; 0.111;  -1.661; 0.093;   0.306; 0.068; 0.45
  42;23 09 39.17;+60 39 12.99;17.589; 0.018; 0.995; 0.078; 1.600; 0.024;16.657; 0.001; 2.378; 0.010;   2.462; 0.084;  -5.175; 0.072;   2.896; 0.052; 0.00
  43;23 09 39.39;+60 39 36.48;15.852; 0.005; 0.657; 0.012; 1.143; 0.007;15.608; 0.000; 1.470; 0.005;   9.619; 0.051;  -7.361; 0.043;   1.099; 0.031; 0.00
  44;23 09 39.55;+60 39 51.21;17.983; 0.026;      ;      ; 2.331; 0.080;16.281; 0.001; 3.247; 0.014;  -3.045; 0.095;  -2.118; 0.084;   0.221; 0.057; 0.48
  45;23 09 39.56;+60 43 13.05;15.918; 0.006; 0.789; 0.013; 1.163; 0.007;15.692; 0.001; 1.418; 0.004;   0.131; 0.052;  -7.972; 0.049;   1.144; 0.029; 0.00
  46;23 09 39.62;+60 28 26.22;17.844; 0.022; 0.418; 0.056; 1.365; 0.028;17.402; 0.001; 1.706; 0.014;  -1.196; 0.144;  -0.969; 0.123;   0.141; 0.089; 0.00
  47;23 09 39.66;+60 29 48.42;16.444; 0.008; 0.911; 0.022; 1.336; 0.010;16.034; 0.001; 1.715; 0.006;  -3.829; 0.065;  -3.274; 0.057;   0.323; 0.040; 0.00
  48;23 09 39.95;+60 42 20.21;18.014; 0.026; 0.844; 0.093; 1.278; 0.033;17.790; 0.001; 1.613; 0.014;  -7.366; 0.163;  -4.743; 0.135;   0.516; 0.092; 0.00
  49;23 09 39.99;+60 44 18.84;17.237; 0.014; 0.905; 0.038; 1.234; 0.017;16.999; 0.001; 1.533; 0.025;  -3.164; 0.099;  -6.252; 0.087;   0.781; 0.058; 0.00
  50;23 09 40.18;+60 37 39.68;18.231; 0.030; 0.666; 0.076; 1.130; 0.036;17.732; 0.001; 1.672; 0.019;  -4.075; 0.148;  -2.618; 0.128;   0.417; 0.088; 0.88
  51;23 09 40.57;+60 34 22.72;18.441; 0.036;      ;      ; 1.568; 0.048;17.826; 0.001; 1.831; 0.021;  -3.232; 0.177;  -2.555; 0.143;   0.465; 0.107; 0.96
  52;23 09 40.89;+60 38 56.71;15.008; 0.003; 1.543; 0.016; 1.754; 0.005;14.333; 0.000; 2.081; 0.005;  -4.514; 0.031;  -3.246; 0.028;   0.445; 0.019; 0.00
  53;23 09 40.99;+60 25 43.84;18.131; 0.030;      ;      ; 1.411; 0.038;17.586; 0.001; 1.810; 0.013;  -3.667; 0.167;  -3.746; 0.144;   0.578; 0.107; 0.00
  54;23 09 41.29;+60 31 13.95;15.320; 0.004; 0.304; 0.008; 1.153; 0.005;14.909; 0.000; 1.679; 0.002;  -4.281; 0.137;  -2.183; 0.113;   0.721; 0.085; 0.63
  55;23 09 41.69;+60 41 40.68; 9.096; 0.001; 1.745; 0.001; 0.238; 0.001;10.098; 0.006; 0.068; 0.082; -10.264; 0.614;  -7.596; 0.548;   3.287; 0.301; 0.00
  56;23 09 41.75;+60 30 42.35;17.560; 0.017; 0.811; 0.052; 1.263; 0.021;17.181; 0.002; 1.648; 0.015;  -1.983; 0.123;  -2.025; 0.101;   1.057; 0.078; 0.00
  57;23 09 41.87;+60 32 22.17;18.234; 0.030; 0.854; 0.104; 1.360; 0.038;17.824; 0.001; 1.709; 0.019;  -5.684; 0.165;  -0.168; 0.142;   0.457; 0.113; 0.00
  58;23 09 41.92;+60 26 19.18;15.027; 0.003; 1.280; 0.014; 1.760; 0.005;14.282; 0.000; 2.171; 0.004;  -2.537; 0.044;  -2.632; 0.041;   0.377; 0.027; 0.00
  59;23 09 41.99;+60 39 19.28;15.213; 0.004; 0.406; 0.007; 1.032; 0.005;14.965; 0.000; 1.387; 0.003;   2.522; 0.039;  -1.544; 0.035;   0.706; 0.024; 0.00
  60;23 09 42.03;+60 28 15.20;17.618; 0.018; 0.439; 0.041; 1.196; 0.022;17.151; 0.001; 1.697; 0.011;  -5.517; 0.126;  -2.100; 0.109;   0.432; 0.078; 0.00
  61;23 09 42.03;+60 41 06.07;16.419; 0.008; 0.506; 0.017; 1.051; 0.012;16.201; 0.001; 1.393; 0.006;  -2.799; 0.070;  -1.782; 0.063;   0.333; 0.041; 0.01
  62;23 09 42.28;+60 43 12.57;17.724; 0.020; 0.795; 0.058; 1.202; 0.024;17.344; 0.001; 1.609; 0.011;  -4.786; 0.147;  -3.759; 0.108;   0.596; 0.075; 0.00
  63;23 09 42.47;+60 40 09.31;17.753; 0.020; 0.230; 0.052; 1.507; 0.026;17.411; 0.001; 1.612; 0.018;  -0.499; 0.124;  -3.669; 0.112;   0.400; 0.074; 0.00
  64;23 09 42.51;+60 37 33.95;17.300; 0.014; 0.721; 0.040; 1.423; 0.018;16.877; 0.001; 1.851; 0.010;  -4.541; 0.092;  -1.902; 0.085;   0.414; 0.054; 0.04
  65;23 09 42.59;+60 24 20.42;12.286; 0.003; 0.106; 0.002; 0.488; 0.003;12.206; 0.000; 0.750; 0.002;   0.626; 0.312;  -2.808; 0.304;   0.997; 0.196; 0.00
  66;23 09 42.71;+60 35 54.09;18.560; 0.040;      ;      ; 1.184; 0.049;17.955; 0.001; 1.753; 0.028;   2.847; 0.183;   0.729; 0.155;   0.578; 0.108; 0.00
  67;23 09 42.86;+60 32 08.06;15.674; 0.005; 0.404; 0.010; 1.288; 0.006;15.153; 0.000; 1.874; 0.004;  -3.967; 0.041;  -1.382; 0.035;   0.261; 0.025; 0.00
  68;23 09 43.24;+60 29 52.51;17.841; 0.022; 0.699; 0.063; 1.254; 0.027;17.395; 0.001; 1.653; 0.015;  -1.732; 0.149;  -2.002; 0.126;   0.455; 0.093; 0.00
  69;23 09 43.30;+60 32 40.45;17.841; 0.021; 0.455; 0.063; 1.525; 0.028;17.162; 0.001; 2.073; 0.018;  -2.079; 0.111;  -1.693; 0.092;   0.308; 0.069; 0.00
  70;23 09 43.49;+60 39 59.79;15.769; 0.005; 0.740; 0.013; 1.122; 0.008;15.534; 0.001; 1.442; 0.004;  -4.070; 0.049;  -4.715; 0.044;   1.037; 0.030; 0.00
  71;23 09 43.88;+60 34 17.61;18.010; 0.024; 0.525; 0.056; 1.118; 0.030;17.552; 0.001; 1.648; 0.012;  -0.137; 0.139;  -0.936; 0.117;   0.390; 0.084; 0.00
  72;23 09 44.17;+60 35 08.19;17.736; 0.019; 0.442; 0.045; 1.213; 0.023;17.368; 0.001; 1.600; 0.013;   0.112; 0.126;  -1.506; 0.106;   0.292; 0.078; 0.00
  73;23 09 44.17;+60 25 00.36;15.361; 0.004; 0.481; 0.007; 0.963; 0.005;15.175; 0.000; 1.253; 0.003;  33.982; 0.048;  16.546; 0.042;   1.321; 0.030; 0.00
  74;23 09 44.20;+60 30 07.93;18.766; 0.049; 0.410; 0.100; 1.057; 0.058;18.085; 0.001; 1.681; 0.027;  -1.442; 0.207;  -3.164; 0.168;   0.388; 0.125; 0.00
  75;23 09 44.35;+60 39 57.36;16.200; 0.007; 1.204; 0.037; 1.136; 0.011;15.889; 0.001; 1.555; 0.005;  -4.611; 0.055;  -1.281; 0.050;   0.427; 0.033; 0.00
  76;23 09 44.37;+60 39 48.88;16.457; 0.008; 1.592; 0.033; 1.340; 0.010;16.056; 0.001; 1.636; 0.005;  27.172; 0.064;   5.394; 0.057;   1.940; 0.038; 0.00
  77;23 09 44.48;+60 42 10.79;17.953; 0.025; 0.792; 0.106; 1.485; 0.049;17.597; 0.001; 1.632; 0.023; -10.593; 0.146;  -7.166; 0.133;   0.438; 0.081; 0.00
  78;23 09 44.48;+60 37 28.68;18.855; 0.052;      ;      ; 1.082; 0.061;18.105; 0.002; 1.799; 0.021;  -3.025; 0.191;  -1.524; 0.164;   0.475; 0.116; 0.47
  79;23 09 44.66;+60 33 42.98;16.647; 0.009; 0.895; 0.023; 1.233; 0.011;16.265; 0.001; 1.582; 0.008;  -0.882; 0.071;  -1.667; 0.058;   0.602; 0.042; 0.00
  80;23 09 44.79;+60 30 38.72;15.272; 0.004; 0.376; 0.007; 0.975; 0.005;15.093; 0.000; 1.255; 0.002;   2.843; 0.041;   1.884; 0.035;   1.127; 0.025; 0.00
  81;23 09 44.83;+60 26 16.33;18.076; 0.028;      ;      ; 1.441; 0.036;17.362; 0.001; 2.020; 0.012;   1.805; 0.170;   1.266; 0.142;   0.845; 0.108; 0.00
  82;23 09 44.96;+60 40 11.50;18.204; 0.030;      ;      ; 1.568; 0.040;17.484; 0.001; 1.973; 0.015;  -2.062; 0.133;   8.769; 0.113;   1.128; 0.078; 0.00
  83;23 09 44.98;+60 38 59.16;15.770; 0.005; 0.839; 0.013; 1.360; 0.007;15.359; 0.000; 1.665; 0.004;  -5.127; 0.044;  -3.510; 0.041;   0.344; 0.027; 0.00
  84;23 09 45.00;+60 36 52.13;18.151; 0.027; 0.314; 0.061; 1.247; 0.034;17.703; 0.001; 1.677; 0.020;   1.376; 0.157;   4.433; 0.137;   0.506; 0.089; 0.00
  85;23 09 45.04;+60 30 12.27;17.607; 0.018; 1.066; 0.058; 1.164; 0.022;17.101; 0.001; 1.600; 0.010;   0.348; 0.113;  -2.280; 0.093;   0.910; 0.067; 0.00
  86;23 09 45.40;+60 38 23.26;17.845; 0.021; 0.674; 0.053; 1.140; 0.025;17.425; 0.001; 1.602; 0.013;  -4.318; 0.126;   0.074; 0.109;   0.148; 0.077; 0.00
  87;23 09 45.44;+60 34 58.32;15.887; 0.005; 0.948; 0.014; 1.265; 0.007;15.626; 0.001; 1.477; 0.004;   3.332; 0.053;  -7.093; 0.045;   1.053; 0.031; 0.00
  88;23 09 45.45;+60 33 21.26;17.850; 0.022; 0.938; 0.095; 1.574; 0.030;17.167; 0.001; 2.107; 0.011;  -1.391; 0.121;  -2.125; 0.102;   0.225; 0.074; 0.00
  89;23 09 45.79;+60 34 45.32;18.989; 0.059;      ;      ; 1.638; 0.081;18.093; 0.002; 2.114; 0.033;  -3.750; 0.228;  -2.902; 0.176;   0.273; 0.136; 0.65
  90;23 09 45.82;+60 29 04.23;18.396; 0.035; 0.521; 0.085; 1.204; 0.042;17.807; 0.002; 1.710; 0.028;  -1.752; 0.193;  -1.080; 0.162;   0.512; 0.117; 0.00
  91;23 09 45.93;+60 42 44.98;15.513; 0.004; 1.308; 0.015; 1.317; 0.006;15.433; 0.000; 1.582; 0.011;  11.059; 0.045;  -4.230; 0.039;   2.156; 0.026; 0.00
  92;23 09 46.00;+60 38 51.68;17.692; 0.019; 0.695; 0.056; 1.345; 0.024;17.252; 0.001; 1.656; 0.013;   7.536; 0.196;  -1.622; 0.185;   0.413; 0.119; 0.00
  93;23 09 46.32;+60 31 26.22;17.131; 0.012; 0.453; 0.023; 1.048; 0.015;16.872; 0.001; 1.422; 0.009;  -4.937; 0.101;  -2.629; 0.082;   0.381; 0.061; 0.00
  94;23 09 46.33;+60 35 12.14;18.210; 0.028; 0.436; 0.062; 1.119; 0.034;17.707; 0.001; 1.694; 0.015;   0.573; 0.162;   0.982; 0.138;   0.328; 0.101; 0.00
