#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-15T04:47:24 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-15T04:47:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/124/1486/m4ubv&-order=I&-out=MKT&-out=Vmag&-out=e_Vmag&-out=B-V&-out=e_B-V&-out=U-B&-out=e_U-B&-out=Note&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51241486
#Name: J/AJ/124/1486
#Title: M4 UBV color-magnitude diagrams (Mochejska+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/aj/124/1486	    IVOID of underlying data collection
#INFO	creator=Mochejska B.J.	    First author or institution
#INFO	cites=bibcode:2002AJ....124.1486M	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/124/1486	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51241486	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-04-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_124_1486_m4ubv:
#Name: J/AJ/124/1486/m4ubv
#Title: Astrometry and UBV photometry for 12121 stars in M4
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	MKT	(I5)	Sequential number, Cl* NGC 6121 MKT NNNNN in Simbad	[ucd=meta.record]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	Note	(a14)	Hot subdwarf candidate (BN) or Variable (VNN) identification	[ucd=meta.note]
#Column	RAJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;MKT;Vmag;e_Vmag;B-V;e_B-V;U-B;e_U-B;Note;RAJ2000;DEJ2000
245.80763500;-26.57573000;   36;17.609; 0.003; 0.975; 0.006; 0.313; 0.013;              ;245.807635;-26.575730
245.80757806;-26.57901000;   37;19.506; 0.011; 1.146; 0.017;      ;      ;              ;245.807578;-26.579010
245.80877111;-26.52189000;   38;19.306; 0.010; 1.152; 0.019;      ;      ;              ;245.808771;-26.521890
245.80862806;-26.53924000;   39;18.905; 0.008; 1.017; 0.015;      ;      ;              ;245.808628;-26.539240
245.80914194;-26.51166000;   40;15.060; 0.006; 1.131; 0.011; 0.512; 0.009;              ;245.809142;-26.511660
245.80889111;-26.52735000;   41;17.505; 0.006; 0.881; 0.008; 0.130; 0.012;              ;245.808891;-26.527350
245.80886000;-26.53099000;   42;19.703; 0.015; 0.945; 0.022;      ;      ;              ;245.808860;-26.530990
245.80859806;-26.55522000;   43;18.493; 0.011; 1.026; 0.014;      ;      ;              ;245.808598;-26.555220
245.80824306;-26.57613000;   44;18.734; 0.006; 1.010; 0.010;      ;      ;              ;245.808243;-26.576130
245.80945306;-26.52085000;   45;19.307; 0.011; 1.162; 0.014;      ;      ;              ;245.809453;-26.520850
245.80862389;-26.56987000;   46;19.480; 0.012; 1.229; 0.015;      ;      ;              ;245.808624;-26.569870
245.80862389;-26.57076000;   47;18.996; 0.009; 1.211; 0.012;      ;      ;              ;245.808624;-26.570760
245.81036111;-26.47527000;   48;19.658; 0.016; 1.281; 0.019;      ;      ;              ;245.810361;-26.475270
245.81000389;-26.49656000;   49;18.836; 0.009; 1.083; 0.011;      ;      ;              ;245.810004;-26.496560
245.80979194;-26.51129000;   50;17.850; 0.010; 0.953; 0.014;      ;      ;              ;245.809792;-26.511290
245.81013194;-26.49377000;   51;19.219; 0.008; 1.149; 0.011;      ;      ;              ;245.810132;-26.493770
245.80992694;-26.51020000;   52;13.483; 0.005; 0.455; 0.006; 0.366; 0.008;              ;245.809927;-26.510200
245.80966611;-26.52634000;   53;19.543; 0.011; 1.233; 0.014;      ;      ;              ;245.809666;-26.526340
245.81047111;-26.48528000;   54;18.087; 0.006; 1.260; 0.007;      ;      ;              ;245.810471;-26.485280
245.80896389;-26.57025000;   55;19.495; 0.011; 1.195; 0.014;      ;      ;              ;245.808964;-26.570250
245.81112306;-26.45706000;   57;17.339; 0.005; 0.887; 0.006; 0.145; 0.011;              ;245.811123;-26.457060
245.80993694;-26.52331000;   58;19.679; 0.014; 1.251; 0.018; 0.763; 0.037;              ;245.809937;-26.523310
245.80963194;-26.54094000;   59;19.722; 0.012; 1.256; 0.017;      ;      ;              ;245.809632;-26.540940
245.81098806;-26.46747000;   60;19.972; 0.012; 1.319; 0.016; 1.127; 0.060;              ;245.810988;-26.467470
245.81077889;-26.48081000;   61;22.175; 0.034; 1.691; 0.096;      ;      ;              ;245.810779;-26.480810
245.80984111;-26.53374000;   62;19.181; 0.008; 1.103; 0.011; 0.543; 0.024;              ;245.809841;-26.533740
245.81035500;-26.50622000;   65;20.386; 0.013; 1.065; 0.018; 0.510; 0.043;              ;245.810355;-26.506220
245.80887806;-26.58974000;   66;20.453; 0.015; 1.401; 0.021; 1.822; 0.219;              ;245.808878;-26.589740
245.80979694;-26.54157000;   67;22.755; 0.048; 1.027; 0.100;      ;      ;              ;245.809797;-26.541570
245.81055194;-26.50124000;   68;17.266; 0.004; 0.874; 0.005; 0.137; 0.005;              ;245.810552;-26.501240
245.80965500;-26.55156000;   72;16.818; 0.004; 0.846; 0.004; 0.145; 0.004;              ;245.809655;-26.551560
245.81069611;-26.49520000;   75;18.207; 0.004; 0.961; 0.005; 0.243; 0.008;              ;245.810696;-26.495200
245.81103806;-26.47645000;   76;20.198; 0.011; 1.320; 0.017; 1.182; 0.068;              ;245.811038;-26.476450
245.80972889;-26.55052000;   78;20.308; 0.011; 1.396; 0.019; 1.061; 0.078;              ;245.809729;-26.550520
245.81138694;-26.45907000;   79;20.072; 0.016; 0.931; 0.019; 0.287; 0.030;              ;245.811387;-26.459070
245.81100111;-26.48165000;   83;20.105; 0.008; 1.342; 0.015; 1.089; 0.078;              ;245.811001;-26.481650
245.81121611;-26.47059000;   84;20.463; 0.010; 1.426; 0.020;      ;      ;              ;245.811216;-26.470590
245.81112500;-26.47720000;   88;18.473; 0.005; 0.999; 0.007; 0.304; 0.012;              ;245.811125;-26.477200
245.81037889;-26.52053000;   91;20.652; 0.015; 1.502; 0.029;      ;      ;              ;245.810379;-26.520530
245.80955000;-26.56636000;   93;20.159; 0.010; 1.516; 0.020;      ;      ;              ;245.809550;-26.566360
245.81104389;-26.48469000;   94;21.161; 0.025; 1.690; 0.048;      ;      ;              ;245.811044;-26.484690
245.81168194;-26.44981000;   95;18.066; 0.006; 0.952; 0.008; 0.198; 0.017;              ;245.811682;-26.449810
245.81003611;-26.54368000;   98;19.366; 0.016; 1.225; 0.020; 0.806; 0.025;              ;245.810036;-26.543680
245.81109000;-26.48624000;  102;17.032; 0.004; 0.866; 0.004; 0.147; 0.005;              ;245.811090;-26.486240
245.80971111;-26.56255000;  105;17.357; 0.004; 0.876; 0.004; 0.153; 0.006;              ;245.809711;-26.562550
245.80976500;-26.55968000;  106;20.156; 0.010; 1.337; 0.017; 1.044; 0.063;              ;245.809765;-26.559680
245.80996611;-26.54899000;  107;18.123; 0.005; 0.932; 0.006; 0.231; 0.009;              ;245.809966;-26.548990
245.81018389;-26.53887000;  109;20.247; 0.009; 1.366; 0.015; 0.963; 0.059;              ;245.810184;-26.538870
245.81124806;-26.48016000;  110;21.317; 0.019; 1.685; 0.044;      ;      ;              ;245.811248;-26.480160
245.80971194;-26.56585000;  111;20.907; 0.011; 1.615; 0.032;      ;      ;              ;245.809712;-26.565850
245.81089111;-26.50139000;  113;16.634; 0.004; 0.862; 0.005; 0.133; 0.005;              ;245.810891;-26.501390
245.81020611;-26.53960000;  115;21.409; 0.022; 1.223; 0.043;      ;      ;              ;245.810206;-26.539600
245.81035694;-26.53260000;  117;19.671; 0.007; 1.245; 0.013; 0.819; 0.036;              ;245.810357;-26.532600
245.81094500;-26.50216000;  120;16.595; 0.005; 0.865; 0.005; 0.164; 0.005;              ;245.810945;-26.502160
245.81063694;-26.52549000;  125;21.527; 0.025; 0.962; 0.041; 0.110; 0.076;              ;245.810637;-26.525490
245.81060889;-26.52721000;  126;20.556; 0.013; 1.454; 0.022; 1.156; 0.093;              ;245.810609;-26.527210
245.80975611;-26.57643000;  128;19.978; 0.012; 1.291; 0.017; 0.969; 0.063;              ;245.809756;-26.576430
245.81016806;-26.55405000;  129;21.419; 0.016; 1.856; 0.067;      ;      ;              ;245.810168;-26.554050
245.81149111;-26.48260000;  130;21.379; 0.017; 1.644; 0.036;      ;      ;              ;245.811491;-26.482600
245.81063389;-26.53006000;  132;18.841; 0.006; 1.033; 0.008; 0.419; 0.019;              ;245.810634;-26.530060
245.80985889;-26.57284000;  136;16.931; 0.004; 0.862; 0.004; 0.169; 0.006;              ;245.809859;-26.572840
245.81082889;-26.52182000;  137;21.318; 0.031; 1.745; 0.065;      ;      ;              ;245.810829;-26.521820
245.80960806;-26.59165000;  141;19.908; 0.012; 1.295; 0.017; 1.174; 0.070;              ;245.809608;-26.591650
245.81054111;-26.54228000;  143;18.567; 0.005; 0.999; 0.006; 0.341; 0.013;              ;245.810541;-26.542280
245.81077389;-26.53353000;  149;18.062; 0.005; 0.957; 0.006; 0.189; 0.009;              ;245.810774;-26.533530
245.81162306;-26.48716000;  151;21.424; 0.024; 0.945; 0.037; 0.317; 0.071;              ;245.811623;-26.487160
245.81067306;-26.54100000;  152;18.905; 0.007; 1.074; 0.010; 0.417; 0.018;              ;245.810673;-26.541000
245.81230194;-26.45123000;  153;18.570; 0.005; 1.024; 0.012; 0.404; 0.021;              ;245.812302;-26.451230
245.81193000;-26.47271000;  154;16.714; 0.003; 1.055; 0.004; 0.533; 0.005;              ;245.811930;-26.472710
245.81239389;-26.45097000;  158;19.364; 0.010; 1.149; 0.019; 0.609; 0.035;              ;245.812394;-26.450970
245.81180194;-26.48468000;  161;17.698; 0.005; 0.916; 0.006; 0.166; 0.008;              ;245.811802;-26.484680
245.81065194;-26.54957000;  162;22.187; 0.038; 1.618; 0.091;      ;      ;              ;245.810652;-26.549570
245.81079806;-26.54333000;  164;20.240; 0.012; 1.360; 0.017; 1.143; 0.080;              ;245.810798;-26.543330
245.81155694;-26.50164000;  165;19.039; 0.007; 1.094; 0.012; 0.495; 0.022;              ;245.811557;-26.501640
245.81120889;-26.52221000;  166;17.378; 0.005; 0.884; 0.005; 0.145; 0.006;              ;245.811209;-26.522210
245.81209194;-26.47521000;  172;17.065; 0.003; 0.867; 0.004; 0.154; 0.004;              ;245.812092;-26.475210
245.81218111;-26.47216000;  174;19.564; 0.011; 1.198; 0.017; 0.818; 0.040;              ;245.812181;-26.472160
245.81128889;-26.52612000;  178;20.781; 0.014; 1.513; 0.032;      ;      ;              ;245.811289;-26.526120
245.81051500;-26.56959000;  180;18.346; 0.006; 0.975; 0.007; 0.291; 0.012;              ;245.810515;-26.569590
245.81079611;-26.55554000;  182;18.107; 0.004; 0.933; 0.005; 0.230; 0.009;              ;245.810796;-26.555540
245.81009889;-26.59404000;  183;19.704; 0.010; 1.244; 0.014; 0.904; 0.046;              ;245.810099;-26.594040
245.81258389;-26.45794000;  186;18.364; 0.006; 0.994; 0.008; 0.296; 0.012;              ;245.812584;-26.457940
245.81055111;-26.57124000;  189;18.876; 0.007; 1.043; 0.013; 0.453; 0.017;              ;245.810551;-26.571240
245.81118306;-26.53776000;  191;19.903; 0.009; 1.162; 0.014; 0.590; 0.030;              ;245.811183;-26.537760
245.81233389;-26.47613000;  193;17.019; 0.004; 0.856; 0.005; 0.147; 0.005;              ;245.812334;-26.476130
245.81136806;-26.52967000;  196;21.848; 0.022; 1.698; 0.066;      ;      ;              ;245.811368;-26.529670
245.81211611;-26.48986000;  197;17.501; 0.004; 0.878; 0.005; 0.159; 0.008;              ;245.812116;-26.489860
245.81210111;-26.49220000;  201;20.443; 0.012; 1.102; 0.019; 0.449; 0.054;              ;245.812101;-26.492200
245.81049306;-26.58049000;  202;19.570; 0.009; 1.208; 0.012; 0.760; 0.032;              ;245.810493;-26.580490
245.81152694;-26.52437000;  204;16.585; 0.004; 0.870; 0.004; 0.151; 0.005;              ;245.811527;-26.524370
245.81091500;-26.56150000;  208;17.708; 0.004; 0.885; 0.004; 0.173; 0.006;              ;245.810915;-26.561500
245.81231000;-26.48510000;  209;20.869; 0.017; 1.077; 0.029; 0.380; 0.068;              ;245.812310;-26.485100
245.81121306;-26.54740000;  210;22.341; 0.047; 1.328; 0.094;      ;      ;              ;245.811213;-26.547400
245.81159806;-26.52676000;  211;21.026; 0.015; 1.623; 0.033; 1.276; 0.242;              ;245.811598;-26.526760
245.81049889;-26.58782000;  212;20.277; 0.011; 1.343; 0.020; 1.320; 0.084;              ;245.810499;-26.587820
245.81211389;-26.50023000;  216;16.433; 0.005; 0.923; 0.006; 0.188; 0.006;              ;245.812114;-26.500230
245.81235889;-26.48858000;  220;16.840; 0.004; 0.852; 0.004; 0.160; 0.005;              ;245.812359;-26.488580
245.81256500;-26.47967000;  226;21.874; 0.021; 1.858; 0.085;      ;      ;              ;245.812565;-26.479670
245.81213111;-26.50506000;  229;20.129; 0.010; 0.792; 0.014; 0.325; 0.024;              ;245.812131;-26.505060
245.81156389;-26.53670000;  230;18.223; 0.004; 0.952; 0.005; 0.192; 0.007;              ;245.811564;-26.536700
245.81315111;-26.44923000;  232;18.891; 0.008; 1.097; 0.012;      ;      ;              ;245.813151;-26.449230
245.81155306;-26.53819000;  233;20.299; 0.012; 1.359; 0.019; 0.995; 0.061;              ;245.811553;-26.538190
245.81261889;-26.48054000;  234;20.391; 0.011; 1.413; 0.019; 1.259; 0.124;              ;245.812619;-26.480540
245.81168194;-26.53389000;  235;20.998; 0.019; 1.568; 0.033;      ;      ;              ;245.811682;-26.533890
245.81117389;-26.56230000;  237;21.367; 0.020; 1.546; 0.043;      ;      ;              ;245.811174;-26.562300
245.81187806;-26.52471000;  238;19.490; 0.010; 1.170; 0.020; 0.779; 0.040;              ;245.811878;-26.524710
245.81108889;-26.56961000;  241;17.861; 0.005; 0.904; 0.006; 0.192; 0.008;              ;245.811089;-26.569610
245.81261500;-26.48593000;  242;19.957; 0.009; 1.299; 0.015; 0.957; 0.058;              ;245.812615;-26.485930
245.81295000;-26.47001000;  246;21.510; 0.019; 1.605; 0.042;      ;      ;              ;245.812950;-26.470010
245.81122694;-26.56645000;  249;21.182; 0.017; 1.614; 0.037;      ;      ;              ;245.811227;-26.566450
245.81108000;-26.57517000;  250;22.273; 0.038; 1.174; 0.071;      ;      ;              ;245.811080;-26.575170
245.81254306;-26.49583000;  252;16.988; 0.005; 0.856; 0.006; 0.153; 0.006;              ;245.812543;-26.495830
245.81195000;-26.53145000;  257;21.004; 0.015; 1.597; 0.036;      ;      ;              ;245.811950;-26.531450
245.81331306;-26.45866000;  259;20.375; 0.014; 1.403; 0.021; 1.136; 0.091;              ;245.813313;-26.458660
245.81143389;-26.56365000;  263;17.307; 0.004; 0.853; 0.004; 0.150; 0.007;              ;245.811434;-26.563650
245.81115389;-26.58082000;  265;19.291; 0.008; 1.141; 0.011; 0.602; 0.023;              ;245.811154;-26.580820
245.81253500;-26.50669000;  267;18.515; 0.005; 1.006; 0.007; 0.335; 0.012;              ;245.812535;-26.506690
245.81327000;-26.46588000;  269;22.079; 0.037; 1.664; 0.093;      ;      ;              ;245.813270;-26.465880
245.81132389;-26.57327000;  271;17.868; 0.005; 0.918; 0.006; 0.179; 0.007;              ;245.811324;-26.573270
245.81114194;-26.58560000;  274;18.657; 0.007; 1.023; 0.008; 0.368; 0.016;              ;245.811142;-26.585600
245.81189889;-26.54475000;  276;17.368; 0.004; 0.842; 0.004; 0.130; 0.005;              ;245.811899;-26.544750
245.81156306;-26.56476000;  278;18.227; 0.005; 0.963; 0.006; 0.249; 0.009;              ;245.811563;-26.564760
245.81215694;-26.53317000;  279;21.362; 0.016; 1.771; 0.053;      ;      ;              ;245.812157;-26.533170
245.81285000;-26.49588000;  281;19.118; 0.011; 1.126; 0.017;      ;      ;              ;245.812850;-26.495880
245.81291306;-26.49317000;  284;22.034; 0.028; 1.918; 0.095;      ;      ;              ;245.812913;-26.493170
245.81130306;-26.58367000;  286;17.810; 0.004; 0.913; 0.005; 0.167; 0.008;              ;245.811303;-26.583670
245.81207611;-26.54181000;  288;18.245; 0.005; 0.957; 0.006; 0.231; 0.009;              ;245.812076;-26.541810
245.81321000;-26.47931000;  291;22.209; 0.040; 1.918; 0.109;      ;      ;              ;245.813210;-26.479310
245.81279111;-26.50265000;  292;19.549; 0.008; 1.220; 0.012; 0.807; 0.036;              ;245.812791;-26.502650
245.81164000;-26.56687000;  293;21.007; 0.015; 1.594; 0.034;      ;      ;              ;245.811640;-26.566870
245.81166306;-26.56617000;  294;21.910; 0.023; 1.134; 0.048;      ;      ;              ;245.811663;-26.566170
245.81342611;-26.46931000;  295;18.319; 0.005; 0.987; 0.007; 0.263; 0.011;              ;245.813426;-26.469310
245.81242194;-26.52785000;  301;18.719; 0.006; 1.043; 0.008; 0.371; 0.014;              ;245.812422;-26.527850
245.81227389;-26.53615000;  302;21.263; 0.020; 0.981; 0.032; 0.290; 0.074;              ;245.812274;-26.536150
245.81129694;-26.59026000;  304;13.249; 0.003; 0.975; 0.005; 0.366; 0.005;              ;245.811297;-26.590260
245.81243306;-26.53088000;  307;17.776; 0.004; 0.901; 0.005; 0.167; 0.007;              ;245.812433;-26.530880
245.81394500;-26.44928000;  309;20.021; 0.014; 0.972; 0.018;      ;      ;              ;245.813945;-26.449280
245.81225000;-26.54416000;  311;18.792; 0.006; 1.058; 0.008; 0.433; 0.013;              ;245.812250;-26.544160
245.81287000;-26.51065000;  312;22.186; 0.033; 1.124; 0.060;      ;      ;              ;245.812870;-26.510650
245.81304389;-26.50111000;  313;19.742; 0.011; 1.267; 0.020;      ;      ;              ;245.813044;-26.501110
245.81234306;-26.53999000;  315;17.502; 0.004; 0.864; 0.005; 0.137; 0.007;              ;245.812343;-26.539990
245.81290611;-26.50927000;  318;19.855; 0.010; 1.275; 0.014; 0.947; 0.042;              ;245.812906;-26.509270
245.81318889;-26.49402000;  319;20.968; 0.015; 1.054; 0.024; 0.363; 0.068;              ;245.813189;-26.494020
245.81379111;-26.46042000;  320;19.702; 0.009; 1.819; 0.017;      ;      ;              ;245.813791;-26.460420
245.81366500;-26.46859000;  323;16.463; 0.003; 0.901; 0.004; 0.190; 0.005;              ;245.813665;-26.468590
245.81363111;-26.47267000;  327;19.531; 0.007; 1.211; 0.010; 0.816; 0.031;              ;245.813631;-26.472670
245.81368389;-26.47045000;  329;20.727; 0.017; 1.509; 0.034;      ;      ;              ;245.813684;-26.470450
245.81313389;-26.50152000;  332;16.936; 0.004; 0.855; 0.004; 0.140; 0.005;              ;245.813134;-26.501520
245.81313306;-26.50211000;  334;18.710; 0.006; 1.054; 0.008; 0.377; 0.017;              ;245.813133;-26.502110
245.81206500;-26.56122000;  336;19.892; 0.008; 1.046; 0.013; 0.455; 0.033;              ;245.812065;-26.561220
245.81349889;-26.48307000;  338;22.789; 0.058; 0.874; 0.094;      ;      ;              ;245.813499;-26.483070
245.81172306;-26.58150000;  340;18.149; 0.005; 1.134; 0.006; 0.778; 0.012;              ;245.811723;-26.581500
