#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-10T23:59:19 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-10T23:59:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/349/1278/chip2&-order=I&-out=MPF&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Imag&-out=e_Imag&-out=xpos&-out=ypos&-out=RAdeg&-out=DEdeg&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73491278
#Name: J/MNRAS/349/1278
#Title: BVI photometry of M22 (Monaco+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/mnras/349/1278	    IVOID of underlying data collection
#INFO	creator=Monaco L.	    First author or institution
#INFO	cites=bibcode:2004MNRAS.349.1278M	    Article or Data origin sources
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/349/1278	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73491278	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-06-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_349_1278_chip2:
#Name: J/MNRAS/349/1278/chip2
#Title: *Photometry of stars in Chip #2
#Column	_RAJ2000	(F13.9)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F13.9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	MPF	(I5)	Star Sequencial Identifier, Cl* NGC 6656 MPF NNNN in Simbad	[ucd=meta.id;meta.main]
#Column	Bmag	(F6.3)	B-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	Formal DAOPHOT errors associated to the B-band magnitude	[ucd=stat.error]
#Column	Vmag	(F6.3)	V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Formal DAOPHOT errors associated to the V-band magnitude	[ucd=stat.error]
#Column	Imag	(F6.3)	I-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag	(F6.3)	Formal DAOPHOT errors associated to the I-band magnitude	[ucd=stat.error]
#Column	xpos	(F8.3)	x star coordinates in the pixel coordinate system	[ucd=pos.cartesian.x;instr.det]
#Column	ypos	(F8.3)	y star coordinates in the pixel coordinate system	[ucd=pos.cartesian.y;instr.det]
#Column	RAdeg	(F11.7)	Right Ascension J2000 (decimal degrees)	[ucd=pos.eq.ra;meta.main]
#Column	DEdeg	(F11.7)	Declination J2000 (decimal degrees)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;MPF;Bmag;e_Bmag;Vmag;e_Vmag;Imag;e_Imag;xpos;ypos;RAdeg;DEdeg
279.094579000;-23.902423100;   52;12.732; 0.011;12.120; 0.008;11.237; 0.012;1106.815;2147.567;279.0945790;-23.9024231
279.152307900;-23.791705900;   53; 0.000; 0.000;12.089; 0.011;10.394; 0.011; 304.913;3819.551;279.1523079;-23.7917059
279.112010200;-23.883951900;   54;13.522; 0.008;12.130; 0.010;10.524; 0.012; 865.282;2426.235;279.1120102;-23.8839519
279.064008400;-23.805344100;   55;13.507; 0.008;12.138; 0.007;10.561; 0.012;1526.968;3616.638;279.0640084;-23.8053441
279.083875800;-23.989265700;   56;13.569; 0.008;12.142; 0.007;10.590; 0.012;1257.160; 834.747;279.0838758;-23.9892657
279.046186400;-23.875997500;   57;13.588; 0.008;12.173; 0.007;10.528; 0.011;1775.179;2548.809;279.0461864;-23.8759975
279.068893700;-23.808251400;   58;13.541; 0.016;12.221; 0.014;10.733; 0.018;1459.457;3572.510;279.0688937;-23.8082514
279.089104300;-24.034937700;   59;13.803; 0.007;12.213; 0.007;10.488; 0.013;1186.209; 143.929;279.0891043;-24.0349377
279.108804900;-23.908946900;   60;13.658; 0.014;12.212; 0.011;10.679; 0.018; 910.352;2048.390;279.1088049;-23.9089469
279.083848000;-23.945999200;   61;13.642; 0.008;12.232; 0.007;10.604; 0.012;1256.357;1489.008;279.0838480;-23.9459992
279.110110400;-23.898870100;   62;13.659; 0.008;12.236; 0.007;10.612; 0.012; 892.000;2200.719;279.1101104;-23.8988701
279.036757700;-23.965097400;   63;13.715; 0.007;12.250; 0.007;10.664; 0.013;1907.542;1201.763;279.0367577;-23.9650974
279.102482700;-23.896706500;   64;13.682; 0.011;12.262; 0.010;10.625; 0.012; 997.385;2233.722;279.1024827;-23.8967065
279.109425100;-23.863340000;   65;13.572; 0.008;12.274; 0.007;10.751; 0.011; 900.402;2738.021;279.1094251;-23.8633400
279.147506000;-23.911085100;   66;13.678; 0.008;12.275; 0.007;10.734; 0.012; 375.446;2014.525;279.1475060;-23.9110851
279.110954300;-23.887905800;   67;13.607; 0.008;12.281; 0.007;10.719; 0.011; 880.001;2366.485;279.1109543;-23.8879058
279.133860200;-23.858720800;   68;13.755; 0.007;12.289; 0.007;10.606; 0.013; 562.354;2806.920;279.1338602;-23.8587208
279.050802600;-23.876360200;   69;13.699; 0.008;12.292; 0.007;10.660; 0.011;1711.359;2543.178;279.0508026;-23.8763602
279.119221400;-23.885618300;   70;13.682; 0.011;12.326; 0.007;10.741; 0.012; 765.632;2400.760;279.1192214;-23.8856183
279.032100400;-23.848727900;   71;13.749; 0.008;12.322; 0.010;10.634; 0.012;1969.348;2961.609;279.0321004;-23.8487279
279.167713600;-24.013740900;   72;13.728; 0.007;12.345; 0.007;10.747; 0.012;  99.856; 461.343;279.1677136;-24.0137409
279.045379700;-23.874209100;   73;13.783; 0.007;12.359; 0.007;10.845; 0.011;1786.291;2575.879;279.0453797;-23.8742091
279.061604900;-23.921004800;   74;13.691; 0.007;12.357; 0.007;10.809; 0.012;1563.116;1867.724;279.0616049;-23.9210048
279.145751300;-23.853987800;   75;13.770; 0.011;12.365; 0.010;10.741; 0.012; 397.754;2878.007;279.1457513;-23.8539878
279.085431700;-23.940112900;   76;13.722; 0.011;12.383; 0.007;10.795; 0.012;1234.308;1577.962;279.0854317;-23.9401129
279.101113600;-23.893019100;   77;13.788; 0.008;12.389; 0.011;10.787; 0.012;1016.204;2289.532;279.1011136;-23.8930191
279.140471500;-23.922886800;   78;13.734; 0.008;12.403; 0.007;10.832; 0.012; 473.080;1836.353;279.1404715;-23.9228868
279.113618700;-23.909961100;   79;13.781; 0.010;12.410; 0.007;10.797; 0.014; 843.840;2032.871;279.1136187;-23.9099611
279.136742900;-23.853026900;   80;13.718; 0.007;12.420; 0.007;10.892; 0.012; 522.302;2892.905;279.1367429;-23.8530269
279.103626500;-23.920208800;   81;13.460; 0.008;12.444; 0.007;11.163; 0.012; 982.268;1878.285;279.1036265;-23.9202088
279.030071200;-23.828219200;   82;13.829; 0.011;12.428; 0.008;10.797; 0.012;1996.967;3271.798;279.0300712;-23.8282192
279.127393800;-23.880131000;   83; 0.000; 0.000;12.441; 0.012;10.886; 0.013; 652.465;2483.418;279.1273938;-23.8801310
279.133230400;-23.888004800;   84;13.752; 0.008;12.441; 0.007;10.884; 0.012; 572.023;2364.120;279.1332304;-23.8880048
279.112923000;-23.886561000;   85;13.813; 0.011;12.460; 0.011;10.880; 0.012; 852.741;2386.746;279.1129230;-23.8865610
279.048755900;-23.797566100;   86;13.848; 0.007;12.473; 0.007;10.892; 0.011;1737.794;3734.753;279.0487559;-23.7975661
279.050616400;-23.947977100;   87;13.796; 0.007;12.479; 0.007;10.949; 0.012;1715.644;1460.215;279.0506164;-23.9479771
279.150219300;-23.837841700;   88;13.892; 0.011;12.483; 0.007;10.927; 0.012; 335.406;3121.979;279.1502193;-23.8378417
279.115491800;-23.996191500;   89;13.812; 0.008;12.500; 0.007;10.965; 0.012; 820.607; 728.854;279.1154918;-23.9961915
279.136760700;-23.905873300;   90;13.847; 0.008;12.526; 0.007;10.977; 0.012; 523.807;2093.776;279.1367607;-23.9058733
279.044929400;-23.832472900;   91;13.024; 0.011;12.580; 0.008;11.896; 0.009;1791.547;3207.019;279.0449294;-23.8324729
279.110747700;-23.964727600;   92;13.930; 0.007;12.577; 0.010;11.050; 0.014; 885.188;1204.820;279.1107477;-23.9647276
279.073604200;-23.951226400;   93;13.887; 0.008;12.582; 0.007;11.034; 0.013;1398.057;1410.320;279.0736042;-23.9512264
279.070174200;-23.870352600;   94;13.905; 0.007;12.598; 0.008;11.041; 0.012;1443.355;2633.384;279.0701742;-23.8703526
279.112966100;-23.893787500;   95;13.910; 0.011;12.605; 0.007;11.090; 0.012; 852.366;2277.467;279.1129661;-23.8937875
279.113123900;-23.938801700;   96;14.007; 0.007;12.609; 0.007;11.055; 0.014; 851.562;1596.771;279.1131239;-23.9388017
279.163100600;-23.792509600;   97;14.013; 0.008;12.609; 0.007;10.986; 0.011; 155.614;3806.939;279.1631006;-23.7925096
279.138237600;-23.940605600;   98;14.021; 0.011;12.613; 0.011;10.957; 0.014; 504.547;1568.506;279.1382376;-23.9406056
279.140697000;-23.860986200;   99;13.773; 0.010;12.663; 0.007;11.254; 0.012; 467.886;2772.386;279.1406970;-23.8609862
279.057410400;-23.924415300;  100;14.059; 0.007;12.663; 0.006;11.095; 0.013;1621.176;1816.289;279.0574104;-23.9244153
279.159816800;-23.900364400;  101;14.040; 0.008;12.672; 0.007;11.090; 0.013; 204.890;2176.121;279.1598168;-23.9003644
279.111224600;-23.918010800;  102;14.042; 0.007;12.673; 0.007;11.074; 0.012; 877.179;1911.236;279.1112246;-23.9180108
279.095431000;-23.909053900;  103;14.035; 0.008;12.674; 0.011;11.106; 0.012;1095.227;2047.267;279.0954310;-23.9090539
279.083983600;-23.931628400;  104;13.913; 0.007;12.680; 0.007;11.196; 0.011;1254.088;1706.312;279.0839836;-23.9316284
279.091109000;-23.879834700;  105;14.059; 0.007;12.700; 0.006;11.092; 0.011;1154.147;2489.267;279.0911090;-23.8798347
279.084696200;-23.915069100;  106;14.042; 0.011;12.709; 0.011;11.155; 0.012;1243.783;1956.692;279.0846962;-23.9150691
279.107293400;-23.909737400;  107;14.035; 0.011;12.711; 0.007;11.138; 0.014; 931.269;2036.492;279.1072934;-23.9097374
279.095905600;-23.822059300;  108;14.009; 0.007;12.747; 0.006;11.295; 0.013;1086.166;3362.760;279.0959056;-23.8220593
279.164848300;-23.890309300;  109;13.787; 0.011;12.757; 0.006;11.425; 0.011; 134.969;2327.956;279.1648483;-23.8903093
279.109336100;-23.875454700;  110;14.043; 0.011;12.747; 0.006;11.199; 0.012; 901.998;2554.829;279.1093361;-23.8754547
279.111270800;-23.856240800;  111;14.119; 0.007;12.751; 0.006;11.213; 0.012; 874.663;2845.303;279.1112708;-23.8562408
279.151337200;-23.900508700;  112;14.073; 0.007;12.752; 0.006;11.182; 0.013; 322.119;2174.298;279.1513372;-23.9005087
279.088303200;-23.843065400;  113;14.091; 0.007;12.760; 0.007;11.232; 0.012;1191.915;3045.385;279.0883032;-23.8430654
279.093656700;-23.906574800;  114;14.020; 0.019;12.778; 0.019;11.344; 0.017;1119.683;2084.819;279.0936567;-23.9065748
279.121402800;-23.885581900;  115;13.956; 0.008;12.779; 0.008;11.348; 0.012; 735.471;2401.226;279.1214028;-23.8855819
279.149949900;-23.888863200;  116;14.116; 0.007;12.778; 0.006;11.235; 0.013; 340.895;2350.455;279.1499499;-23.8888632
279.171931200;-23.925412200;  117;13.941; 0.007;12.799; 0.006;11.442; 0.012;  38.342;1796.833;279.1719312;-23.9254122
279.172819600;-23.889627300;  118;13.999; 0.008;12.790; 0.006;11.305; 0.012;  24.737;2337.922;279.1728196;-23.8896273
279.036308600;-23.902466500;  119;14.059; 0.007;12.796; 0.006;11.271; 0.013;1912.349;2148.859;279.0363086;-23.9024665
279.078328900;-23.916879900;  120;14.115; 0.007;12.797; 0.006;11.228; 0.012;1331.845;1929.532;279.0783289;-23.9168799
279.080628500;-23.906667400;  121;14.171; 0.008;12.806; 0.007;11.252; 0.012;1299.782;2083.882;279.0806285;-23.9066674
279.068739500;-23.920278800;  122;14.167; 0.008;12.815; 0.006;11.257; 0.012;1464.482;1878.464;279.0687395;-23.9202788
279.082253700;-23.868344900;  123;14.168; 0.008;12.819; 0.006;11.269; 0.012;1276.271;2663.328;279.0822537;-23.8683449
279.118922700;-23.903620300;  124;14.116; 0.007;12.833; 0.006;11.302; 0.012; 770.324;2128.551;279.1189227;-23.9036203
279.133773400;-23.905585900;  125;13.819; 0.007;12.852; 0.006;11.611; 0.013; 565.093;2098.242;279.1337734;-23.9055859
279.121282100;-23.800315100;  126;14.148; 0.011;12.838; 0.007;11.340; 0.012; 734.456;3690.618;279.1212821;-23.8003151
279.117155400;-23.936502200;  127;14.051; 0.011;12.861; 0.007;11.394; 0.012; 795.775;1631.389;279.1171554;-23.9365022
279.158994600;-23.984935600;  128;14.069; 0.007;12.862; 0.006;11.380; 0.014; 219.261; 897.301;279.1589946;-23.9849356
279.096805600;-23.776996800;  129;14.184; 0.008;12.862; 0.007;11.304; 0.012;1072.417;4044.158;279.0968056;-23.7769968
279.108690300;-23.913517700;  130;14.256; 0.012;12.864; 0.012;11.325; 0.015; 912.074;1979.276;279.1086903;-23.9135177
279.069764900;-23.927973700;  131;14.179; 0.008;12.869; 0.006;11.356; 0.013;1450.509;1762.070;279.0697649;-23.9279737
279.104717600;-23.890646800;  132;14.181; 0.007;12.896; 0.006;11.386; 0.012; 966.308;2325.271;279.1047176;-23.8906468
279.124735400;-23.966383000;  133;14.177; 0.011;12.896; 0.006;11.401; 0.014; 691.968;1179.248;279.1247354;-23.9663830
279.081397300;-23.933090200;  134;14.151; 0.011;12.907; 0.011;11.397; 0.013;1289.873;1684.299;279.0813973;-23.9330902
279.140334100;-23.909504000;  135;14.181; 0.007;12.914; 0.006;11.391; 0.013; 474.531;2038.728;279.1403341;-23.9095040
279.113863800;-23.876451300;  136;14.062; 0.011;12.924; 0.006;11.500; 0.012; 839.424;2539.587;279.1138638;-23.8764513
279.085169700;-23.888767200;  137;14.277; 0.010;12.958; 0.006;11.393; 0.012;1236.513;2354.405;279.0851697;-23.8887672
279.108162100;-23.811102800;  138;14.478; 0.006;12.962; 0.006;11.394; 0.012; 916.296;3527.989;279.1081621;-23.8111028
279.099099700;-23.915218100;  139;14.264; 0.012;12.967; 0.011;11.425; 0.012;1044.693;1953.919;279.0990997;-23.9152181
279.061914400;-23.855920400;  140;14.200; 0.011;12.979; 0.006;11.503; 0.011;1557.206;2851.901;279.0619144;-23.8559204
279.124204000;-23.911582500;  141;14.310; 0.007;13.003; 0.006;11.440; 0.013; 697.568;2007.943;279.1242040;-23.9115825
279.103839300;-23.901702400;  142;14.281; 0.011;13.006; 0.011;11.500; 0.013; 978.779;2158.124;279.1038393;-23.9017024
279.066007300;-23.970488200;  143;14.301; 0.007;13.007; 0.006;11.522; 0.012;1503.529;1119.307;279.0660073;-23.9704882
279.164251300;-23.792578800;  144; 0.000; 0.000;13.030; 0.012;11.484; 0.012; 139.695;3805.843;279.1642513;-23.7925788
279.067853100;-23.962992300;  145;13.934; 0.007;13.057; 0.006;11.977; 0.010;1477.833;1232.595;279.0678531;-23.9629923
279.062762100;-23.923815600;  146;14.299; 0.007;13.040; 0.006;11.540; 0.011;1547.192;1825.182;279.0627621;-23.9238156
279.051153600;-23.898777200;  147;14.254; 0.007;13.054; 0.007;11.629; 0.013;1707.043;2204.183;279.0511536;-23.8987772
279.089336200;-23.793865100;  148;14.340; 0.008;13.059; 0.006;11.558; 0.012;1176.248;3789.347;279.0893362;-23.7938651
279.090731500;-23.903598500;  149;13.784; 0.008;13.100; 0.006;12.124; 0.013;1160.036;2129.932;279.0907315;-23.9035985
279.073908700;-23.894040300;  150;14.410; 0.008;13.081; 0.007;11.576; 0.013;1392.341;2275.058;279.0739087;-23.8940403
279.123966500;-24.026330300;  151;14.563; 0.008;13.083; 0.006;11.523; 0.013; 704.495; 272.779;279.1239665;-24.0263303
279.095363100;-23.927372400;  152;14.357; 0.007;13.094; 0.006;11.579; 0.013;1096.691;1770.263;279.0953631;-23.9273724
279.056976600;-23.971761400;  153;14.298; 0.007;13.102; 0.006;11.636; 0.013;1628.335;1100.353;279.0569766;-23.9717614
279.128383700;-23.927508900;  154;14.399; 0.007;13.099; 0.007;11.547; 0.013; 640.305;1766.944;279.1283837;-23.9275089
279.086805500;-23.911018400;  155;14.276; 0.011;13.117; 0.007;11.681; 0.011;1214.515;2017.870;279.0868055;-23.9110184
279.105906600;-23.909779700;  156;14.426; 0.009;13.115; 0.007;11.610; 0.012; 950.441;2035.905;279.1059066;-23.9097797
