#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-11T00:58:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-11T00:58:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/382/899/table3&-order=I&-out=FBC&-out=IDT2&-out=Bmag&-out=Vmag&-out=Imag&-out=n_Imag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33820899
#Name: J/A+A/382/899
#Title: BVI photometry in M67 (Stassun+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/382/899	    IVOID of underlying data collection
#INFO	creator=Stassun K.G.	    First author or institution
#INFO	cites=bibcode:2002A&A...382..899S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/382/899	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33820899	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_382_899_table3:
#Name: J/A+A/382/899/table3
#Title: BVI photometry for all sources included in study
#Column	FBC	(I4)	? Star identification number as in table 1 (1)	[ucd=meta.id;meta.main]
#Column	IDT2	(A1)	Star identification as in table2 (1)	[ucd=meta.id;meta.main]
#Column	Bmag	(F5.2)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F5.2)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Imag	(F5.2)	? Cousins I or Gunn i magnitude (2)	[ucd=phot.mag;em.opt.I]
#Column	n_Imag	(I1)	[1]? 1: Cousins I magnitude, else Gunn i	[ucd=meta.code;instr.filter]
FBC;IDT2;Bmag;Vmag;Imag;n_Imag
2410; ;17.69;16.80;15.65;
2414; ;15.12;14.53;13.74;
2417; ;     ;     ;16.62;
2420; ;16.91;15.98;14.82;
2421; ;     ;     ;17.42;
2426; ;18.08;17.77;17.34;
2427; ;     ;     ;17.58;
2438; ;     ;18.09;16.24;
2441; ;     ;18.42;16.02;
2433; ;16.96;15.98;14.64;
2444; ;     ;17.89;16.18;
2448; ;     ;17.55;15.98;
2449; ;16.77;15.88;14.81;
2455; ;17.98;16.83;15.34;
2457; ;15.48;14.47;13.16;
2464; ;16.99;16.08;14.99;
2463; ;14.04;13.47;12.75;
2461; ;13.72;13.16;12.43;
2467; ;14.31;13.68;12.89;
2469; ;15.83;15.05;14.06;
2477; ;16.18;15.39;14.45;
2476; ;15.58;14.85;13.90;
2480; ;     ;     ;18.02;
    ;A;     ;     ;18.12;
2485; ;17.04;16.18;15.15;
2483; ;17.04;16.43;15.63;
2488; ;     ;18.46;17.25;
2491; ;14.53;13.96;13.24;
2494; ;14.20;13.64;12.93;
2492; ;17.74;16.65;15.23;
2495; ;13.24;12.73;12.09;
2504; ;15.70;15.02;14.10;
2505; ;15.25;14.59;13.76;
2509; ;14.76;14.15;13.38;
2514; ;     ;     ;17.01;
2516; ;16.32;15.51;14.52;
2517; ;15.00;14.30;13.45;
2519; ;15.89;15.14;14.23;
2526; ;14.25;13.70;12.99;
2530; ;13.37;12.81;12.10;
2528; ;18.10;17.36;16.44;
2527; ;     ;     ;16.70;
2539; ;     ;     ;16.84;
2544; ;     ;     ;18.15;
2542; ;     ;18.21;17.28;
2551; ;17.64;16.49;15.03;
2562; ;17.46;16.72;15.78;
2559; ;14.65;14.06;13.30;
2555; ;17.52;16.51;15.22;
2563; ;     ;18.21;16.88;
2564; ;13.78;12.95;11.96;
2572; ;17.92;17.12;16.06;
2573; ;     ;     ;17.33;
2578; ;17.17;16.23;15.08;
2591; ;     ;     ;17.38;
2589; ;     ;18.64;16.60;
2590; ;     ;18.43;16.55;
2597; ;     ;18.04;17.14;
2596; ;     ;     ;16.84;
2592; ;     ;18.39;16.33;
2599; ;     ;16.61;15.29;
2601; ;     ;17.50;15.94;
2604; ;14.06;13.49;12.76;
2607; ;13.35;12.78;12.05;
2603; ;13.23;12.69;11.97;
2605; ;     ;18.36;16.13;
2611; ;     ;     ;17.02;
2619; ;18.21;17.43;16.45;
2621; ;     ;18.65;15.52;
2622; ;16.42;15.64;14.75;
2625; ;15.34;14.68;13.87;
2632; ;16.20;15.42;14.49;
2633; ;17.00;16.10;15.01;
2646; ;15.38;14.72;13.92;
2643; ;18.38;17.67;16.78;
2647; ;16.58;15.88;14.98;
2640; ;     ;17.61;16.21;
2642; ;17.81;16.99;15.97;
2650; ;     ;18.15;16.35;
2657; ;16.20;15.42;14.47;
2658; ;13.91;13.33;12.58;
2659; ;     ;18.69;17.28;
2663; ;15.96;15.21;14.30;
2661; ;15.13;14.45;13.58;
2665; ;14.28;13.64;12.87;
    ;B;     ;     ;17.00;
2677; ;17.96;17.16;16.19;
2676; ;15.63;14.57;13.21;
2675; ;     ;     ;17.94;
2678; ;16.12;15.34;14.40;
2680; ;     ;     ;17.26;
2686; ;15.91;15.12;14.09;
2690; ;17.31;16.31;15.02;
2689; ;13.36;12.81;12.09;
2695; ;     ;     ;16.98;
2692; ;     ;     ;16.64;
2698; ;14.13;13.57;12.85;
2700; ;     ;17.39;15.83;
2703; ;16.92;15.93;14.65;
2707; ;     ;     ;18.01;
2708; ;15.88;15.35;14.64;
2710; ;     ;     ;17.82;
2717; ;     ;18.83;16.72;
2723; ;16.35;15.53;14.57;
2719; ;16.82;16.00;14.98;
2724; ;     ;17.95;16.22;
2727; ;12.59;12.00;     ;
2728; ;     ;     ;17.72;
2729; ;15.82;15.08;14.18;
2731; ;     ;18.76;16.67;
2733; ;14.25;13.69;12.96;
2741; ;15.42;14.70;13.85;
2750; ;     ;18.33;17.02;
2744; ;17.37;16.29;14.91;
2746; ;14.76;14.15;13.38;
2745; ;17.30;16.27;14.96;
2758; ;15.38;14.70;13.86;
2765; ;13.73;13.16;12.41;
2763; ;     ;     ;16.49;
2769; ;14.64;14.04;13.31;
2767; ;15.74;15.02;14.14;
2772; ;     ;18.80;17.72;
2779; ;16.72;15.84;14.81;
2778; ;13.99;13.42;12.69;
2776; ;     ;18.43;     ;
2784; ;17.35;16.38;15.12;
2785; ;     ;     ;17.20;
2782; ;     ;18.53;17.53;
2789; ;     ;     ;18.15;
2793; ;16.76;16.12;15.30;
2794; ;13.82;12.91;11.85;
2800; ;15.20;14.55;13.75;
2805; ;17.03;16.36;15.49;
2802; ;     ;     ;17.14;
2806; ;14.91;14.29;13.48;
2804; ;16.62;15.77;14.72;
2807; ;16.48;15.64;14.64;
2809; ;     ;     ;17.23;
2813; ;     ;18.57;17.21;
2823; ;14.42;13.92;13.24;
2815; ;14.40;13.82;13.07;
2826; ;18.39;17.17;15.52;
2817; ;17.17;16.22;15.04;
2821; ;14.13;13.54;12.80;
2816; ;17.62;16.69;15.55;
2827; ;     ;     ;17.95;
2829; ;13.85;13.27;12.52;
2834; ;16.01;15.20;14.17;
2828; ;14.10;13.48;12.71;
2835; ;16.64;15.86;14.79;
2840; ;15.47;14.68;13.74;
2845; ;15.57;14.87;14.01;
2847; ;16.58;15.72;14.71;
2853; ;13.58;12.80;11.87;
2857; ;18.41;17.25;15.77;
2866; ;15.55;14.84;13.98;
2872; ;17.49;16.37;14.92;
2867; ;15.34;14.66;13.84;
2869; ;     ;17.82;16.82;
2875; ;12.24;     ;     ;
2874; ;13.49;12.76;11.88;
2877; ;17.88;16.80;15.47;
2891; ;15.73;14.99;14.10;
2887; ;13.30;12.69;11.92;
2889; ;15.51;14.77;13.84;
2890; ;14.14;13.55;12.78;
2888; ;     ;     ;17.55;
2893; ;17.83;17.22;16.41;
2894; ;     ;     ;17.40;
2899; ;     ;17.66;16.10;
2906; ;     ;     ;17.38;
2902; ;     ;18.62;16.50;
2901; ;15.74;15.02;14.14;
2904; ;13.94;13.35;12.56;
2910; ;18.43;17.38;15.92;
2909; ;16.14;15.56;14.79;
2911; ;17.34;16.38;15.15;
2914; ;16.71;15.83;14.78;
2920; ;17.22;16.57;15.73;
2924; ;17.24;16.31;15.16;
2922; ;15.44;14.61;13.59;
2925; ;15.21;14.32;13.25;
2923; ;17.87;16.79;15.48;
2928; ;15.77;15.04;14.14;
2932; ;13.29;12.68;11.92;
2933; ;     ;     ;17.35;
2943; ;18.41;17.23;15.71;
2942; ;11.73;     ;     ;
2948; ;     ;17.64;16.02;
2944; ;16.92;16.22;15.35;
2949; ;     ;18.69;16.74;
2953; ;16.83;16.06;15.08;
2962; ;     ;     ;17.46;
2965; ;     ;17.85;16.43;
2968; ;14.74;14.09;13.25;
2971; ;     ;     ;17.69;
2973; ;14.18;13.62;12.88;
2974; ;16.63;15.72;14.62;
2976; ;14.17;13.56;12.80;
2978; ;14.47;13.89;13.15;
2985; ;     ;     ;17.10;
2991; ;13.49;12.89;12.15;
2990; ;     ;17.77;15.93;
2986; ;14.37;13.79;13.05;
2992; ;     ;     ;16.63;
2994; ;16.74;15.79;14.59;
2999; ;     ;     ;17.44;
3002; ;15.85;15.11;14.21;
3001; ;14.75;14.08;13.24;
3003; ;     ;18.47;16.43;
3006; ;13.92;13.36;12.61;
3009; ;17.30;17.06;17.00;
3012; ;     ;     ;17.61;
3011; ;     ;18.48;16.11;
3014; ;17.42;16.44;15.21;
3020; ;     ;17.99;16.82;
3025; ;18.11;17.01;15.59;
3028; ;18.51;17.30;15.72;
3034; ;13.27;12.61;11.73;
3032; ;16.66;15.92;14.95;
3042; ;     ;17.96;16.92;
3037; ;16.21;15.41;14.47;
3039; ;14.51;13.92;13.16;
3048; ;     ;17.93;16.32;
3043; ;15.66;14.94;14.08;
3050; ;16.19;15.65;14.92;
3053; ;16.71;15.84;14.79;
3056; ;15.49;14.80;13.96;
3051; ;11.99;11.78;     ;
3065; ;14.25;13.66;12.90;
3057; ;16.39;15.56;14.48;
3070; ;     ;     ;17.94;
3061; ;     ;18.18;16.36;
3069; ;16.69;15.81;14.78;
3068; ;16.40;15.59;14.63;
3066; ;18.49;17.18;15.19;
3072; ;17.39;16.77;15.93;
3076; ;14.19;13.61;12.88;
3075; ;13.36;12.42;     ;
    ;C;     ;     ;14.28;
3080; ;14.40;13.82;13.09;
3084; ;15.50;14.81;13.91;
3083; ;14.02;13.46;12.73;
3081; ;     ;     ;17.65;
3092; ;14.90;14.29;13.53;
3090; ;     ;18.05;16.31;
3097; ;14.33;13.77;13.04;
3093; ;14.74;14.04;13.17;
3099; ;15.27;14.61;13.80;
3100; ;18.93;17.73;16.04;
3103; ;18.23;17.08;15.66;
3102; ;13.98;13.41;12.67;
3111; ;14.26;13.69;12.97;
3112; ;14.11;13.55;12.81;
3118; ;15.26;14.59;13.75;
3123; ;     ;     ;17.39;
3127; ;17.09;16.17;15.06;
3124; ;     ;     ;17.80;
3122; ;     ;     ;18.25;
3128; ;     ;     ;17.41;
3130; ;     ;18.46;17.27;
3137; ;17.36;16.38;15.18;
3139; ;17.67;16.63;15.35;
3145; ;     ;18.88;17.13;
3149; ;     ;     ;17.79;
3147; ;17.08;16.04;14.75;
3157; ;18.41;17.51;16.43;
3161; ;16.67;15.80;14.77;
3165; ;     ;18.51;16.17;
3167; ;     ;18.09;16.82;
3169; ;15.98;15.11;14.06;
3170; ;14.41;13.81;13.06;
3173; ;     ;17.83;16.85;
3174; ;16.39;15.46;14.32;
3176; ;10.12;10.21;     ;
3181; ;15.62;14.91;14.05;
3183; ;16.08;15.31;14.39;
3187; ;     ;     ;16.81;
3184; ;15.66;14.92;13.98;
3191; ;14.83;14.21;13.42;
3190; ;17.39;16.63;15.68;
3186; ;14.52;13.94;13.19;
3185; ;15.93;15.17;14.22;
3194; ;17.60;16.47;14.97;
3192; ;13.83;13.24;12.47;
3197; ;     ;17.80;16.00;
3204; ;11.58;10.53; 9.42;1
3202; ;14.24;13.67;12.93;
3201; ;17.46;16.74;15.84;
3206; ;     ;     ;17.56;
3207; ;     ;     ;17.17;
3208; ;16.41;15.59;14.61;
3210; ;15.16;14.50;13.69;
3215; ;18.05;16.96;15.58;
    ;D;     ;     ;18.00;
3224; ;     ;     ;17.40;
3217; ;14.63;13.65;12.40;
3227; ;14.20;13.64;12.92;
3226; ;12.92;12.25;11.44;1
3234; ;15.39;14.72;     ;
3230; ;14.90;14.35;13.62;
3235; ;18.03;17.31;16.40;
3232; ;     ;18.45;17.66;
3238; ;16.03;15.27;14.36;
3237; ;     ;18.35;16.24;
3242; ;     ;     ;18.17;
3244; ;     ;18.56;16.62;
3258; ;15.86;15.12;14.22;
3254; ;13.99;13.42;12.68;
3259; ;     ;17.43;15.75;
3250; ;11.53;11.17;     ;
3265; ;     ;18.19;16.80;
3255; ;16.46;15.67;14.67;
3256; ;16.04;15.27;14.35;
    ;E;12.13;11.62;     ;
3264; ;19.16;18.03;16.58;
3262; ;     ;17.45;15.89;
3261; ;     ;     ;17.67;
3271; ;     ;17.66;15.60;
3267; ;13.41;12.85;12.12;
3268; ;16.24;15.43;14.47;
3273; ;     ;17.74;15.98;
3274; ;14.79;14.18;13.41;
3279; ;14.44;13.93;13.24;
3282; ;     ;     ;17.34;
3283; ;13.39;12.82;12.11;
3287; ;15.79;15.06;14.17;
3288; ;13.21;12.69;12.03;
    ;F;     ;     ;17.83;
3294; ;     ;     ;16.88;
3296; ;13.85;13.03;12.06;
3302; ;13.42;12.85;12.12;
3299; ;14.91;14.38;13.66;
3308; ;16.32;15.49;14.49;
3313; ;     ;18.40;15.98;
3314; ;     ;     ;17.42;
3319; ;14.07;13.49;12.72;
3328; ;     ;     ;17.89;
3322; ;     ;18.03;16.26;
3327; ;14.20;13.60;12.84;
3321; ;     ;     ;17.47;
3332; ;     ;17.91;15.39;
3330; ;13.15;12.43;     ;
3335; ;13.77;13.19;12.44;
3341; ;17.34;16.24;14.86;
3338; ;14.89;14.19;13.32;
3351; ;17.89;16.84;15.49;
3345; ;13.77;13.20;12.50;
3347; ;12.21;11.16;10.04;1
3348; ;     ;17.17;15.43;
3350; ;18.80;17.57;15.91;
    ;G;     ;     ;16.43;
3349; ;11.55;10.50;     ;
3362; ;     ;     ;16.91;
3359; ;13.67;13.11;12.38;
3360; ;14.56;13.96;13.20;
3364; ;11.07; 9.84;     ;
3376; ;     ;     ;17.80;
3375; ;14.11;13.54;12.80;
3373; ;16.84;15.84;14.58;
3372; ;16.22;15.38;14.21;
3379; ;19.19;18.41;17.33;
3380; ;13.33;12.76;12.02;
3385; ;     ;     ;16.93;
3388; ;14.97;14.34;13.50;
3393; ;18.05;16.98;15.66;
3390; ;14.02;13.46;12.72;
3395; ;13.28;12.67;11.91;
3396; ;16.64;15.65;14.44;
3405; ;     ;     ;17.27;
3402; ;14.79;14.18;13.41;
3400; ;13.37;12.61;     ;
3406; ;13.89;13.06;12.08;
3408; ;18.05;16.89;15.36;
3410; ;18.02;17.38;16.53;
3413; ;13.29;12.34;     ;
3411; ;     ;     ;17.58;
3417; ;13.16;12.57;11.81;
3415; ;     ;18.86;16.82;
3423; ;14.29;13.72;12.96;
3425; ;14.48;13.90;13.16;
3424; ;     ;18.04;16.17;
3436; ;16.31;15.59;14.65;
3433; ;17.71;16.64;15.17;
3437; ;     ;17.84;17.07;
3439; ;14.58;13.97;13.16;
3442; ;     ;18.53;15.92;
3438; ;16.56;15.72;14.72;
3448; ;17.78;16.90;15.76;
3449; ;12.62;12.32;     ;
3453; ;15.00;14.35;13.55;
3456; ;14.49;13.91;13.17;
3455; ;14.58;13.99;13.24;
3454; ;13.35;12.79;12.07;
    ;H;     ;16.94;15.60;
3458; ;13.76;13.19;12.44;
3473; ;16.55;15.91;15.06;
3462; ;13.80;13.22;12.48;
3465; ;13.39;12.92;12.31;
3474; ;     ;     ;17.55;
3469; ;     ;18.70;16.56;
3467; ;16.85;15.89;14.66;
3471; ;11.66;11.25;10.68;1
3476; ;     ;     ;18.04;
3472; ;13.73;13.13;12.36;
3482; ;     ;     ;16.43;
3483; ;17.28;16.31;15.10;
3481; ;12.86;12.43;     ;
3484; ;     ;     ;18.07;
3491; ;14.78;14.17;13.42;
3489; ;     ;18.71;16.45;
3487; ;18.19;17.09;15.66;
3494; ;     ;     ;17.06;
3492; ;12.48;11.59;     ;
3495; ;16.03;15.26;14.32;
3502; ;     ;18.74;16.19;
3499; ;11.94;11.33;10.57;1
3500; ;14.74;14.11;13.27;
3501; ;14.88;14.23;13.39;
3506; ;     ;     ;17.00;
3505; ;16.12;15.34;14.40;
3507; ;     ;     ;16.98;
3503; ;15.19;14.55;13.74;
3509; ;     ;     ;18.04;
3512; ;     ;     ;17.47;
3517; ;14.46;13.85;13.07;
3508; ;17.80;16.75;15.44;
3510; ;13.80;13.23;12.48;
3515; ;16.62;15.76;14.67;
3521; ;     ;     ;17.08;
3528; ;17.92;17.66;17.32;
3526; ;     ;17.19;14.95;
3518; ;18.25;17.50;16.57;
3523; ;17.37;16.41;15.20;
3527; ;13.91;13.33;12.59;
3531; ;16.86;16.24;15.43;
3532; ;17.54;16.47;15.06;
3536; ;11.57;10.64;     ;
3538; ;     ;     ;17.36;
3541; ;13.29;12.72;11.99;
3550; ;18.84;18.00;16.78;
3543; ;13.78;13.30;12.67;
3549; ;     ;     ;16.95;
3544; ;     ;     ;17.05;
3554; ;     ;18.91;17.23;
3551; ;14.84;14.22;13.45;
3560; ;     ;     ;17.47;
3555; ;15.20;14.40;13.34;
3556; ;17.44;16.45;15.20;
3562; ;     ;     ;16.82;
3561; ;17.24;16.28;15.13;
3559; ;     ;18.41;16.28;
3566; ;12.36;11.49;10.59;1
3567; ;13.63;12.86;11.94;
3577; ;13.43;12.85;12.12;
3579; ;15.81;15.06;14.07;
    ;I;     ;     ;19.23;1
3586; ;16.76;15.89;14.76;
    ;J;13.74;13.14;12.38;
3578; ;13.70;13.10;12.32;
    ;K;     ;15.91;15.14;
3593; ;     ;     ;17.47;
3589; ;15.71;14.99;14.11;
3597; ;     ;     ;18.91;1
3591; ;15.83;15.09;14.15;
    ;L;     ;     ;18.08;
3602; ;     ;     ;17.07;
3609; ;     ;     ;17.39;
3603; ;15.26;14.56;13.63;
3606; ;     ;     ;17.09;
3611; ;     ;     ;17.98;
3607; ;13.87;13.28;12.52;
3608; ;14.75;14.16;13.41;
3616; ;14.71;13.74;12.52;
3615; ;14.92;14.21;13.34;
3620; ;     ;18.06;16.31;
3618; ;13.16;12.57;11.81;
3622; ;13.90;13.31;12.56;
3621; ;     ;17.75;15.83;
3623; ;16.46;15.62;14.63;
3631; ;     ;     ;18.83;1
3628; ;17.17;16.22;15.00;
3640; ;     ;     ;17.42;
3633; ;13.85;13.27;12.53;
3639; ;17.30;16.75;15.99;
3636; ;     ;17.97;16.19;
3637; ;15.48;14.78;13.88;
3642; ;11.58;10.53; 9.50;1
3643; ;     ;18.15;17.13;
3660; ;15.24;14.47;13.47;
3659; ;14.09;13.52;12.77;
3649; ;11.47;11.43;     ;
3665; ;16.91;15.89;14.58;
3661; ;15.93;15.36;14.57;
3663; ;     ;17.22;15.80;
3668; ;11.16;10.70; 9.82;1
3672; ;     ;     ;17.52;
3674; ;11.14;11.00;10.95;1
3676; ;     ;     ;17.67;
3681; ;     ;17.81;15.87;
3683; ;15.26;14.78;14.10;
3686; ;13.37;12.79;12.06;
3687; ;14.85;14.23;13.44;
3691; ;16.65;15.83;14.77;
3688; ;     ;     ;17.71;
3701; ;12.86;12.27;11.52;
3695; ;13.97;13.36;12.60;
3693; ;15.45;14.69;13.74;
3699; ;15.11;14.45;13.63;
3704; ;17.77;16.73;15.44;
    ;M;     ;     ;16.32;
3706; ;13.32;12.82;12.16;
3709; ;     ;     ;16.81;
3713; ;13.76;13.06;12.18;
3708; ;13.42;12.85;12.11;
3711; ;15.86;15.00;13.95;
3715; ;16.80;15.86;14.67;
3718; ;     ;     ;17.67;
3717; ;14.47;13.85;13.00;
3719; ;13.37;12.70;11.88;
3722; ;15.79;15.04;14.06;
3728; ;     ;16.56;     ;
3726; ;11.64;10.56; 9.49;1
3727; ;     ;17.69;16.01;
3725; ;16.72;15.79;14.59;
3731; ;18.11;17.37;16.42;
3735; ;     ;17.92;16.19;
3738; ;13.47;12.88;12.13;
3736; ;13.84;12.95;11.92;
3756; ;     ;18.64;16.47;
3751; ;13.84;13.34;12.68;
3748; ;     ;17.89;16.17;
3752; ;15.18;14.43;13.50;
3762; ;18.79;17.92;16.83;
3758; ;14.76;14.15;13.36;
3764; ;14.57;14.05;13.36;
3759; ;     ;17.72;16.09;
3767; ;16.34;15.45;14.39;
3766; ;13.75;13.17;12.43;
3768; ;15.68;14.95;14.06;
3771; ;16.85;15.84;14.59;
3769; ;     ;     ;17.19;
3774; ;     ;17.64;15.87;
3775; ;13.03;12.09;11.01;1
3782; ;     ;     ;17.42;
3789; ;15.48;14.79;13.94;
3780; ;13.70;13.08;12.23;
3781; ;13.32;12.73;11.97;
3790; ;17.16;16.45;15.54;
3787; ;     ;     ;18.15;
3784; ;16.98;15.94;14.64;
3799; ;     ;     ;17.55;
3804; ;14.35;13.76;13.02;
3801; ;     ;17.60;16.03;
3806; ;17.86;16.67;15.14;
3805; ;13.23;12.66;11.91;
3809; ;17.61;16.99;16.17;
3816; ;17.92;17.28;16.43;
3811; ;17.72;17.10;16.29;
3818; ;17.51;16.86;15.99;
3813; ;15.70;14.96;14.02;
3820; ;     ;     ;16.84;
3814; ;     ;     ;17.67;
3821; ;     ;     ;18.84;1
3826; ;17.74;16.40;14.44;
3824; ;     ;17.40;15.87;
3825; ;16.36;15.54;14.55;
3827; ;17.40;16.69;15.78;
3829; ;16.32;15.50;14.52;
3830; ;14.66;14.06;13.26;
3832; ;13.69;13.12;12.40;
3834; ;14.33;13.71;12.93;
3835; ;     ;     ;17.53;
3841; ;     ;18.62;17.55;
3836; ;13.25;12.67;11.92;
3837; ;     ;18.66;16.41;
3839; ;17.51;16.44;15.06;
3849; ;18.26;17.32;16.12;
3840; ;17.29;16.31;15.09;
3853; ;     ;18.38;16.02;
3847; ;13.59;12.79;11.85;
3846; ;15.32;14.64;13.76;
3845; ;     ;17.92;16.18;
3850; ;13.28;12.66;11.89;
3857; ;12.54;12.26;12.01;1
3855; ;14.82;14.21;13.43;
3858; ;11.36;11.15;10.83;1
3861; ;16.62;15.78;14.76;
3859; ;     ;     ;16.88;
3864; ;15.99;15.23;14.31;
3867; ;16.71;15.83;14.78;
3869; ;     ;     ;16.87;
3870; ;16.08;15.30;14.32;
3876; ;14.49;13.87;13.07;
3872; ;     ;     ;17.75;
3882; ;16.45;15.81;15.01;
3874; ;13.32;12.73;11.98;
3879; ;     ;     ;16.78;
3873; ;     ;     ;17.42;
