#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-11T00:19:26 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-11T00:19:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/PASP/116/1012/cat1&-order=I&-out=n_SMV&-out=SMV&-out=Umag&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Rmag&-out=e_Rmag&-out=Imag&-out=Memb&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61161012
#Name: J/PASP/116/1012
#Title: A star catalog for the open cluster NGC 188 (Stetson+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/pasp/116/1012	    IVOID of underlying data collection
#INFO	creator=Stetson P.B.	    First author or institution
#INFO	cites=bibcode:2004PASP..116.1012S	    Article or Data origin sources
#INFO	editor=Publications of the Astronomical Society of the Pacific	    Editor name (article)
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/116/1012	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61161012	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_116_1012_cat1:
#Name: J/PASP/116/1012/cat1
#Title: Original photometry merged with previously published photometry and memberships
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	n_SMV	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SMV	(I7)	Sequential ID number	[ucd=meta.id;meta.main]
#Column	Umag	(F6.3)	? U magnitude	[ucd=phot.mag;em.opt.U]
#Column	Bmag	(F6.3)	? B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.4)	? B standard error of the mean	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.4)	? V standard error of the mean	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Rmag	(F6.3)	? R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(F6.4)	? R standard error of the mean	[ucd=stat.error;phot.mag;em.opt.R]
#Column	Imag	(F6.3)	? I magnitude	[ucd=phot.mag;em.opt.I]
#Column	Memb	(I3)	? Mean membership probability in %	[ucd=stat]
#Column	RAJ2000	(A11)	Hour of right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;n_SMV;SMV;Umag;Bmag;e_Bmag;Vmag;e_Vmag;Rmag;e_Rmag;Imag;Memb;RAJ2000;DEJ2000
005.7212917;+85.3166389;x;     91;      ;14.582;0.0179;14.024;0.0244;      ;      ;      ;  0;00 22 53.11;+85 18 59.9
005.6552917;+85.3670000;x;     92;      ;21.788;0.0187;20.371;0.0161;      ;      ;      ;   ;00 22 37.27;+85 22 01.2
005.7705833;+85.2813333;x;     93;      ;18.669;0.0173;17.914;0.0154;      ;      ;      ;  0;00 23 04.94;+85 16 52.8
005.7793750;+85.2749167;x;     94;      ;22.103;0.0150;20.488;0.0159;      ;      ;      ;   ;00 23 07.05;+85 16 29.7
005.5218333;+85.4669444;x;     95;      ;20.418;0.0210;19.882;0.0198;      ;      ;      ;   ;00 22 05.24;+85 28 01.0
005.5287500;+85.4637222;x;     96;      ;21.586;0.0150;20.600;0.0150;      ;      ;      ;   ;00 22 06.90;+85 27 49.4
005.6515000;+85.3763056;x;     97;      ;20.777;0.0275;19.897;0.0313;      ;      ;      ;   ;00 22 36.36;+85 22 34.7
005.9452500;+85.1472500;x;     98;      ;15.325;0.0330;14.766;0.0150;      ;      ;      ;  0;00 23 46.86;+85 08 50.1
005.7930000;+85.2725556;x;     99;      ;20.838;0.0186;19.910;0.0166;      ;      ;      ;   ;00 23 10.32;+85 16 21.2
005.9262083;+85.1680833;x;    100;      ;20.802;0.0197;19.331;0.0189;      ;      ;      ;   ;00 23 42.29;+85 10 05.1
005.8035000;+85.2673889;x;    102;      ;18.499;0.0166;17.628;0.0158;      ;      ;      ;  0;00 23 12.84;+85 16 02.6
005.8347500;+85.2501389;x;    103;      ;18.935;0.0166;18.072;0.0167;      ;      ;      ;  0;00 23 20.34;+85 15 00.5
005.7802917;+85.2946111;x;    105;      ;17.624;0.0167;16.432;0.0153;      ;      ;      ;  0;00 23 07.27;+85 17 40.6
005.7199583;+85.3431667;x;    106;      ;20.776;0.0158;20.039;0.0167;      ;      ;      ;   ;00 22 52.79;+85 20 35.4
005.5749167;+85.4505833;x;    107;      ;19.978;0.0166;19.184;0.0225;      ;      ;      ;   ;00 22 17.98;+85 27 02.1
005.6932083;+85.3635556;x;    108;      ;15.923;0.0152;15.086;0.0158;      ;      ;      ;  0;00 22 46.37;+85 21 48.8
005.6304167;+85.4122500;x;    109;      ;17.969;0.0152;17.260;0.0159;      ;      ;      ; 31;00 22 31.30;+85 24 44.1
005.5745417;+85.4558333;x;    110;      ;20.386;0.0168;19.485;0.0189;      ;      ;      ;   ;00 22 17.89;+85 27 21.0
005.8690000;+85.2360278;x;    112;      ;20.791;0.0200;19.291;0.0175;      ;      ;      ;  0;00 23 28.56;+85 14 09.7
005.9360000;+85.1880278;x;    116;      ;20.864;0.0227;19.877;0.0183;      ;      ;      ;   ;00 23 44.64;+85 11 16.9
005.9628333;+85.1742500;x;    117;      ;21.810;0.0325;20.219;0.0197;      ;      ;      ;   ;00 23 51.08;+85 10 27.3
005.9357083;+85.1973056;x;    119;      ;20.504;0.0193;19.009;0.0191;      ;      ;      ;  0;00 23 44.57;+85 11 50.3
005.9824583;+85.1718056;x;    127;      ;21.329;0.0270;20.243;0.0247;      ;      ;      ;   ;00 23 55.79;+85 10 18.5
005.6851667;+85.4039444;x;    128;      ;18.804;0.0153;18.142;0.0161;      ;      ;      ;   ;00 22 44.44;+85 24 14.2
006.0028750;+85.1652500;x;    130;      ;15.105;0.0160;14.367;0.0150;      ;      ;      ;  0;00 24 00.69;+85 09 54.9
006.0287083;+85.1470556;x;    131;      ;21.101;0.0189;19.519;0.0150;      ;      ;      ;   ;00 24 06.89;+85 08 49.4
005.8150833;+85.3213889;x;    132;      ;20.514;0.0175;19.622;0.0167;      ;      ;      ;   ;00 23 15.62;+85 19 17.0
005.9388750;+85.2244722;x;    133;      ;21.488;0.0198;20.002;0.0179;      ;      ;      ;   ;00 23 45.33;+85 13 28.1
005.9550417;+85.2120000;x;    134;      ;21.378;0.0166;20.772;0.0260;      ;      ;      ;   ;00 23 49.21;+85 12 43.2
005.6233333;+85.4697222;x;    136;      ;16.914;0.0168;16.222;0.0170;      ;      ;      ;  0;00 22 29.60;+85 28 11.0
005.6399167;+85.4599444;x;    138;      ;18.967;0.0207;18.685;0.0219;      ;      ;      ;   ;00 22 33.58;+85 27 35.8
006.0122083;+85.1721111;x;    139;      ;16.454;0.0155;15.453;0.0159;      ;      ;      ; 31;00 24 02.93;+85 10 19.6
005.9031250;+85.2628889;x;    140;      ;19.319;0.0168;18.347;0.0165;      ;      ;      ;  0;00 23 36.75;+85 15 46.4
005.6138333;+85.4824444;x;    142;      ;20.743;0.0182;19.601;0.0160;      ;      ;      ;   ;00 22 27.32;+85 28 56.8
005.6465833;+85.4591111;x;    143;      ;16.471;0.0168;15.730;0.0166;      ;      ;      ;  0;00 22 35.18;+85 27 32.8
006.0628750;+85.1518333;x;    152;      ;19.573;0.0168;18.452;0.0168;      ;      ;      ;   ;00 24 15.09;+85 09 06.6
006.0430000;+85.1735278;x;    153;      ;19.631;0.0160;18.745;0.0200;      ;      ;      ;   ;00 24 10.32;+85 10 24.7
005.9934167;+85.2155278;x;    154;      ;20.021;0.0160;18.715;0.0189;      ;      ;      ;  0;00 23 58.42;+85 12 55.9
006.0961667;+85.1305278;x;    155;      ;18.140;0.0182;17.536;0.0157;      ;      ;      ;   ;00 24 23.08;+85 07 49.9
006.0600000;+85.1611111;x;    156;      ;21.734;0.0150;20.621;0.0641;      ;      ;      ;   ;00 24 14.40;+85 09 40.0
005.7970417;+85.3727222;x;    157;      ;19.885;0.0416;18.598;0.0450;      ;      ;      ;   ;00 23 11.29;+85 22 21.8
005.6615833;+85.4772222;x;    158;      ;20.515;0.0182;19.708;0.0238;      ;      ;      ;   ;00 22 38.78;+85 28 38.0
005.7330417;+85.4285278;x;    160;      ;20.463;0.0184;20.061;0.0227;      ;      ;      ;   ;00 22 55.93;+85 25 42.7
005.9468750;+85.2642778;x;    161;      ;17.576;0.0165;16.632;0.0158;      ;      ;      ;  0;00 23 47.25;+85 15 51.4
005.8132917;+85.3707778;x;    162;      ;22.469;0.0150;21.361;0.0426;      ;      ;      ;   ;00 23 15.19;+85 22 14.8
006.0297083;+85.2022500;x;    163;      ;22.070;0.0150;20.543;0.0172;      ;      ;      ;   ;00 24 07.13;+85 12 08.1
005.6876250;+85.4679167;x;    164;      ;19.803;0.0177;19.183;0.0192;      ;      ;      ; 32;00 22 45.03;+85 28 04.5
005.9295833;+85.2971944;x;    167;      ;18.601;0.0167;17.626;0.0154;      ;      ;      ; 29;00 23 43.10;+85 17 49.9
005.7560417;+85.4333889;x;    169;      ;20.779;0.0150;19.839;0.0358;      ;      ;      ;   ;00 23 01.45;+85 26 00.2
006.1458333;+85.1259722;x;    171;      ;20.920;0.0186;19.328;0.0152;      ;      ;      ;   ;00 24 35.00;+85 07 33.5
005.8678750;+85.3581667;x;    172;      ;20.093;0.0184;19.587;0.0165;      ;      ;      ;   ;00 23 28.29;+85 21 29.4
005.7545000;+85.4455278;x;    173;      ;21.324;0.0161;20.201;0.0186;      ;      ;      ;   ;00 23 01.08;+85 26 43.9
006.0850833;+85.1863611;x;    175;      ;19.804;0.0164;18.266;0.0178;      ;      ;      ;  0;00 24 20.42;+85 11 10.9
005.9568750;+85.2930556;x;    177;      ;21.338;0.0207;20.390;0.0177;      ;      ;      ;   ;00 23 49.65;+85 17 35.0
006.0704583;+85.2013333;x;    178;      ;16.496;0.0157;15.205;0.0165;      ;      ;      ;  0;00 24 16.91;+85 12 04.8
006.2217500;+85.0743333;x;    179;      ;17.285;0.0198;16.611;0.0151;      ;      ;      ;  0;00 24 53.22;+85 04 27.6
005.7197917;+85.4769444;x;    180;      ;18.997;0.0159;17.963;0.0180;      ;      ;      ;  0;00 22 52.75;+85 28 37.0
006.1433750;+85.1426944;x;    181;      ;17.225;0.0195;16.440;0.0157;      ;      ;      ; 32;00 24 34.41;+85 08 33.7
006.1133750;+85.1683889;x;    182;      ;21.108;0.0204;19.626;0.0173;      ;      ;      ;   ;00 24 27.21;+85 10 06.2
005.9836250;+85.2767500;x;    184;      ;17.378;0.0160;16.537;0.0157;      ;      ;      ;  0;00 23 56.07;+85 16 36.3
005.9142917;+85.3324444;x;    185;      ;17.310;0.0165;16.709;0.0152;      ;      ;      ;  0;00 23 39.43;+85 19 56.8
005.9202917;+85.3281667;x;    186;      ;22.477;0.0150;20.958;0.0195;      ;      ;      ;   ;00 23 40.87;+85 19 41.4
006.0530000;+85.2237500;x;    187;      ;19.346;0.0153;18.763;0.0162;      ;      ;      ;  0;00 24 12.72;+85 13 25.5
005.7660000;+85.4495833;x;    188;      ;21.588;0.0150;20.569;0.0150;      ;      ;      ;   ;00 23 03.84;+85 26 58.5
005.6968333;+85.5065000;x;    190;      ;16.789;0.0193;16.017;0.0158;      ;      ;      ;  0;00 22 47.24;+85 30 23.4
005.8632917;+85.3879444;x;    191;      ;19.263;0.0154;18.159;0.0159;      ;      ;      ;  1;00 23 27.19;+85 23 16.6
005.7460833;+85.4800556;x;    192;      ;19.627;0.0183;18.125;0.0155;      ;      ;      ;   ;00 22 59.06;+85 28 48.2
006.1212083;+85.1901944;x;    195;      ;17.973;0.0165;17.094;0.0172;      ;      ;      ;  0;00 24 29.09;+85 11 24.7
005.5646667;+85.6184722;x;    197;      ;15.842;0.0999;15.014;0.0999;      ;      ;      ; 65;00 22 15.52;+85 37 06.5
006.0997917;+85.2160278;x;    198;      ;21.440;0.0214;20.018;0.0194;      ;      ;      ;   ;00 24 23.95;+85 12 57.7
005.8457917;+85.4180278;x;    199;      ;18.700;0.0159;18.417;0.0167;      ;      ;      ;   ;00 23 22.99;+85 25 04.9
005.9482917;+85.3395000;x;    200;      ;18.918;0.0151;17.935;0.0154;      ;      ;      ;  0;00 23 47.59;+85 20 22.2
006.1534167;+85.1751667;x;    201;      ;21.893;0.0150;20.362;0.0193;      ;      ;      ;   ;00 24 36.82;+85 10 30.6
005.9080417;+85.3749167;x;    202;      ;18.519;0.0152;17.866;0.0161;      ;      ;      ;  0;00 23 37.93;+85 22 29.7
006.0391667;+85.2726111;x;    203;      ;21.874;0.0151;21.207;0.0197;      ;      ;      ;   ;00 24 09.40;+85 16 21.4
005.8133750;+85.4522778;x;    206;      ;22.218;0.0150;20.520;0.0315;      ;      ;      ;   ;00 23 15.21;+85 27 08.2
006.1084583;+85.2204444;x;    208;      ;20.580;0.0173;18.945;0.0189;      ;      ;      ;  0;00 24 26.03;+85 13 13.6
006.1036667;+85.2250278;x;    209;      ;17.101;0.0154;16.226;0.0159;      ;      ;      ;  0;00 24 24.88;+85 13 30.1
006.0040417;+85.3070556;x;    210;      ;16.629;0.0156;15.996;0.0153;      ;      ;      ;  0;00 24 00.97;+85 18 25.4
006.0810417;+85.2459722;x;    211;      ;20.568;0.0155;19.695;0.0161;      ;      ;      ;  0;00 24 19.45;+85 14 45.5
006.0907500;+85.2423611;x;    212;      ;      ;      ;21.159;0.0150;      ;      ;      ;   ;00 24 21.78;+85 14 32.5
